q_id,q_type,q_query,story,question,answer,choices,reasoning_steps,num_facts,asked_relation,target_relation,model_answer
1,FR,1x2 2,"There are three boxes, named one, two and three. Box one contains a medium yellow apple and covers a small orange melon. To the east of a medium green apple is a small green watermelon. The small green watermelon is covered by box one. The medium green apple is in box one. Another medium yellow apple is within box one. Medium yellow apple number one is to the west of this thing. To the west of the small orange melon is the medium green apple. Box two covers a big orange melon which is to the south of a medium green watermelon. Box two covers the medium green watermelon. This box contains a small orange apple which is north of the medium green watermelon. Box two covers another medium green watermelon. Box three covers this box. A big green melon and a medium green apple are covered by this box. South of the medium green apple is the big green melon.",Where is the small orange apple relative to box three?,NTPP,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,3,2,ntpp,ntpp,below
5,FR,0 0x2,We have one block named HHH. A medium purple hexagon and a medium grey thing are inside block HHH. Block HHH covers another medium purple hexagon. Medium purple hexagon number one is over medium purple hexagon number two and touches the medium grey thing. Above this thing there is the grey object.,Where is block regarding the grey object?,NTPPI,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,ntppi,ntppi,above
1,YN,1x0 1x3,"Two blocks, called HHH and LLL exist. Block LLL is within block HHH. A medium purple object is inside and touching block HHH. Block HHH covers a medium grey star and contains a large red pentagon. The medium grey star are east of the large red pentagon and the purple shape. The large red pentagon touches the medium purple object. Block LLL have a medium red star and a medium grey star. This block covers a large grey pentagon. Another large grey pentagon is covered by this block. Near to the medium red star is the medium grey star. Large grey pentagon number one is to the north of large grey pentagon number two.",Are all objects near to a thing?,No,Yes No,1,1,near,near,No
1,YN,0x2 0x1,Two medium blue squares are inside a block called AAA. Under medium blue square number two is another medium blue square. Medium blue square number three is inside and touching block AAA. Medium blue square number two is under medium blue square number one and touches this shape.,Is a blue square above medium blue square number two?,Yes,Yes No,1,1,above,above,Yes
1,YN,1x3 2x1,"There exist three boxes, called DDD, EEE and JJJ. Box DDD is covered by box EEE. North of, disconnected from and in front of box EEE there is box JJJ. A tiny orange rectangle is inside and touching box EEE. Box EEE has a midsize orange rectangle. Box JJJ cover a tiny green rectangle and a midsize orange oval.",Is a rectangle behind the tiny green rectangle?,Yes,Yes No,3,3,behind,behind,No
1,YN,0x0 0x2,"Two boxes, called DDD and EEE exist. North of and disconnected from box EEE is box DDD with a midsize green rectangle and a midsize white rectangle. Away from this box there is box EEE. Box DDD covers another midsize green rectangle. South of midsize green rectangle number one there is midsize green rectangle number two. Midsize green rectangle number one is to the south of the midsize white rectangle. A midsize orange rectangle is within box EEE. Box EEE has another midsize orange rectangle.",Is any green rectangle south of any rectangle?,Yes,Yes No,1,2,below,below,Yes
0,YN,1x2 1x1,"We have two blocks, called HHH and LLL. Block HHH covers a medium red thing. Another medium purple hexagon touches and a medium grey hexagon is to the south of a medium purple hexagon. Block LLL has medium purple hexagon number one. This block has medium purple hexagon number two. The medium grey hexagon is inside and touching this block. To the south of medium purple hexagon number two is the medium grey hexagon.",Does medium purple hexagon number one touch a medium purple hexagon?,Yes,Yes No,1,1,ec,ec,Yes
0,YN,0x0 1x4,"We have three boxes, named DDD, EEE and JJJ. Box DDD covers a midsize white dimond. Box EEE with a large green rectangle is far from and in front of this box. Box DDD is under this box. A tiny white dimond and another large green rectangle are inside and touching box EEE. Below large green rectangle number one there is large green rectangle number two. Below the tiny white dimond there is large green rectangle number one. Below box DDD there is box JJJ with a large white rectangle. Under a midsize green dimond there is the large white rectangle. Box JJJ covers the midsize green dimond. A midsize orange rectangle is inside and touching this box.",Are all objects behind the tiny white dimond?,No,Yes No,5,3,behind,behind,No
1,YN,0x1 1x1,A midsize orange rectangle is within a box named DDD. Box DDD contains a green rectangle which is to the north of a midsize white rectangle. Box DDD covers the midsize white rectangle. The midsize orange rectangle is to the north of the green shape. Disconnected from and farther from box DDD is another box named EEE. A midsize white rectangle is inside and a midsize orange rectangle is covered by this box.,Is the green rectangle far from a midsize white rectangle?,Yes,Yes No,5,3,far,far,No
0,YN,0 0x0,A box named DDD have a midsize orange rectangle and a midsize white rectangle. The midsize white rectangle is over another midsize orange rectangle and touches midsize orange rectangle number one. Midsize orange rectangle number two is inside box DDD. Another midsize white rectangle is inside and touching box DDD. Above this thing there is midsize orange rectangle number two. Below the thing which was above midsize orange rectangle number two is midsize orange rectangle number one. Midsize white rectangle number two and midsize orange rectangle number two are below this thing. Another box named EEE covers box DDD.,Does a box cover midsize white rectangle number two?,Yes,Yes No,1,1,tppi,tppi,Yes
2,YN,1x1 1x2,"There is a block named HHH. There is a block called LLL. Block LLL has a little red pentagon which is to the north of and east of a little purple star.This thing is to the south of and east of another little red pentagon. Block LLL has the little purple star. This block contains little red pentagon number two. This block is to the south of, to the west of and close to another block called KKK. West of block HHH is block KKK with a medium hexagon.",Is a little pentagon west of any little red pentagon?,Yes,Yes No,1,1,left,left,No
2,YN,2 1,"We have three boxes, called one, two and three. Box two overlaps and box one covers box three. Box one has a medium yellow apple. Another medium yellow apple is covered by and a medium orange apple is within this box. The medium orange apple is under medium yellow apple number one and touches medium yellow apple number two. Under this fruit there is medium yellow apple number two. A medium green apple is within and another medium green apple is inside and touching box three. Medium green apple number one touches medium green apple number two.",Does box three overlap box two?,Yes,Yes No,1,1,po,po,No
2,YN,1x2 2,A medium yellow thing is covered by a box called one. Box one contains a medium green apple which touches this thing. Box one has another box named two. Two medium orange apples are below a medium green apple. Box two contains the medium green apple. This box covers medium orange apple number one and has medium orange apple number two. Above and touches medium orange apple number one there is medium orange apple number two. Another box named three has box two.,Is a medium green apple in a box?,Yes,Yes No,3,2,ntpp,ntpp,Yes
6,FR,1x1 1x0,A box called one covers a medium yellow apple and contains a medium orange apple. Below the medium orange apple is the medium yellow apple. There exists a box called two. A medium green apple is within and a medium orange apple is inside and touching box two. Under a medium yellow apple is the medium green apple. Box two has the medium yellow apple. The medium orange apple is under the medium green apple. Another box called three with a medium yellow apple covers box two. Another medium yellow apple is inside and touching and a medium orange apple is in this box. Medium yellow apple number two are below medium yellow apple number one and the medium orange apple. Above the medium orange apple there is medium yellow apple number one.,Where is the medium green apple regarding the medium orange apple covered by box two?,ABOVE,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,above,above,above
5,FR,1x2 0,A medium black square and a medium yellow square are in a block named AAA. Block AAA covers another medium yellow square and contains a medium blue square. North of medium yellow square number two there is medium yellow square number one. The medium blue square is to the south of the medium black square. Behind and far from block AAA is another block named BBB with a medium yellow square. To the north of the medium yellow square there is a medium blue square. The medium blue square is inside block BBB. A medium black square is covered by block BBB.,What is the position of the medium blue square in block BBB regarding block AAA?,BEHIND FAR,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,2,far,far,behind far
1,YN,2 1x0,"There are three boxes, named DDD, EEE and JJJ. Box DDD contains box EEE. Box EEE covers a midsize green rectangle. To the north of, behind and disconnected from this box there is box JJJ with a midsize white rectangle. North of a midsize green rectangle there is another midsize white rectangle. Midsize white rectangle number two is within box JJJ. Box JJJ covers the midsize green rectangle. A midsize orange rectangle is inside this box. North of the orange object there is midsize white rectangle number one.",Are all boxes to the north of a midsize green rectangle?,No,Yes No,1,2,above,above,No
1,YN,0x2 0x4,"We have three boxes, named DDD, EEE and JJJ. Box DDD with a midsize white dimond and a tiny orange oval is inside box EEE. This box covers a tiny green rectangle. A midsize green rectangle is inside this box. Near to this shape is the midsize white dimond. The midsize green rectangle is to the south of the tiny orange oval and is to the north of the tiny green rectangle. A tiny green oval and a midsize green dimond are in box EEE. Box EEE contains a large green rectangle. The large green rectangle is north of the midsize green dimond. A midsize white rectangle is in and a tiny white oval is covered by box JJJ. In front of the tiny white oval there is the midsize white rectangle.",Is the midsize green rectangle close to any midsize thing?,Yes,Yes No,1,1,near,near,Yes
3,YN,1x0 1x1,"There exist two blocks, called HHH and LLL. Block HHH contain a medium grey hexagon and a medium red hexagon. This block covers another medium grey hexagon. A purple hexagon is in this block. Medium grey hexagon number two is under medium grey hexagon number one. The medium red hexagon are over the purple thing and medium grey hexagon number two. Within block HHH is block LLL with a medium red hexagon. The medium red hexagon touches another medium red hexagon. Medium red hexagon number two is covered by block LLL.",Does medium red hexagon number two touch medium red hexagon number one?,Yes,Yes No,1,1,ec,ec,Yes
2,YN,0x1 0x3,There exists one box named DDD. This box has a midsize orange rectangle and covers another midsize orange rectangle. Midsize orange rectangle number two is under a midsize white rectangle which is inside this box. Midsize orange rectangle number one is over and touches the white thing. Another midsize orange rectangle is within box DDD. This object is above midsize orange rectangle number two. This object is over and touches midsize orange rectangle number one.,Is the white shape below all orange things?,No,Yes No,3,2,below,below,No
3,YN,0 1,"We have two blocks, named AAA and BBB. Block AAA covers a medium blue square. Above, in front of and near to this block there is block BBB with a medium black square. Another medium black square touches a medium blue square. Medium black square number two is in block BBB. Block BBB covers the medium blue square. Over and touches the object which touches the medium blue square is medium black square number one.",Are all blocks near to all blocks?,No,Yes No,1,1,near,near,Yes
3,FR,2x0 0x0,"We have three boxes, called one, two and three. A medium yellow apple is inside box one. Box one covers a medium orange apple. Box two contains a medium yellow apple and covers a medium orange apple. A medium green apple is inside this box. The medium orange apple touches the medium yellow apple. The medium yellow apple touches the medium green apple. To the right of box one there is box three with a medium green apple. Box one is disconnected from this box. Above a medium orange apple there is the medium green apple. The medium orange apple is within box three. Box three covers a medium yellow apple.",Where is the medium yellow apple covered by box three regarding the medium orange apple covered by box one?,RIGHT DC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,4,3,dc,dc,right
6,FR,1 0,"Two boxes, called one and two exist in the image. A medium green apple is inside and touching box one. Box one contains a yellow apple. The yellow thing touches the medium green apple. Inside box two there is box one. Box two covers an orange apple. A medium green apple is within this box. The orange thing touches the medium green apple. The medium green apple is over this fruit.",What is the position of box two regarding box one?,NTPPI,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,dc,ntppi,tpp
4,FR,1 0x1,"There exist two boxes, called DDD and EEE. Box EEE covers box DDD. Box DDD covers a white oval. A white rectangle is covered by this box. Above and to the right of this thing there is the oval. Box EEE has a midsize green dimond.",Where is EEE relative to the rectangle?,NTPPI,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,2,2,ntppi,ntppi,The correct answer is: above
1,YN,0x2 0x1,A box named DDD contains a midsize green rectangle. Another midsize green rectangle and a midsize orange rectangle are inside this box. Another midsize orange rectangle is inside and touching box DDD. Midsize orange rectangle number one is to the north of and this thing touches midsize green rectangle number two. South of and touches midsize green rectangle number one is the shape which was to the north of midsize green rectangle number two. Midsize green rectangle number two is north of midsize orange rectangle number two and touches this thing.,Do all midsize orange rectangles touch midsize green rectangle number two?,Yes,Yes No,1,1,ec,ec,No
0,YN,1 1x0,A box called DDD covers a midsize white rectangle. Within this box is another box named EEE. A midsize orange rectangle is inside and touching and another midsize orange rectangle is within this box. Midsize orange rectangle number one touches midsize orange rectangle number two. Midsize orange rectangle number two is to the north of this thing.,Do all boxes cover midsize orange rectangle number one?,No,Yes No,1,1,tppi,tppi,No
5,FR,0 1x0,"Two boxes, called DDD and EEE exist in the image. Box DDD with a midsize white rectangle is to the north of and behind box EEE. Disconnected from and farther from this box there is box EEE. Box DDD covers another midsize white rectangle. A midsize orange rectangle is in this box. Box EEE covers a midsize white rectangle and has a midsize orange rectangle.",What is the position of DDD relative to the midsize white rectangle covered by box EEE?,ABOVE BEHIND FAR DC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,2,behind,behind,behind
3,FR,0x3 0,"A block named AAA have a big black square, a medium black circle and a small black square. A blue triangle is in this block. The small black square is behind the medium black circle. A block named BBB exists in the image. There is a block called CCC. Block CCC have a small black square and a medium blue square. This block covers a big black circle which is in front of the small black square. To the north of and behind this object is the medium blue square.",Where is the big black square relative to AAA?,NTPP,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,ntpp,ntpp,above
3,YN,0x0 1x3,"There are two boxes, called DDD and EEE. To the south of box EEE is box DDD with a large orange rectangle. Behind and far from this box is box EEE. A midsize green dimond and a tiny orange dimond are inside box DDD. North of the tiny orange dimond there is the large orange rectangle. Box EEE contains a midsize white oval. A large orange rectangle is inside and touching and a tiny white dimond is in this box.",Is an orange dimond in front of a shape?,Yes,Yes No,4,3,front,front,Yes
5,FR,1x0 0x0,"Two blocks, named AAA and BBB exist in the image. A medium blue square is inside and touching block AAA. Away from and in front of block AAA there is block BBB. North of and disconnected from this block is block AAA. A medium black square and a medium blue square are within block BBB. The black object touches a yellow square. The yellow square is inside and touching block BBB. The medium blue square is to the north of the object which touches the yellow shape.",Where is the yellow thing regarding the medium blue square covered by AAA?,BELOW FRONT FAR DC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,3,3,front,front,below
3,FR,0x5 0x2,"There are two blocks, named HHH and LLL. Block LLL overlaps block HHH. Block HHH covers a large red star. A large purple star and a little red hexagon are within this block. A large grey pentagon is inside and touching block HHH. The large purple star is east of the little red hexagon and is to the north of the large red star. South of and east of this shape there is the large grey pentagon. Block LLL contain a large purple hexagon and a little red star. Another large purple hexagon is west of large purple hexagon number one. Large purple hexagon number two is covered by block LLL. A medium star is in block LLL. To the east of the little red star is this shape.",What is the position of the little red hexagon relative to the large grey pentagon?,LEFT,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,3,2,left,left,"above, north"
0,YN,0x0 0x1,There is one box named one. A medium yellow apple is covered by and a big orange melon is within box one. Near to the medium yellow apple is the orange thing.,Are all things close to the orange fruit?,No,Yes No,1,1,near,near,No
2,YN,0x1 1,"Two blocks, called AAA and BBB exist. A medium yellow square is inside block AAA. Over another medium yellow square there is this shape. Block AAA covers medium yellow square number two. Block BBB with a medium black square is under this block. In front of this block is block AAA. Two medium blue squares are in block BBB. Another medium black square is inside and touching block BBB. Medium black square number one is above medium blue square number one and is below medium blue square number two. Above medium black square number two is medium blue square number two.",Is medium yellow square number one in front of a block?,Yes,Yes No,1,2,front,front,No
2,YN,1 0,"A block named HHH has a little red star and covers a little grey pentagon. A little grey hexagon, a large grey star, a large red star and a large red pentagon are inside this block. North of the little grey hexagon there is the large red star. The large grey star is to the north of and the large red pentagon is to the west of this thing. West of the little grey pentagon is the little red star. To the north of the little grey hexagon there is the large red pentagon. South of and far from another block named LLL is block HHH. Block LLL covers a large grey hexagon.",Is a block far from a block?,Yes,Yes No,1,1,far,far,Yes
0,YN,2x0 2,"There are three boxes, named DDD, EEE and JJJ. Close to box JJJ is box EEE. Inside and touching this box there is box DDD. This box covers a midsize green rectangle. A midsize orange rectangle is covered by box EEE. Box JJJ covers a midsize green rectangle and has a midsize orange rectangle. A white rectangle is north of the midsize orange rectangle. The white rectangle is inside box JJJ. To the north of and touches the midsize green rectangle there is the midsize orange rectangle.",Does a midsize green rectangle cover any box?,No,Yes No,1,1,tppi,tpp,No
2,YN,1x0 0x0,A midsize orange object is inside a box named DDD. Box DDD has a midsize white rectangle and covers a midsize green rectangle. Behind and far from another box named EEE is this box. South of this box is box EEE with a midsize green rectangle and a midsize white rectangle. Another midsize white rectangle is covered by this box.,Is midsize white rectangle number two to the south of a midsize green rectangle?,Yes,Yes No,2,3,below,below,Yes
5,FR,1 0x0,A medium orange thing is inside and touching a box called one. A box called two exists in the image. A medium green apple is inside and another medium green apple is inside and touching box two. Box one is covered by another box named three. Box three is away from box two. Over and disconnected from this box there is box two. A medium green apple is inside and touching box three.,Where is box two relative to the medium orange thing?,ABOVE FAR DC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,4,3,dc,dc,"far, dc"
0,YN,0x0 1x0,"There exist three boxes, called one, two and three. Box one is east of and box two is disconnected from box three. East of box two is box three. A medium green apple is inside and touching box one. Box two covers a medium yellow apple and has another medium yellow apple. A medium orange apple is inside this box. Box three has a medium yellow apple and covers a medium green apple.",Are all medium green apples east of any medium yellow apple?,Yes,Yes No,3,4,right,right,No
4,FR,0x1 1,"Two boxes, called DDD and EEE exist. To the south of, disconnected from, away from and in front of box EEE there is box DDD. This box covers a midsize white rectangle. A midsize green rectangle is in this box. The midsize white rectangle touches this thing. Box EEE has a midsize green rectangle. To the south of another midsize green rectangle there is the midsize green rectangle. Midsize green rectangle number two is within box EEE. A midsize white rectangle is inside and touching box EEE. This shape touches the shape which was to the south of midsize green rectangle number two.",What is the position of the midsize green rectangle in box DDD regarding EEE?,BELOW FRONT FAR DC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,2,far,far,"south, dc"
4,FR,1x5 1x4,"Three blocks, named HHH, LLL and KKK exist in the image. Block LLL cover two large grey pentagons and a medium red hexagon. A large purple star, a medium grey pentagon and a medium purple pentagon are inside this block. Large grey pentagon number one are above the hexagon and the medium purple pentagon.Under the medium grey pentagon is this thing. Large grey pentagon number two is under the medium red hexagon and is to the right of the medium grey pentagon. The medium purple pentagon is on the left side of the medium red hexagon. Below the object that was above the medium purple pentagon there is the large purple star. Above the medium purple pentagon is the hexagon. Below the thing which was under large grey pentagon number one there is the medium purple pentagon. A medium red star is covered by block KKK.",Where is the large purple star regarding the medium grey pentagon?,BELOW,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,2,below,below,below
5,FR,0 0x3,There exists one block named AAA. Two medium blue squares and a medium yellow square are inside block AAA. Medium blue square number two is below the yellow shape. Over and touches the yellow thing there is medium blue square number one. Block AAA covers a medium black square which is below the shape which was under the yellow thing. Above this object is the yellow thing. Medium blue square number two is below medium blue square number one and touches the black shape.,What is the position of block AAA regarding medium blue square number one?,NTPPI,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,ntppi,ntppi,above
4,FR,1x1 2,"There are three blocks, called AAA, BBB and CCC. Block AAA have a big blue triangle, a big blue square and a small yellow square. This block covers a small yellow circle. In front of the small yellow square is the big blue square. Another big blue triangle is inside block AAA. Big blue triangle number two is south of the big blue square. Block AAA is inside and touching block BBB. Block BBB covers a big blue triangle. Disconnected from and in front of this block is block CCC with a big blue triangle.",Where is the big blue triangle covered by BBB relative to block CCC?,BEHIND DC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,3,2,behind,behind,above
1,YN,0 0x2,A medium blue square is in a block called AAA. Block AAA contains another medium blue square which is south of this thing. Behind and away from block AAA there is another block named BBB. Block AAA is south of this block. A medium yellow square is covered by block BBB. Block BBB is to the north of another block called CCC. Block CCC contains a medium yellow square which is to the north of another medium yellow square. Block CCC covers medium yellow square number two.,Is AAA covered by medium blue square number one?,No,Yes No,1,1,tpp,ntppi,No
2,YN,0x0 0x1,A medium grey hexagon is inside and touching a block called HHH. This object is under another medium grey hexagon. Block HHH contains another medium grey hexagon which is above and touches medium grey hexagon number two. Block HHH has medium grey hexagon number two. Medium grey hexagon number two touches medium grey hexagon number one.,Does medium grey hexagon number one touch medium grey hexagon number two?,Yes,Yes No,1,1,ec,ec,Yes
0,YN,0x3 0x2,One block called HHH exists. This block cover a large red star and a large grey hexagon. This block has a large grey pentagon which is to the left of the large red star. A medium grey hexagon is to the left-hand side of and a large purple pentagon is under this thing. Below and to the left of the purple object is the medium thing. The medium thing is covered by block HHH. The large purple pentagon is in block HHH. Close to the large grey hexagon is this shape. To the right of this object there is the star.,Is an object on the right side of any thing?,Yes,Yes No,2,2,right,right,Yes
