q_id,q_type,q_query,story,question,answer,choices,reasoning_steps,num_facts,asked_relation,target_relation,model_answer
4,FR,1x0 0x0,"There are two boxes, named DDD and EEE. Box DDD covers a midsize white rectangle. This box is disconnected from and away from box EEE. Box EEE have two midsize orange rectangles. Midsize orange rectangle number two is north of and a midsize white rectangle touches midsize orange rectangle number one. Box EEE covers a green rectangle which is to the south of midsize orange rectangle number one. The midsize white rectangle is within box EEE. South of the shape that was to the north of midsize orange rectangle number one is the thing which was to the south of midsize orange rectangle number one.",What is the position of the green rectangle relative to the midsize white rectangle covered by DDD?,FAR DC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,4,3,dc,dc,far
3,FR,1x0 1x2,A block named HHH exists. Within block HHH is another block called LLL with a medium grey star and a medium purple hexagon. A large red star is covered by and a medium red hexagon is in this block. Block LLL covers a large purple star. To the left of the large purple star is the medium grey star. The large red star is under this shape. On the right side of the medium purple hexagon there is the medium red hexagon.,Where is the large purple star relative to the medium grey star?,RIGHT,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,right,right,right
0,YN,2 1x1,A midsize green rectangle is inside and touching a box named DDD. There exists a box called EEE. A midsize orange rectangle touches a midsize green rectangle. The midsize orange rectangle is covered by box EEE. Box EEE contains the midsize green rectangle. Another box named JJJ with two midsize green rectangles covers this box. Another midsize green rectangle is in and a midsize orange rectangle is covered by this box. Midsize green rectangle number two are north of midsize green rectangle number one and midsize green rectangle number three.To the north of and touches midsize green rectangle number one is midsize green rectangle number three. Midsize green rectangle number one touches the midsize orange rectangle.,Do all boxes have a green rectangle?,No,Yes No,1,2,ntppi,ntppi,No
3,YN,0x2 0,A large white rectangle is within and a midsize orange oval is covered by a box named DDD. The midsize orange oval are east of a midsize orange rectangle and the large thing. The midsize orange rectangle and the white shape are to the east of a midsize green oval.Box DDD has another midsize orange oval which is to the north of the green thing. Box DDD contains the green object. South of the shape which was to the north of the green shape there is the white object. Box DDD contains the midsize orange rectangle.,Is a midsize object inside all boxes?,Yes,Yes No,1,1,ntpp,ntpp,No
3,YN,0 0x2,A medium orange thing is within and a medium green apple is covered by a box called one. Box one contains another medium green apple which is over medium green apple number one and touches the orange fruit. Medium green apple number one is below the medium orange thing.,Does a box have all fruits?,No,Yes No,1,1,ntppi,ntppi,Yes
7,FR,0 1,"Two blocks, called AAA and BBB exist in the image. Block AAA is over and behind block BBB. Block BBB is near to this block. A medium black square is inside and touching block AAA. A medium blue shape is covered by block BBB. This thing is under and a medium black square touches a medium yellow square. Block BBB has the medium yellow square. This block contains the medium black square. Over the medium blue shape there is the medium black square. The yellow shape is below this object.",What is the position of block AAA relative to block BBB?,ABOVE BEHIND NEAR,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,near,near,behind
6,FR,0x0 0,There exists one block called HHH. A medium grey hexagon is inside block HHH. Block HHH have a medium red hexagon and another medium grey hexagon. This block covers another medium red hexagon. Above medium red hexagon number two there is medium grey hexagon number one. Medium grey hexagon number two and medium red hexagon number one are over this object.Medium grey hexagon number two touches medium red hexagon number one.Medium red hexagon number two touches medium grey hexagon number one. Below medium grey hexagon number two is medium red hexagon number one. Medium grey hexagon number one touches this thing.,What is the position of medium red hexagon number two relative to HHH?,TPP,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,dc,tpp,below
2,FR,0x3 0x2,"Two boxes, called one and two exist. Box one cover a big orange apple and a small green melon. This box contains a medium orange apple. East of the medium orange apple is the big orange apple. South of the small green melon is the medium orange apple. South of the big orange apple is the small green melon. East of a medium orange melon is a small green watermelon. The small green watermelon is in box two. The medium orange melon is within box two. North of another medium orange melon there is this fruit. Box two has medium orange melon number two. West of a big yellow watermelon is medium orange melon number two. The big yellow watermelon is inside and touching box two. This box have a small yellow watermelon and a small orange melon. West of the small orange melon there is the small yellow watermelon.",Where is the medium orange apple relative to the big orange apple?,LEFT BELOW,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,2,below,below,west
5,FR,0x3 0,"A big orange apple, a small green apple and a big yellow melon are within a box named one. A small orange apple is below the big yellow melon. The green fruit is over and near to the melon. Box one covers the small orange apple. The big yellow melon is below the big orange apple and is to the right-hand side of the green fruit. The big orange apple is above the small orange apple.",What is the position of the small orange apple relative to box one?,TPP,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,tpp,tpp,below
1,YN,1x0 1x3,"We have two blocks, named HHH and LLL. In block HHH there is block LLL. This block cover a large grey pentagon and a large grey star. A medium purple pentagon is close to the star and is to the east of the large grey pentagon. North of a medium grey hexagon there is this thing. The medium purple pentagon is within block LLL. Block LLL has the medium grey hexagon. The medium grey hexagon is north of and the star is to the east of the large grey pentagon. To the east of the object that was to the north of the large grey pentagon there is the large grey star.",Are all shapes near to the medium purple pentagon?,No,Yes No,1,1,near,near,Yes
0,YN,1x0 0,A box named one covers a medium orange apple. This box has another box named two. A medium yellow apple is to the north of another medium yellow apple. Medium yellow apple number two touches a medium green apple. North of and touches the medium green apple is medium yellow apple number one. Medium yellow apple number one is inside box two. Medium yellow apple number two is inside and touching box two. Box two has the green fruit.,Are all things inside box one?,No,Yes No,2,2,ntpp,ntpp,No
7,FR,0x2 0x0,A block called AAA contains a small blue triangle and covers a big circle. A black triangle and a medium yellow square are covered by this block. The big circle is in front of the small blue triangle. Above and in front of the small blue triangle is the yellow object. A small blue square is inside block AAA. The small blue triangle are above the big shape and the black object.In front of the circle there is the small blue square. Behind the medium shape there is the black triangle.,What is the position of the small blue triangle relative to the small blue square?,BEHIND,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,3,2,behind,behind,above
5,FR,0 0x1,A tiny green oval is inside and touching and a large orange dimond is in a box called DDD. Close to the large orange dimond is the tiny green oval. Another box named EEE with a tiny white oval and a tiny orange oval contains box DDD. A tiny orange dimond is inside and touching and a tiny green dimond is inside this box. The tiny orange dimond is to the east of and the tiny orange oval is west of the tiny green dimond.,Where is box DDD regarding the tiny green oval?,TPPI,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,tppi,tppi,near
0,YN,0x0 0,"We have two boxes, called one and two. A medium green apple is inside box one. Box one covers a medium orange apple. The medium green apple touches the medium orange apple. Box two with a medium green apple contains box one. This box covers a medium orange apple. To the north of the medium orange apple there is the medium green apple.",Are all things inside and touching box one?,No,Yes No,1,1,tpp,tpp,No
2,YN,1 0x2,"There are two blocks, named HHH and LLL. Disconnected from block HHH there is block LLL. Under and to the left-hand side of this block there is block HHH with a little purple pentagon. A medium red pentagon and a little purple hexagon are inside block HHH. The medium red pentagon is below the little purple hexagon. Close to the little purple pentagon there is a medium purple pentagon. The medium purple pentagon is inside and touching block HHH. The little purple hexagon is near to this thing. Block LLL has a medium grey star and covers a little grey hexagon. The little grey hexagon is near to the medium grey star.",Is a block disconnected from the medium purple pentagon?,Yes,Yes No,2,2,dc,dc,Yes
2,YN,2x2 2x1,"We have three boxes, named DDD, EEE and JJJ. Inside box DDD there is box EEE. A midsize green oval is covered by box DDD. A large white oval and a midsize orange dimond are in box EEE. Over the midsize orange dimond there is the large white oval. A midsize green oval and a midsize white oval are inside box JJJ. The midsize green oval and a midsize orange rectangle are near to the midsize white oval. Box JJJ contain a large white oval and a large orange oval. The rectangle is covered by this box. The midsize white oval is over the rectangle. The large white oval touches the large orange oval.",Is any shape near to a midsize green oval?,Yes,Yes No,1,1,near,near,Yes
3,YN,0x0 0x2,"We have two boxes, named DDD and EEE. Box EEE is to the south of box DDD. Box DDD contain a midsize orange rectangle and a midsize white rectangle. This box covers a midsize green rectangle. To the south of the midsize orange rectangle is the midsize green rectangle. The midsize orange rectangle is to the south of the midsize white rectangle. Box EEE have a midsize orange rectangle and a midsize white rectangle. A midsize green rectangle is covered by this box. To the south of the midsize white rectangle there is this thing. To the north of the midsize orange rectangle there is the midsize white rectangle. To the north of the midsize green rectangle there is the midsize orange rectangle.",Are all midsize green shapes to the south of any midsize white rectangle?,Yes,Yes No,1,2,below,below,Yes
1,YN,1x4 0x0,"There exist two blocks, called AAA and BBB. Block AAA covers a medium yellow circle. A big yellow circle is in and a small black square is inside and touching this block. In front of block AAA there is block BBB with a small blue triangle, a big yellow square and a small black circle. North of and farther from this block is block AAA. A small blue circle is within block BBB.",Are all circles in front of the small black square?,No,Yes No,3,3,front,front,No
6,FR,2x3 1x0,"A midsize orange oval is within a box named DDD. North of another box called EEE is box DDD. Box EEE have a large orange rectangle and a midsize green rectangle. Behind, to the south of and disconnected from another box called JJJ there is this box. A midsize orange dimond is in and a midsize green oval is inside and touching box JJJ. Box JJJ covers a large orange dimond.",Where is the midsize orange dimond relative to the large orange rectangle?,ABOVE FRONT DC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,3,3,front,front,behind
4,FR,0x0 2x1,A box called one covers a medium orange apple. Over and to the left-hand side of this box is another box called two. Box one is disconnected from this box. A medium orange apple is in box two. Box two covers a medium green apple. Another box called three is inside and touching this box. A medium green apple touches a yellow apple. The medium green apple is inside box three. Box three covers the yellow fruit.,Where is the medium orange apple covered by box one regarding the medium green apple in box three?,RIGHT BELOW DC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,7,4,right,right,above
0,YN,0x1 0x3,"There exists one box named DDD. An orange dimond, a tiny oval and a midsize orange oval are within box DDD. Box DDD has a white rectangle. The rectangle is east of the midsize orange oval. North of and to the east of the tiny shape there is this object. The orange dimond is west of and near to the midsize orange oval. To the east of this shape is the tiny oval. Near to this thing is the dimond.",Is the rectangle east of any shape?,Yes,Yes No,1,2,right,right,Yes
4,FR,1 0x1,"There are two boxes, named DDD and EEE. Box DDD has a midsize green rectangle and covers another midsize green rectangle. To the north of and touches midsize green rectangle number two there is midsize green rectangle number one. Box DDD is to the south of and in front of box EEE. Disconnected from this box there is box EEE. This box covers a midsize orange rectangle.",What is the position of EEE regarding midsize green rectangle number one?,ABOVE BEHIND DC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,2,2,behind,behind,behind
1,YN,1x2 2,A box called one covers a medium orange apple. Another medium yellow apple and another medium orange apple are under a medium yellow apple which is within this box. Medium yellow apple number two and medium orange apple number two are in box one. Two medium orange apples are below medium yellow apple number two. Medium orange apple number one is under medium orange apple number two. Box one has another box called two. Two medium yellow apples and a medium orange apple are inside box two. The medium orange apple is under and medium yellow apple number two is over medium yellow apple number one. Above and on the left side of another box called three is box two. Disconnected from this box is box three.,Are all yellow apples on the left side of a box?,No,Yes No,1,2,left,left,No
6,FR,0 0x1,There exists one block called AAA. A medium black square and a yellow square are in block AAA. The yellow thing is north of another medium black square. To the north of and touches medium black square number two there is medium black square number one. Medium black square number two is inside and touching block AAA. South of the yellow object is the shape that touches medium black square number two.,Where is block regarding medium black square number one?,NTPPI,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,ntppi,ntppi,above
1,YN,0 1,"There are two blocks, named HHH and LLL. Block LLL overlaps block HHH. Block HHH covers a large red star. A large purple star and a little red hexagon are within this block. A large grey pentagon is inside and touching block HHH. The large purple star is east of the little red hexagon and is to the north of the large red star. South of and east of this shape there is the large grey pentagon. Block LLL contain a large purple hexagon and a little red star. Another large purple hexagon is west of large purple hexagon number one. Large purple hexagon number two is covered by block LLL. A medium star is in block LLL. To the east of the little red star is this shape.",Does block HHH overlap all blocks?,No,Yes No,1,1,po,po,No
2,YN,0 0x0,A medium black square is within and another medium black square is inside and touching a block named AAA. Medium black square number two touches medium black square number one.,Does block cover a thing?,Yes,Yes No,1,1,tppi,tppi,Yes
2,YN,1x0 1x2,"There are two blocks, named HHH and LLL. A medium purple hexagon is inside block HHH. The medium purple hexagon and a large grey hexagon are above a medium purple pentagon.Under a little red star is the medium purple hexagon. Block HHH contains the medium purple pentagon. This block covers the little red star. The little red star is above the large grey hexagon. Block HHH covers the large grey hexagon. Block LLL with a medium red pentagon and a little purple hexagon covers this block. Near to the little purple hexagon there is the medium red pentagon. Block LLL covers a little purple pentagon.",Are all objects close to all objects?,No,Yes No,1,1,near,near,No
2,YN,0x1 0x0,"A midsize orange oval and a tiny orange rectangle are inside a box named DDD. In front of the tiny orange rectangle is the midsize orange oval. In front of this thing there is a large white dimond. The large white dimond is covered by box DDD. Another box named EEE with a midsize orange rectangle is behind, under and disconnected from box DDD. In front of a tiny white rectangle is the midsize orange rectangle. The tiny white rectangle is inside and touching box EEE. A midsize green oval is within box EEE.",Are all orange shapes behind all large white dimonds?,Yes,Yes No,3,2,behind,behind,Yes
2,YN,1 1x0,"There are two boxes, named one and two. A medium yellow apple is to the north of a medium green apple and is to the south of another medium green apple. The medium yellow apple is inside box two. Medium green apple number one is covered by box two. Medium green apple number two is in box two. Another medium green apple is in box two. This thing is to the north of the medium yellow apple and touches medium green apple number two. Medium green apple number two is to the north of and medium green apple number one is south of this fruit. Medium green apple number one touches the medium yellow apple.",Do all boxes cover all medium green apples?,No,Yes No,1,1,tppi,tppi,No
5,FR,0 1x0,"There are two boxes, called DDD and EEE. Box DDD contains box EEE. This box cover a tiny green dimond, a midsize orange oval and a large orange oval. A tiny green oval and a tiny white dimond are to the right-hand side of the tiny green dimond. The tiny green oval, the tiny white dimond and a large white dimond are in box DDD. The midsize object is below the tiny green oval. To the left of the large white dimond there is the tiny green dimond. The large orange oval touches the tiny green oval. Above the tiny white dimond there is the large white dimond. A tiny white dimond is within box EEE. Box EEE contain a tiny green rectangle and a tiny white rectangle. To the left of the tiny green rectangle is the tiny white dimond. The tiny white rectangle is to the left-hand side of this object.",Where is DDD relative to the tiny green rectangle?,NTPPI,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,2,ntppi,ntppi,above
0,YN,1x1 0x0,A block called HHH contains a medium grey hexagon. Another medium grey hexagon is covered by and a medium red hexagon is within this block. To the north of medium grey hexagon number two is the medium red hexagon. To the north of this thing is medium grey hexagon number one. North of block HHH there is another block named LLL with a medium grey hexagon. Away from and to the east of this block there is block HHH. Block LLL covers a medium purple hexagon.,Is a grey hexagon to the north of medium grey hexagon number two?,Yes,Yes No,4,3,above,above,Yes
4,FR,0x0 1x0,A little purple pentagon is within and a large purple star is inside and touching a block named HHH. On the right side of another block named LLL there is block HHH. Over and disconnected from this block there is block LLL with a medium red hexagon. A little red hexagon is covered by this block. Above and on the left side of block LLL there is another block named KKK. A large red star is covered by and a large red pentagon is inside this block.,Where is the little purple pentagon relative to the medium red hexagon?,RIGHT BELOW DC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,2,3,right,right,left
7,FR,0x0 0x2,There exists one block named AAA. A small black square and a big blue square are in block AAA. A big black square is inside and touching block AAA. Block AAA covers a big yellow square. The blue object is above the big black square. Under and close to the small object is this object. Below this object is the big yellow square. The big black square is in front of this thing.,Where is the blue shape relative to the big yellow square?,ABOVE,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,above,above,above
4,FR,0 1x0,"There are two boxes, called DDD and EEE. Two midsize white rectangles and a green rectangle are inside box DDD. Another midsize white rectangle is covered by box DDD. Midsize white rectangle number one touches and this thing is south of midsize white rectangle number two. South of, disconnected from and in front of box EEE there is box DDD. Box EEE covers a midsize white rectangle.",Where is DDD relative to the midsize white rectangle covered by EEE?,BELOW FRONT DC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,2,dc,dc,behind
0,YN,1x0 0x0,"Two blocks, named AAA and BBB exist. Block AAA has a medium black square. A medium blue square is inside and touching this block. Behind and disconnected from block AAA is block BBB with a medium yellow thing and a medium blue square. Block AAA is farther from this block. To the north of medium blue square number one there is another medium blue square. Medium blue square number two is within block BBB. Block BBB covers another medium blue square. Medium blue square number one are north of the medium yellow thing and medium blue square number three. The yellow shape is to the north of medium blue square number three and is south of medium blue square number two.",Is medium blue square number three far from a medium blue square?,Yes,Yes No,5,3,far,far,Yes
7,FR,1x3 0,"We have two boxes, called DDD and EEE. Box DDD contains box EEE. This box covers a midsize white rectangle. A midsize white rectangle and a midsize green shape are within box EEE. Box EEE covers another midsize white rectangle and has another midsize white rectangle. The midsize green shape is to the north of and midsize white rectangle number three is to the south of midsize white rectangle number one. Midsize white rectangle number one is to the north of midsize white rectangle number two.",Where is the green object relative to DDD?,NTPP,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,2,2,ntpp,ntpp,inside
6,FR,2x4 0x2,A medium red star is covered by a block called HHH. We have a block named LLL. South of and to the west of another block named KKK there is block HHH. Disconnected from and farther from this block is block KKK with a little grey pentagon and a large grey pentagon. To the north of the large grey pentagon there is a large purple pentagon. The large purple pentagon is covered by block KKK. North of a large grey hexagon is the large grey pentagon. The large grey hexagon is inside and touching block KKK. Block KKK covers a little purple hexagon.,Where is the large grey hexagon regarding the medium red star?,RIGHT ABOVE FAR DC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,3,3,dc,dc,below
1,YN,2 2x0,A box named DDD contains a midsize orange rectangle. Another midsize orange rectangle touches midsize orange rectangle number one. Midsize orange rectangle number two is covered by box DDD. A box called EEE exists in the image. A midsize white rectangle is under a midsize orange rectangle. The white thing is covered by box EEE. Box EEE has the midsize orange rectangle. Under another midsize orange rectangle there is the midsize orange rectangle. Midsize orange rectangle number two is inside box EEE. This box contains another midsize orange rectangle. Another box called JJJ overlaps box DDD. A midsize orange rectangle is below and touches a midsize green rectangle. The midsize orange rectangle is inside and touching box JJJ. The green object is in box JJJ.,Do all boxes cover a midsize orange rectangle?,No,Yes No,1,1,tppi,tppi,No
0,YN,0x0 0x2,"One block named HHH exists in the image. This block covers a large purple hexagon. A little star and a red pentagon are within this block. Above, on the left side of and near to the pentagon there is the little star. Below and near to the red pentagon is the large object. The pentagon is on the left side of and touches this thing.",Are all things on the left side of an object?,No,Yes No,1,2,left,left,No
6,FR,2x3 0,"There exist three boxes, called DDD, EEE and JJJ. Box DDD is covered by box EEE. North of, disconnected from and in front of box EEE there is box JJJ. A tiny orange rectangle is inside and touching box EEE. Box EEE has a midsize orange rectangle. Box JJJ cover a tiny green rectangle and a midsize orange oval.",Where is the midsize orange oval regarding DDD?,ABOVE FRONT DC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,4,3,front,front,far
4,FR,0 1x1,A block called HHH covers a medium grey hexagon. Inside this block is another block called LLL with a medium red thing. The red shape touches a medium grey hexagon. The medium grey hexagon is inside and touching block LLL.,Where is HHH relative to the medium red thing?,NTPPI,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,2,2,ntppi,ntppi,above
3,YN,0 0x1,One block named AAA exists in the image. This block contains a medium black square. Another medium black square is covered by and a medium blue square is inside this block. Medium black square number two touches the blue object. Above and touches the blue object there is medium black square number one. Over medium black square number two is the medium blue square.,Does any block contain the medium blue square?,Yes,Yes No,1,1,ntppi,ntppi,Yes
2,YN,1x2 0x1,"There are two blocks, named AAA and BBB. Block AAA with a medium yellow square is over, behind and disconnected from block BBB. This block covers another medium yellow square. A medium black square is in block BBB. Block BBB covers another medium black square which is under another medium black square. Block BBB has medium black square number three. Below medium black square number one is medium black square number three.",Is medium black square number one in front of all medium yellow squares?,Yes,Yes No,3,3,front,front,No
1,YN,1x0 1,"Two blocks, named HHH and LLL exist. Inside block LLL is block HHH. Block LLL covers a medium purple hexagon. A medium red hexagon is over the medium purple hexagon. The red shape is within block LLL. Another medium purple hexagon is inside block LLL. This thing touches the red thing.",Are all medium purple hexagons inside and touching a block?,No,Yes No,1,1,tpp,tpp,Yes
2,YN,0 0x2,A medium black triangle and a big blue triangle are inside a block called AAA. Block AAA cover a big black triangle and a blue circle. The big blue triangle is under the medium black triangle. This shape is behind and close to the big black triangle. The big black triangle is below this thing. This shape is behind and under the circle. The circle is under the medium black triangle.,Do all blocks contain all medium black triangles?,Yes,Yes No,1,1,ntppi,ntppi,No
5,FR,2x0 1x1,"A box named DDD contains a midsize orange rectangle. A midsize green rectangle and another midsize orange rectangle are in this box. Below midsize orange rectangle number one there is midsize orange rectangle number two. Under the midsize green rectangle is midsize orange rectangle number one. Box DDD is disconnected from, away from and in front of another box named EEE. Over this box is box EEE. This box covers a midsize orange rectangle. A midsize white rectangle is within this box. Inside and touching box DDD there is another box named JJJ. This box covers a midsize white rectangle.",What is the position of the midsize white rectangle covered by box JJJ regarding the midsize white rectangle in EEE?,BELOW FRONT FAR DC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,5,4,front,front,below
4,FR,1x0 0x1,"A block called AAA contains a medium black square and covers a medium blue square. Under and touches the medium black square there is the blue shape. Behind, under, disconnected from and near to block AAA is another block named BBB. A medium black square is covered by this block.",Where is the medium black square covered by BBB relative to the medium black square in AAA?,BELOW BEHIND DC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,2,3,behind,behind,behind
6,FR,0x0 1,A block called HHH covers a red hexagon and contains a medium grey hexagon. Two medium purple hexagons are in this block. The medium grey hexagon touches medium purple hexagon number two. Medium purple hexagon number one is over the red hexagon. Under this shape is the thing which touches medium purple hexagon number two. Over and disconnected from block HHH there is another block named LLL with a medium grey hexagon. Block HHH is to the left-hand side of this block. Block LLL covers a medium purple hexagon.,Where is the red hexagon relative to block LLL?,LEFT BELOW DC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,2,2,ntpp,left,below
5,FR,0x4 0x0,Two large red stars and a medium red pentagon are covered by a block named HHH. A medium grey pentagon and a large purple hexagon are within block HHH. The medium red pentagon are below large red star number one and the large purple hexagon.Over and to the right of the grey thing there is this shape. Large red star number two is under the grey thing. The purple object is to the right-hand side of the grey thing and is to the left of large red star number one. The grey object is near to this thing.,What is the position of the purple object relative to the grey object?,RIGHT ABOVE NEAR,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,near,near,right
2,YN,0x2 0x3,"There exist two blocks, named AAA and BBB. Behind and disconnected from block AAA is block BBB. Over this block there is block AAA with a small blue triangle. A medium blue triangle is inside and a big blue square is inside and touching block AAA. The big blue square is near to the medium blue triangle. A big yellow triangle is in block BBB. Block BBB has a medium yellow square.",Is the medium blue triangle away from the big blue square?,No,Yes No,1,1,far,near,No
5,FR,1x1 1x0,An orange rectangle is inside and touching a box named DDD. Another box named EEE with a midsize green rectangle is behind box DDD. This box covers a midsize white thing which is to the south of the green thing.,What is the position of the green shape relative to the white shape?,ABOVE,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,above,above,above
5,FR,0x0 1x0,"Two blocks, called HHH and LLL exist in the image. Block HHH covers a medium grey hexagon. Under and close to this block is block LLL. Disconnected from and on the left side of this block is block HHH. A medium red hexagon is inside and another medium red hexagon is covered by block LLL. Below medium red hexagon number one is medium red hexagon number two. Medium red hexagon number one touches this thing.",Where is the grey object relative to medium red hexagon number two?,LEFT ABOVE DC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,4,3,left,left,above
4,FR,1 0,A midsize green rectangle is covered by a box called DDD. Behind and disconnected from box DDD is another box named EEE with a midsize green rectangle. Below and close to this box is box DDD. Box EEE covers another midsize green rectangle. Over midsize green rectangle number one is another midsize green rectangle. Midsize green rectangle number three is within box EEE.,What is the position of box EEE regarding DDD?,ABOVE BEHIND NEAR DC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,near,near,behind
6,FR,0x0 0x2,"Three blocks, called AAA, BBB and CCC exist in the image. Block AAA contains a small yellow triangle. The small yellow triangle is behind a big yellow triangle. The big yellow triangle is within block AAA. A big blue square is in block AAA. Behind the thing which was behind the big yellow triangle there is this shape. In front of block AAA there is block BBB with a medium black circle. Disconnected from this block there is block AAA. To the south of a medium black triangle is a big blue circle. The big blue circle is covered by block CCC. Block CCC covers the medium black triangle. This block covers a small yellow triangle.",Where is the big yellow triangle relative to the big blue square?,FRONT,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,3,2,front,front,above
