q_id,q_type,q_query,story,question,answer,choices,reasoning_steps,num_facts,asked_relation,target_relation,model_answer
0,YN,0x3 2x1,"There exist three boxes, called DDD, EEE and JJJ. Box EEE is to the right-hand side of box DDD. Box DDD is away from box JJJ. Disconnected from and to the left-hand side of this box is box JJJ. A midsize white rectangle and a midsize orange rectangle are within box DDD. Box DDD covers another midsize orange rectangle. A midsize white rectangle is covered by box EEE. A midsize green rectangle is within box JJJ. Box JJJ has a midsize white rectangle.",Are all midsize white rectangles to the right-hand side of a midsize green rectangle?,No,Yes No,4,3,right,right,No
3,YN,0 0x0,There exists one block called AAA. A medium black square and a yellow square are in block AAA. The yellow thing is north of another medium black square. To the north of and touches medium black square number two there is medium black square number one. Medium black square number two is inside and touching block AAA. South of the yellow object is the shape that touches medium black square number two.,Do all blocks cover any medium black square?,Yes,Yes No,1,1,tppi,tppi,No
1,YN,2 0x3,"We have three boxes, called one, two and three. Box three has box one. A medium orange apple is in box one. Box one has another medium orange apple. To the north of medium orange apple number two is medium orange apple number one. A medium green apple and a medium yellow apple are inside box two. Box two has a medium orange apple. The medium green apple touches the medium yellow apple. Another medium green apple is covered by box two.",Does box three have all orange apples?,No,Yes No,2,2,ntppi,ntppi,No
2,YN,1 0x6,"Three boxes, called one, two and three exist in the image. Box one contain a big yellow melon and a small orange watermelon. Box two has a small yellow apple. A small orange apple is inside and touching this box. Box one is in box three. Box two is south of, farther from and west of box three. A small yellow watermelon is inside box three.",Are all boxes far from all orange watermelons?,No,Yes No,3,3,far,far,No
0,YN,0 1,"There are two blocks, named HHH and LLL. A medium grey hexagon is covered by block HHH. Block LLL overlaps block HHH. A medium red hexagon is inside and touching this block.",Does HHH overlap LLL?,Yes,Yes No,1,1,po,po,Yes
3,YN,1x1 1x0,"There exist three boxes, named one, two and three. Box two is within box one. This box covers a medium orange apple and contains another medium orange apple. A medium green apple and a medium yellow apple touch medium orange apple number two. The green thing and the medium yellow apple are in box two. Medium orange apple number one touches the medium yellow apple. Under the green fruit there is the medium yellow apple. Medium orange apple number two is over medium orange apple number one. A medium orange apple and a medium yellow apple are inside box three. The medium orange apple touch the medium yellow apple and another medium yellow apple. Box three covers medium yellow apple number two.",Does a medium yellow apple touch medium orange apple number one?,Yes,Yes No,1,1,ec,ec,Yes
1,YN,1x3 0x1,"Two boxes, named DDD and EEE exist in the image. Box DDD with a midsize orange rectangle is to the south of and disconnected from box EEE. Box EEE is in front of this box. Another midsize orange rectangle is inside box DDD. A midsize green rectangle is covered by and another midsize green rectangle is within box EEE. Box EEE has a midsize white rectangle.",Are all midsize shapes in front of midsize orange rectangle number two?,No,Yes No,3,3,front,front,No
2,YN,1x0 0x0,"A medium purple hexagon is inside and touching a block called HHH. A block named LLL exists in the image. A medium purple hexagon is inside block LLL. Block LLL covers another medium purple hexagon. This block is in another block called KKK with a medium purple hexagon. South of, disconnected from and east of block KKK is block HHH.",Is medium purple hexagon number two to the west of all objects?,No,Yes No,6,4,left,left,No
1,YN,2x2 1,"There are three boxes, named DDD, EEE and JJJ. Box EEE covers a midsize orange rectangle and has a midsize green rectangle. Disconnected from box JJJ there is this box. To the south of and far from this box there is box JJJ with a midsize orange rectangle. Another midsize orange rectangle and a midsize white rectangle are in this box. Another midsize orange rectangle is covered by box JJJ.",Does midsize orange rectangle number two cover EEE?,No,Yes No,1,2,tppi,far,No
3,YN,2x1 1x2,"There are three boxes, named one, two and three. Box three is on the right side of box one. Over, away from and to the left-hand side of box two there is this box. Box one with a medium orange apple is away from this box. This box covers another medium orange apple. A medium yellow apple is inside box two. A medium green apple and a medium yellow apple are in box three. Another medium green apple is inside and touching box three.",Is medium green apple number one far from any medium yellow apple?,Yes,Yes No,3,3,far,far,Yes
3,FR,1x0 2x0,A box called one covers a medium green apple. There is a box named two. Box two has a medium green apple which is to the north of a medium yellow apple. Box two has the medium yellow apple. To the north of another medium yellow apple is the medium yellow apple. Box two covers medium yellow apple number two. Disconnected from and to the west of another box called three is this box. Box three is south of and near to this box. This box covers a medium green apple.,Where is medium yellow apple number two regarding the medium green apple covered by box three?,LEFT ABOVE DC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,4,3,above,above,near
1,YN,1x1 1x2,"Two boxes, called DDD and EEE exist in the image. Inside and touching box EEE is box DDD with a midsize orange rectangle and a midsize white rectangle. Box EEE covers a midsize white rectangle. A midsize green rectangle and a midsize orange rectangle are in this box. The midsize orange rectangle touches the midsize green rectangle. The midsize white rectangle is below and touches the midsize green rectangle. Below the midsize orange rectangle is the midsize green rectangle.",Does the midsize green rectangle touch any shape?,Yes,Yes No,1,1,ec,ec,Yes
0,YN,1x3 1x2,"Two blocks, called HHH and LLL exist. Block HHH contains a large purple hexagon. A little pentagon is covered by this block. To the south of the large purple hexagon there is this object. Block LLL cover a large purple pentagon and a large purple star. A large grey pentagon is within and a large grey hexagon is covered by this block. The star is to the west of the large grey hexagon. The large grey pentagon is north of the large purple pentagon. To the south of and west of the large purple pentagon there is the star. The large purple pentagon is to the north of the large grey hexagon.",Are all large purple stars south of any large grey pentagon?,Yes,Yes No,2,2,below,below,No
3,YN,2x0 2,A box called one covers a medium orange apple. Over and to the left-hand side of this box is another box called two. Box one is disconnected from this box. A medium orange apple is in box two. Box two covers a medium green apple. Another box called three is inside and touching this box. A medium green apple touches a yellow apple. The medium green apple is inside box three. Box three covers the yellow fruit.,Are all apples covered by all boxes?,No,Yes No,1,1,tpp,tpp,No
5,FR,0x4 0x2,A block named AAA have a small blue square and a small black triangle. A medium yellow triangle is close to the small blue square. The medium yellow triangle is within block AAA. A big yellow circle is within block AAA. South of this object there is the object which was close to the small blue square. In front of this shape is the small black triangle. Away from and in front of another block named BBB there is block AAA. North of and disconnected from this block is block BBB. A medium black square is inside and touching this block.,Where is the small blue square relative to the medium yellow triangle?,NEAR,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,near,near,near
1,YN,1x0 0x0,"There are three boxes, named DDD, EEE and JJJ. A midsize orange rectangle is covered by box DDD. Under and to the right of box EEE there is box DDD. Disconnected from this box is box EEE. This box covers a midsize orange rectangle. Within box DDD there is box JJJ with a midsize white rectangle. A midsize green rectangle is inside and touching this box. This shape touches the white shape.",Is a midsize orange rectangle to the left-hand side of all orange rectangles?,No,Yes No,5,3,left,left,No
4,FR,0 1,"We have two blocks, called HHH and LLL. Block HHH has a medium grey hexagon and covers a medium purple thing. To the south of the grey shape there is the medium purple thing. The grey shape touches this object. Block LLL overlaps block HHH. To the south of another medium red hexagon is a medium red hexagon. Medium red hexagon number one is covered by block LLL. Medium red hexagon number two is inside block LLL.",Where is HHH relative to LLL?,PO,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,po,po,po
3,YN,1x0 1,A block named AAA covers a medium blue square. Under and in front of this block there is another block named BBB. Over and touches another medium blue square is a medium blue square. Medium blue square number one is inside block BBB. Block BBB covers medium blue square number two.,Is a medium blue square covered by BBB?,Yes,Yes No,1,1,tpp,tpp,Yes
4,FR,0 1,"We have two blocks, called HHH and LLL. Block HHH has a medium grey hexagon and covers a medium purple thing. To the south of the grey shape there is the medium purple thing. The grey shape touches this object. Block LLL overlaps block HHH. To the south of another medium red hexagon is a medium red hexagon. Medium red hexagon number one is covered by block LLL. Medium red hexagon number two is inside block LLL.",Where is HHH relative to LLL?,PO,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,po,po,po
3,YN,0 1,"There exist two boxes, called DDD and EEE. Two midsize white rectangles are within box DDD. Box DDD covers a green rectangle and has another midsize white rectangle. Midsize white rectangle number one is to the north of midsize white rectangle number two. South of and touches midsize white rectangle number two there is the green rectangle. To the south of midsize white rectangle number three there is midsize white rectangle number two. To the south of midsize white rectangle number one there is midsize white rectangle number three. To the north of and disconnected from box DDD is box EEE. A midsize orange rectangle is covered by this box.",Are all boxes disconnected from any box?,No,Yes No,1,1,dc,dc,No
6,FR,0x1 0x0,"There exist two blocks, called HHH and LLL. A medium purple hexagon is covered by block HHH. Block HHH has a medium red hexagon. The medium purple hexagon touches the medium red hexagon. Block HHH overlaps block LLL. A medium red hexagon is inside and a medium purple hexagon is covered by block LLL. The medium purple hexagon touches the medium red hexagon.",Where is the medium red hexagon in HHH regarding the medium purple hexagon covered by HHH?,EC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,ec,ec,tpp
5,FR,0x1 0x0,There is one block named AAA. A small blue object is in and a medium yellow triangle is inside and touching block AAA. The blue object is behind the medium yellow triangle.,Where is the medium yellow triangle relative to the blue shape?,FRONT,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,front,front,front
7,FR,0 1,"There are two blocks, named AAA and BBB. Block AAA is disconnected from and farther from block BBB. North of and behind this block is block BBB. A medium blue square is covered by block AAA. Block BBB covers a medium blue square.",Where is AAA regarding BBB?,BELOW FRONT FAR DC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,front,front,"behind, far, dc"
3,FR,1x1 1,"Two boxes, named one and two exist in the image. A medium orange apple is inside and touching box one. Box one covers box two. Box two contains a green apple which is to the south of and touches a medium orange apple.North of and touches a medium yellow fruit is this fruit. The medium orange apple is in box two. Box two covers the yellow thing.",What is the position of the green fruit relative to box two?,NTPP,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,ntpp,ntpp,inside
2,YN,1 1x3,"There exists a box called DDD. Covered by box DDD is another box called EEE with two large green ovals, a tiny white oval and a midsize white dimond. A large white dimond is inside and touching and a tiny green rectangle is inside this box. Large green oval number two is near to large green oval number one and is behind the large white dimond. The midsize white dimond is behind large green oval number one. The tiny white oval is to the north of this object and is behind large green oval number two. In front of the tiny green rectangle is the large white dimond.",Do all boxes have all large white dimonds?,No,Yes No,1,1,ntppi,tppi,No
1,YN,1 0x2,"A small yellow triangle is within and a big black square is inside and touching a block called AAA. The big black square is in front of the small thing. Another block named BBB with a blue square is to the north of block AAA. Block AAA is behind and disconnected from this block. A big black circle is inside block BBB. To the north of, in front of and near to the blue square there is this shape.",Are all blocks to the east of all yellow things?,No,Yes No,3,2,right,dc,No
6,FR,0x0 0x2,"Three blocks, called AAA, BBB and CCC exist in the image. Block AAA contains a small yellow triangle. The small yellow triangle is behind a big yellow triangle. The big yellow triangle is within block AAA. A big blue square is in block AAA. Behind the thing which was behind the big yellow triangle there is this shape. In front of block AAA there is block BBB with a medium black circle. Disconnected from this block there is block AAA. To the south of a medium black triangle is a big blue circle. The big blue circle is covered by block CCC. Block CCC covers the medium black triangle. This block covers a small yellow triangle.",Where is the big yellow triangle relative to the big blue square?,FRONT,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,3,2,front,front,The correct answer is: within
2,YN,1 1x0,"We have two boxes, called DDD and EEE. Disconnected from box EEE there is box DDD. A midsize orange rectangle is covered by box DDD. Two midsize orange rectangles are inside box EEE. A midsize white shape is covered by box EEE. Midsize orange rectangle number two touches midsize orange rectangle number one. Midsize orange rectangle number one and the white thing are under this shape.",Does EEE cover any midsize shape?,Yes,Yes No,1,1,tppi,tppi,Yes
3,FR,1x1 1x4,"Two blocks, called HHH and LLL exist. Block HHH have a little purple hexagon and a little grey hexagon. This block covers a large purple pentagon. The little purple hexagon is west of the large purple pentagon. West of this object there is the little grey hexagon. A large red hexagon is to the east of a medium red star and is south of a large grey hexagon. South of the medium red star there is the large grey hexagon. The large red hexagon is inside and touching block LLL. The medium red star is within block LLL. The large grey hexagon is inside block LLL. Close to the large red hexagon is a medium grey hexagon. The medium grey hexagon is covered by block LLL. Block LLL contains a large grey pentagon which is to the north of the large grey hexagon.",What is the position of the large red hexagon regarding the medium grey hexagon?,NEAR,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,near,near,near
0,YN,0x1 0x0,We have one box named DDD. This box has a large oval. East of a midsize green rectangle is the large oval. The midsize thing is covered by box DDD.,Is the midsize object west of an object?,Yes,Yes No,1,1,left,left,Yes
2,YN,2x2 2x1,"We have three boxes, named DDD, EEE and JJJ. Inside box DDD there is box EEE. A midsize green oval is covered by box DDD. A large white oval and a midsize orange dimond are in box EEE. Over the midsize orange dimond there is the large white oval. A midsize green oval and a midsize white oval are inside box JJJ. The midsize green oval and a midsize orange rectangle are near to the midsize white oval. Box JJJ contain a large white oval and a large orange oval. The rectangle is covered by this box. The midsize white oval is over the rectangle. The large white oval touches the large orange oval.",Is any shape near to a midsize green oval?,Yes,Yes No,1,1,near,near,Yes
6,FR,1 1x3,"There exists a box called DDD. Covered by box DDD is another box called EEE with two large green ovals, a tiny white oval and a midsize white dimond. A large white dimond is inside and touching and a tiny green rectangle is inside this box. Large green oval number two is near to large green oval number one and is behind the large white dimond. The midsize white dimond is behind large green oval number one. The tiny white oval is to the north of this object and is behind large green oval number two. In front of the tiny green rectangle is the large white dimond.",What is the position of EEE regarding the large white dimond?,TPPI,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,ntppi,tppi,The correct answer is: behind
2,YN,1x0 0x0,"There are two blocks, called HHH and LLL. A medium red hexagon is inside and touching block HHH. Above block LLL there is block HHH. Disconnected from, to the left of and near to this block there is block LLL with a medium purple hexagon. Two medium red hexagons are inside this block. Below medium red hexagon number one is the medium purple hexagon. Over this thing there is medium red hexagon number two. Block LLL covers a grey hexagon.",Are all hexagons disconnected from all red hexagons?,No,Yes No,4,3,dc,dc,No
5,FR,2x2 2x1,"We have three boxes, named DDD, EEE and JJJ. Inside box DDD there is box EEE. A midsize green oval is covered by box DDD. A large white oval and a midsize orange dimond are in box EEE. Over the midsize orange dimond there is the large white oval. A midsize green oval and a midsize white oval are inside box JJJ. The midsize green oval and a midsize orange rectangle are near to the midsize white oval. Box JJJ contain a large white oval and a large orange oval. The rectangle is covered by this box. The midsize white oval is over the rectangle. The large white oval touches the large orange oval.",What is the position of the midsize white oval regarding the midsize green oval in JJJ?,NEAR,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,near,near,near
1,YN,1x1 1x0,A box named DDD have a midsize green rectangle and a midsize white rectangle. This box covers another midsize green rectangle. The midsize white rectangle is over midsize green rectangle number two. This object touches midsize green rectangle number one. Another box called EEE contains box DDD. Two midsize orange rectangles are in this box. Box EEE covers another midsize orange rectangle. Below midsize orange rectangle number two is midsize orange rectangle number three. Over this thing is midsize orange rectangle number one.,Is a midsize orange rectangle above midsize orange rectangle number three?,Yes,Yes No,1,1,above,above,Yes
