Context_id,Story,Question,Question_Type,Answer,Candidate_Answers,Steps_of_Reasoning,Is_Commonsense_Question,model_answer_CoT,model_answer_Visualization
annotations/00/841.eng,"a dark-skinned , dark-haired boy in a white tee-shirt is sitting at his desk in a classroom more kids in the background are looking at the camera too",Is the kids behind the white thing?,YN,Yes,"Yes, No",,False,Yes,No
annotations/01/1403.eng,"front view of a house in style of the Alpes: white walls , dark brown window frames made of wood , flower boxes below the windows , a little tower with red rooftiles and two palm trees and three flags in front of the entrance",Are the windows below the boxes?,YN,No,"Yes, No",2.0,False,No,Yes
annotations/00/826.eng,"a dark-skinned , dark-haired girl wearing a red coat is sitting at a desk in front of a building",Is the red thing touching the building?,YN,No,"Yes, No",2.0,False,No,No
annotations/01/1355.eng,"a grey car in front of a three-storey building with white walls and wide windows there is a thatched roof above the entrance on the ground floor , and there are a few people in front of the house",Is the grey thing in front of the windows?,YN,Yes,"Yes, No",,False,No,No
annotations/00/797.eng,"a dark-skinned , dark-haired boy in a white shirt is standing in front of red brick walls",Is the red thing in front of the boy?,YN,No,"Yes, No",,True,No,No
images/01/1071.jpg,"a white bungalow with big windows , stairs to the left and the right , a neat lawn and flowers in front of the house and trees at the back . a white bungalow with big windows , stairs to the left and the right , a neat lawn and flowers in front of the house and trees at the back . Blue sky in the background .",Is the blue over the background?,YN,Yes,"Yes, No",,,Yes,Yes
images/01/1101.jpg,"a king size bed with a night table on each side . phone on the right table , phone books ( yellow and white pages ) below the table . picture and two lamps on the wall above the bed .",Is the table under the phone?,YN,Yes,"Yes, No",,,No,No
images/01/1131.jpg,"a room with white walls , a single bed made of wood with white and violet bedcover . on the left and on the right there is a window with white and violet curtains .",Are the walls inside the room?,YN,Yes,"Yes, No",,,Yes,Yes
annotations/00/817.eng,"a dark-skinned , dark-haired girl in a blue-and-yellow jumper is sitting outside boulders in the background",Is the girl and the blue contain yellow thing?,YN,No,"Yes, No",,True,Yes,Yes
annotations/01/1349.eng,Courtyard with bushes buildings with wooden poles and wooden windows are to the left and right,Is the building right of the courtyard?,YN,Yes,"Yes, No",,False,Yes,Yes
images/01/1137.jpg,"a room with an orange and a white wall , two single beds made of wood with a multicoloured bedcover , white towels and a night table in between . there is a couch chair and another night table with a lamp and a phone on the left , and a window with closed curtains behind the beds .",Is the phone in the middle of the lamp?,YN,No,"Yes, No",,,No,No
images/01/1090.jpg,"exterior view of a three story building . entrance and arched windows on ground floor , a coop with a rail , a balcony with several arches and columns on the second floor , balcony with columns on the third floor .",Is the coop below the balconies?,YN,Yes,"Yes, No",,,Yes,Yes
images/01/1128.jpg,"a room with wooden walls . in the corner on the right there is a bunk bed made of wood , another single bed made of wood on the left , and a night table in between .",Is the room inside the walls?,YN,No,"Yes, No",,,Yes,Yes
images/00/679.jpg,"Four tourists are sitting on a bus. Four tourists are sitting on a bus. Two women in the front row with their heads turned around. another one in the second row looking out the window. and one man with sunglasses in the very last row , looking out the window too.",Is the person in the second row Above the bus?,YN,No,"Yes, No",1.0,True,No,No
images/01/1175.jpg,"a room with light pink walls , a double bed made of wood with a white bedcover with orange and pink squares , and a black and red carpet over the bed . there is a door to the bathroom on the right , and before it a light brown commode .",Is the door near to the commode?,YN,Yes,"Yes, No",,,Yes,Yes
annotations/01/1212.eng,"a room with light yellow walls , two wooden ornamental strips , a double bed with a blue and brown striped bedcover , a night table with a red lamp and an ashtray",Is the table far from the blue thing?,YN,No,"Yes, No",,True,No,No
images/00/934.jpg,"a dark-haired , dark-skinned boy wearing a grey Nike cap and a grey pullover is standing in front of a grey wall .",Are the wall and pullover thing touching?,YN,No,"Yes, No",3.0,,No,No
annotations/00/829.eng,"a dark-skinned , dark-haired girl wearing a grey tee-shirt is standing next to her desk in a classroom there are two more kids and comic figures on the wall in the background",Is the kids in front of the desk?,YN,No,"Yes, No",,False,Yes,Yes
images/01/1110.jpg,"Front view of a grey , ten story building .",Is the grey thing in the middle of the view?,YN,No,"Yes, No",,,Yes,Yes
images/00/709.jpg,a destroyed house with the wreckage lying around in front it . three ordinary a bit elevated houses in the background .,Is the House behind the wreckage?,YN,Yes,"Yes, No",1.0,True,No,No
images/01/1026.jpg,"interior view of a room with a large wooden bed in the centre . interior view of a room with a large wooden bed in the centre. There is a wooden commode and a mirror on the left , a wooden bedside table with a table lamp next to the bed and a huge fan on the wall above the bed .",Is the bed left of the commode?,YN,Yes,"Yes, No",,False,No,No
images/00/963.jpg,"a dark-skinned , dark-haired girl wearing a black hat , a grey tee-shirt , a dark green vest and a light green poncho , is standing in the backyard of a house . a white painted house with a thatched roof and a wooden fence in the background . there is also a plastic bag in front of the fence .",Is the plastic bag in front of the fence?,YN,Yes,"Yes, No",1.0,False,Yes,Yes
annotations/00/836.eng,"a dark-skinned , dark-haired boy in a black pullover is standing in front of a blue wall",Is the black thign behind the blue thing?,YN,No,"Yes, No",,False,No,No
images/00/943.jpg,"a dark-skinned boy wearing a black Nike cap , a chequered shirt and a red jacket ( that is black inside ) is standing in the meadow behind a house . a dark-skinned boy wearing a black Nike cap , a chequered shirt and a red jacket ( that is black inside ) is standing in the meadow behind a house .. some rocks and stones in the background .",Is the cap in front of the rocks?,YN,Yes,"Yes, No",,True,Yes,Yes
images/00/959.jpg,"a dark-skinned , dark-haired girl wearing a traditional brown hat and a large colourful ( mainly red ) poncho . a dark-skinned , dark-haired girl wearing a traditional brown hat and a large colourful ( mainly red ) poncho. exterior shot , with some short grass in the background .",Is the house behind the girl?,YN,Yes,"Yes, No",,True,No,No
images/00/739.jpg,"a house with a pink roof and a green and white tower with three levels , each of them having a window on each side . one block in the front with three windows and the writing Casa Parroquial - Amor de Dios . another house with a green and yellow and red roof in the background .",Is the roof over the windows?,YN,Yes,"Yes, No",,True,Yes,Yes
annotations/01/1408.eng,"a double bed made of wood with white bedcovers , two pillows and a night table on the left in a room with white walls",Is the pillows left of the bedcovers?,YN,Yes,"Yes, No",,False,No,No
annotations/00/806.eng,"a dark-skinned , dark-haired girl wearing a dark blue jumper and a light blue skirt is sitting at a desk in front of a building",Is the dark blue thing far from the light blue thing?,YN,No,"Yes, No",,True,No,No
images/00/692.jpg,"there are two social workers in the foreground . one wearing a red pullover and brown pants is bending over to access the blue paint . the other one in a red tee-shirt and black jeans is watching her . at the back of the room there is another worker wearing a white tee-shirt and blue jeans , acutally painting . there are many newspapers on the ground to protect the kindergarten floor . all three workers are wearing a mask .",Is the backroom in front of the pullover?,YN,No,"Yes, No",2.0,True,No,No
images/00/709.jpg,a destroyed house with the wreckage lying around in front it . three ordinary a bit elevated houses in the background .,Is the House behind the wreckage?,YN,Yes,"Yes, No",1.0,,No,No
annotations/00/856.eng,"a dark-skinned boy is wearing a black cap with an A on it , a grey and purple pullover and a black jacket which is red on the inside grass , stones and some garbage in the background",Is the A near the black thing?,YN,Yes,"Yes, No",1.0,True,Yes,Yes
images/00/737.jpg,many people are working on the bare brickwork of a house or are watching the workers from below . many wires are sticking out of the bare brickwork . one person is climbing up a ladder . many pallets are lying piled up in front of the house .,Is the wires over the pallets?,YN,No,"Yes, No",,True,No,No
annotations/01/1374.eng,a room with white walls and an integrated double bed with a dark orange blanket there is a lampe on the wall above the bed,Is the lamp below the orange thing?,YN,No,"Yes, No",2.0,False,No,No
annotations/01/1417.eng,"front view of a house with white walls , wooden balconies , blue rails , grey columns and a brown supporting wall there are also an entrance with lots of flowers and two palm trees in front of the house",Are the flowers in front of the grey things?,YN,Yes,"Yes, No",2.0,False,Yes,Yes
images/00/958.jpg,"a dark-skinned , dark-haired girl wearing a black hat , a white cardigan , a green vest and a golden necklace . two houses in the background , one with a grey roof , the other one with a light brown roof . short grass and some large stones in the background .",Are the green thing and black thing touching?,YN,No,"Yes, No",1.0,True,Yes,Yes
annotations/01/1401.eng,"children in a swimming pool in a garden that is surrounded by a green wall there are two canvas chairs , white tables and chairs , a clothesline and a sunshade in the shade behind the pool there is also the corner of a green house on the left there are trees in the background",Is the white things behind the pool?,YN,Yes,"Yes, No",,False,Yes,No
images/00/963.jpg,"a dark-skinned , dark-haired girl wearing a black hat , a grey tee-shirt , a dark green vest and a light green poncho , is standing in the backyard of a house . a white painted house with a thatched roof and a wooden fence in the background . there is also a plastic bag in front of the fence .",Is the green thing above the black thing?,YN,Yes,"Yes, No",1.0,,Yes,Yes
annotations/00/817.eng,"a dark-skinned , dark-haired girl in a blue-and-yellow jumper is sitting outside boulders in the background",Is the hair in front of the boulders?,YN,Yes,"Yes, No",2.0,False,No,Yes
images/00/679.jpg,"Four tourists are sitting on a bus. Four tourists are sitting on a bus. Two women in the front row with their heads turned around. another one in the second row looking out the window. and one man with sunglasses in the very last row , looking out the window too.",Is the man behind the bus?,YN,No,"Yes, No",1.0,True,No,No
images/01/1111.jpg,"a room with white walls , a wooden bed with a light brown blanket , bedside lamps on both sides . a table with a flower pot in the foreground . window with curtains in the background .",Are the lamps in front of the curtains?,YN,Yes,"Yes, No",,,No,No
annotations/01/1398.eng,a red car in front of the entrance of a big hotel,Is the hotel in front of the red thing?,YN,No,"Yes, No",,False,No,No
annotations/00/837.eng,"a dark-skinned , dark-haired boy in a blue-and-white striped jumper with a sleeveless pullover is standing in front of a red brick wall and a blue wall",Is the pullover behind the wall?,YN,No,"Yes, No",2.0,False,No,No
images/00/732.jpg,tourists are standing at the entrance of classroom . all of them are carrying backpacks . one female tourist is carrying a huge bunch of balloons .,Are the tourists inside the classroom?,YN,No,"Yes, No",1.0,True,No,No
annotations/00/823.eng,"a dark-skinned , dark-haired girl is wearing a red vest and a red hair band",Is vest touching the hair?,YN,No,"Yes, No",1.0,True,Yes,Yes
annotations/01/1207.eng,"view of a brown house with grey and brown rooftiles there is a meadow with flowers in front of the house and a couple of trees behind it , and a canyon in the background",Is the flowers and the grey behind brown things?,YN,No,"Yes, No",,False,Yes,Yes
images/00/991.jpg,a dark-haired boy wearing a black pullover and a light blue jeans jacket is standing in front of a painted wall . the painting shows a sunset behind hills and a tree .,Are the blue thing and black thing touching?,YN,Yes,"Yes, No",1.0,True,Yes,Yes
annotations/00/817.eng,"a dark-skinned , dark-haired girl in a blue-and-yellow jumper is sitting outside boulders in the background",Is the hair far from the blue and yellow thing?,YN,No,"Yes, No",2.0,True,No,No
annotations/00/817.eng,"a dark-skinned , dark-haired girl in a blue-and-yellow jumper is sitting outside boulders in the background",Is the blue and yellow thing far from the hair?,YN,No,"Yes, No",,True,No,Yes
images/01/1010.jpg,"a dark-skinned boy wearing a black cap with a red shield , a purple jacket with dark green sleeves and red pants is standing in front of a grey wall .",Are the red thing and green thing touching?,YN,Yes,"Yes, No",1.0,,No,No
annotations/00/832.eng,"a dark-skinned , dark-haired girl wearing a pinkish greyish pullover is sitting at a desk in front of a building",Is the building behind the desk?,YN,Yes,"Yes, No",2.0,False,Yes,Yes
images/00/767.jpg,a group picture of happy people wearing orange hats and white and orange sleeveless shirts .,Is the Hat bellow the shirt?,YN,Yes,"Yes, No",1.0,,No,No
annotations/01/1341.eng,King-sized bed in a room red and white chequered bedcover night tables on both sides of the bed walls are made of red bricks painting on the wall,Is the red and white thing in the red thing?,YN,Yes,"Yes, No",,False,Yes,No
images/00/696.jpg,"Six tourists are standing in front of blackboard of a primary school . one tourist is taking a photo . local kids are sitting at their desks , singing and clapping . one kid has just opened one book . there are posters and pictures on the wall in the background .",Is the blackboard behind the tourist?,YN,No,"Yes, No",,True,Yes,Yes
annotations/00/849.eng,"a dark-skinned , dark-haired girl in a white vest and black pants is standing next to a desk the lower half of a bottle of Kola Real is standing on a desk next to her a red brick wall in the background",Is the bottle near to the black thing?,YN,Yes,"Yes, No",,False,Yes,Yes
images/01/1166.jpg,"a room with light yellow walls and two single beds made of wood in a row , with different multicoloured bedcovers .",Are the wooden thinsg contain the room?,YN,No,"Yes, No",,,No,No
annotations/01/1202.eng,"a king-sized bed with a white and grey bedcover there is a night table to the left and a chair in front of a mirror on the right , and a painting of a half-naked woman above the bed",Is the table to the right of the grey thing?,YN,No,"Yes, No",2.0,False,No,No
annotations/01/1380.eng,cars are parking in front of a dark orange house with small white columns there are three people at the red car on the left,Is the people left of the white things?,YN,Yes,"Yes, No",,False,Yes,Yes
annotations/01/1503.eng,"six children in the forground , more children and also grown-ups in a canteen kind of place in the background",Is the six children in front of the canteen place?,YN,Yes,"Yes, No",,False,No,No
annotations/00/819.eng,"a dark-skinned , dark-haired girl wearing a USA pullover and red pants is standing outside a wall made of boulders in the near background USA jumper says Future USA at the front , with the Olympic rings below the letters , one sleeve shows the stars , the other one the stripes",Is the red thing far from the pullover?,YN,No,"Yes, No",,True,No,No
annotations/00/789.eng,"a dark-skinned , dark-haired boy in a red tee-shirt with blue sleeves is standing next to a school desk",Is the blue thing disconnected the red thing?,YN,No,"Yes, No",,False,No,No
images/01/1030.jpg,a blue bus is parking in front of the entrance of the Hotel Galeria . a blue bus is parking in front of the entrance of the Hotel Galeria. There are stairs at the entrance . a blue bus is parking in front of the entrance of the Hotel Galeria. There are stairs at the entrance. there are flags and a lamp at each side of the entrance .,Is a flag to the left of the stairs,YN,Yes,"Yes, No",2.0,True,Yes,Yes
images/01/1196.jpg,a room with a wall made of red bricks ( on the left ) and a white wall with two pictures ( on the right ) . there are two single beds with brown blankets and a night table and a lamp in between . there is also a window with purple curtains on the left .,Are the curtains behind the window?,YN,No,"Yes, No",,,Yes,Yes
annotations/01/1341.eng,King-sized bed in a room red and white chequered bedcover night tables on both sides of the bed walls are made of red bricks painting on the wall,Is the red thing disconnected the painting?,YN,No,"Yes, No",,False,Yes,Yes
annotations/01/1382.eng,"a white high-rise building with 21 storeys , another three , brown high-rise buildings on the left , a tree and further houses behind it on the right , and a beach and a supporting wall in the foreground",Is the brown things behind the tree?,YN,No,"Yes, No",,False,No,No
annotations/01/1411.eng,an illuminated multi-storey building with a large entrance at one corner,Is the building in front of the entrance?,YN,No,"Yes, No",,True,No,No
annotations/01/1385.eng,a double and a single bed with mainly blue and yellow bedcovers in a room with white walls and dark brown ornamental strips made of wood,Are the blue and yellow things touching the beds?,YN,Yes,"Yes, No",1.0,True,Yes,Yes
images/01/1122.jpg,"a room with white and orange walls and a brown ornament . there is a double bed made of iron , light brown pillows , white bedcover and towels . a night table with a bedside lamp and a phone on the right . and a window with white curtains on the very right .",Is the white thing above the window?,YN,No,"Yes, No",,,No,No
annotations/00/849.eng,"a dark-skinned , dark-haired girl in a white vest and black pants is standing next to a desk the lower half of a bottle of Kola Real is standing on a desk next to her a red brick wall in the background",Is the bottle in front of the wall?,YN,Yes,"Yes, No",2.0,False,Yes,Yes
images/00/949.jpg,"a dark-skinned , dark-haired girl wearing a black hat , a white cardigan and a red poncho . a dark-skinned , dark-haired girl wearing a black hat , a white cardigan and a red poncho. exterior shot . short grass and some garbage in the background .",Is the hat above the poncho?,YN,Yes,"Yes, No",,True,Yes,Yes
images/01/1327.jpg,"a terrace with white plastic chairs and white round tables , red flowers on the right , a street behind the terrace and waves of the sea breaking on the beach during sunset .",Are the flowers right of the table?,YN,Yes,"Yes, No",,False,Yes,Yes
images/00/742.jpg,tourists are standing in the classroom of a school in front of the blackboard . there is a clock and the writing Dios es Amor above the blackboard .,Is the clock below the school?,YN,No,"Yes, No",1.0,True,No,No
images/00/958.jpg,"a dark-skinned , dark-haired girl wearing a black hat , a white cardigan , a green vest and a golden necklace . two houses in the background , one with a grey roof , the other one with a light brown roof . short grass and some large stones in the background .",Is the grass close to the stons?,YN,Yes,"Yes, No",,True,Yes,Yes
annotations/00/819.eng,"a dark-skinned , dark-haired girl wearing a USA pullover and red pants is standing outside a wall made of boulders in the near background USA jumper says Future USA at the front , with the Olympic rings below the letters , one sleeve shows the stars , the other one the stripes",Is the pullover near the wall?,YN,Yes,"Yes, No",2.0,False,Yes,Yes
images/00/689.jpg,"photo of eleven school kids and three tourists behind them . a basketball court in the background , with one kid standing below the basket . a large mountain in the distant background .",Is court behind the tourists?,YN,Yes,"Yes, No",,True,No,Yes
annotations/00/803.eng,"a dark-skinned , dark-haired boy in a white shirt and a green tee-shirt , putting his index finger of his left hand in his mouth other school kids are sitting on their tables in front of a blackboard in the background",Is the boy touching the green thing?,YN,Yes,"Yes, No",1.0,True,Yes,Yes
annotations/01/1386.eng,"corner view of a house with a big writing Hotel Royal there is a travel agency ( VASP ) on the ground level , and there are power lines on the right",Is VASP to the right of the lines?,YN,No,"Yes, No",2.0,False,No,No
images/01/1134.jpg,"a red house with a courtyard and a thatched roof . there is a wooden fence , horses and grass in front of it and a snowcovered peak in the distant background .",Is the house below the thatched thing?,YN,Yes,"Yes, No",,,Yes,Yes
images/00/957.jpg,"a dark-skinned , dark-haired girl wearing a traditional green hat , a red pullover , a blue vest ( open ) and earrings . a grey house and short grass in the background .",Are the red thing and blue thing touching?,YN,Yes,"Yes, No",1.0,True,No,Yes
annotations/00/844.eng,"a dark-skinned , dark-haired boy in a black pullover and light brown shirt in a classroom two more boys in the background",Is the boy touching the brown thing?,YN,Yes,"Yes, No",1.0,True,Yes,Yes
images/00/683.jpg,"Three women are sitting on a wooden bench in front of an about one metre high , red brick wall . they are all wearing skirts and jumpers with gilets . two of them are wearing a hat too. one man is standing behind the wall. a wooden door on the left is being held open by a red brick .",Is the Hat beind door?,YN,No,"Yes, No",1.0,,No,No
annotations/01/1400.eng,a grey car is parking in front of a grey house with brown window frames and plants on the balcony,Is the plants in front of the car?,YN,No,"Yes, No",,False,No,No
images/01/1126.jpg,"a room with walls made of wood and a large window with white curtains on the left . there is a double bed with a red bedcover in the centre , with an orange mosquito net above it .",Is the window to the left of the net?,YN,Yes,"Yes, No",,,Yes,Yes
annotations/00/808.eng,"a dark-skinned , dark-haired boy wearing a blue jumper with a yellow collar is standing in front of a brown door",Is the brown behind blue thing?,YN,Yes,"Yes, No",,False,Yes,Yes
annotations/01/1410.eng,"a room with orange walls , a double bed with a light orange bedcover , a night table on both sides of the bed , a phone and a lamp on the left side , two paintings on the wall above the bed , and a window with orange curtains on the right",Is the light orange thing below the paintings?,YN,Yes,"Yes, No",2.0,False,Yes,Yes
images/01/1169.jpg,"a four-storey building with arched windows and balconies . there are cars parking in front of the house , and behind it there is another two-storey building with red rooftiles .",Are the rooftiles above the two-storey building?,YN,Yes,"Yes, No",,,Yes,Yes
