Context_id,Story,Question,Question_Type,Answer,Candidate_Answers,Steps_of_Reasoning,Is_Commonsense_Question
images/00/683.jpg,"Three women are sitting on a wooden bench in front of an about one metre high , red brick wall . they are all wearing skirts and jumpers with gilets . two of them are wearing a hat too. one man is standing behind the wall. a wooden door on the left is being held open by a red brick .",Is the wooden thing in front of the wall?,YN,Yes,"Yes, No",,True
images/00/683.jpg,"Three women are sitting on a wooden bench in front of an about one metre high , red brick wall . they are all wearing skirts and jumpers with gilets . two of them are wearing a hat too. one man is standing behind the wall. a wooden door on the left is being held open by a red brick .",Is the Jumper touching the skirts?,YN,Yes,"Yes, No",1,
images/00/683.jpg,"Three women are sitting on a wooden bench in front of an about one metre high , red brick wall . they are all wearing skirts and jumpers with gilets . two of them are wearing a hat too. one man is standing behind the wall. a wooden door on the left is being held open by a red brick .",Is the hat above the wall?,YN,No,"Yes, No",2,
images/00/683.jpg,"Three women are sitting on a wooden bench in front of an about one metre high , red brick wall . they are all wearing skirts and jumpers with gilets . two of them are wearing a hat too. one man is standing behind the wall. a wooden door on the left is being held open by a red brick .",Is the man behind the hat?,YN,Yes,"Yes, No",1,
images/00/683.jpg,"Three women are sitting on a wooden bench in front of an about one metre high , red brick wall . they are all wearing skirts and jumpers with gilets . two of them are wearing a hat too. one man is standing behind the wall. a wooden door on the left is being held open by a red brick .",is the man touching the hat?,YN,No,"Yes, No",1,
images/00/683.jpg,"Three women are sitting on a wooden bench in front of an about one metre high , red brick wall . they are all wearing skirts and jumpers with gilets . two of them are wearing a hat too. one man is standing behind the wall. a wooden door on the left is being held open by a red brick .",The man is right of the door?,YN,Yes,"Yes, No",2,
images/00/683.jpg,"Three women are sitting on a wooden bench in front of an about one metre high , red brick wall . they are all wearing skirts and jumpers with gilets . two of them are wearing a hat too. one man is standing behind the wall. a wooden door on the left is being held open by a red brick .",Is the Hat beind door?,YN,No,"Yes, No",1,
images/00/684.jpg,"photo of a classroom with some kids sitting at their desks , others standing at their desks , waving into the camera , laughing. two kids are eating their lunch in the foreground . there is a wooden wall with pictures of two comic figures in the background .",Are the kids sitting behind the camera?,YN,No,"Yes, No",,True
images/00/684.jpg,"photo of a classroom with some kids sitting at their desks , others standing at their desks , waving into the camera , laughing. two kids are eating their lunch in the foreground . there is a wooden wall with pictures of two comic figures in the background .",Are the kids behind their desks?,YN,Yes,"Yes, No",2,
images/00/684.jpg,"photo of a classroom with some kids sitting at their desks , others standing at their desks , waving into the camera , laughing. two kids are eating their lunch in the foreground . there is a wooden wall with pictures of two comic figures in the background .",Are the kids in the middle of the foreground?,YN,Yes,"Yes, No",,True
images/00/684.jpg,"photo of a classroom with some kids sitting at their desks , others standing at their desks , waving into the camera , laughing. two kids are eating their lunch in the foreground . there is a wooden wall with pictures of two comic figures in the background .",Are the picture touching the wall?,YN,Yes,"Yes, No",1,
images/00/684.jpg,"photo of a classroom with some kids sitting at their desks , others standing at their desks , waving into the camera , laughing. two kids are eating their lunch in the foreground . there is a wooden wall with pictures of two comic figures in the background .",Is the wall in front of the pictures?,YN,No,"Yes, No",,True
images/00/685.jpg,"a large , black plastic bag with four packs of pasta , a folder , a leaflet , a small book and cacao powder on a table . there is a second , empty table in the background .",Is the empty table in front of the powder?,YN,No,"Yes, No",,True
images/00/685.jpg,"a large , black plastic bag with four packs of pasta , a folder , a leaflet , a small book and cacao powder on a table . there is a second , empty table in the background .",Is the empty table in front of the leaflet?,YN,No,"Yes, No",1,
images/00/685.jpg,"a large , black plastic bag with four packs of pasta , a folder , a leaflet , a small book and cacao powder on a table . there is a second , empty table in the background .",Is the folder touching the empty table?,YN,No,"Yes, No",1,
images/00/686.jpg,six kids are sitting around a table and playing with toy cars . one kid is standing next to the table . a woman is holding a black plastic bag on the left . three tourists in the background are talking to each other .,Are the toys touching the kids?,YN,Yes,"Yes, No",,True
images/00/686.jpg,six kids are sitting around a table and playing with toy cars . one kid is standing next to the table . a woman is holding a black plastic bag on the left . three tourists in the background are talking to each other .,Is the kid above the table?,YN,No,"Yes, No",1,
images/00/686.jpg,six kids are sitting around a table and playing with toy cars . one kid is standing next to the table . a woman is holding a black plastic bag on the left . three tourists in the background are talking to each other .,Is the sanding kid touching the toys?,YN,No,"Yes, No",1,
images/00/687.jpg,"panorama view of houses in La Paz . red roofed houses in the foreground , with a hill and rugged rocks in the background .",Is the house in la paz?,YN,Yes,"Yes, No",,True
images/00/687.jpg,"panorama view of houses in La Paz . red roofed houses in the foreground , with a hill and rugged rocks in the background .",Are the Hill in front of the houses?,YN,No,"Yes, No",1,
images/00/689.jpg,"photo of eleven school kids and three tourists behind them . a basketball court in the background , with one kid standing below the basket . a large mountain in the distant background .",Are kids are in front of tourists?,YN,Yes,"Yes, No",1,
images/00/689.jpg,"photo of eleven school kids and three tourists behind them . a basketball court in the background , with one kid standing below the basket . a large mountain in the distant background .",Are the kids to the left of the tourists?,YN,No,"Yes, No",1,
images/00/689.jpg,"photo of eleven school kids and three tourists behind them . a basketball court in the background , with one kid standing below the basket . a large mountain in the distant background .",Is court behind the tourists?,YN,Yes,"Yes, No",,True
images/00/689.jpg,"photo of eleven school kids and three tourists behind them . a basketball court in the background , with one kid standing below the basket . a large mountain in the distant background .",Is the kid in front of the mountain?,YN,Yes,"Yes, No",,True
images/00/690.jpg,"Lots of locals ( both kids and adults ) in front of a blue building . one kid is about to slide down the slide , with one grown up waiting to catch it . another woman is carrying a basket in her left hand , with a kid holding her other hand . others are just sitting around or are standing in the background . there are snow covered mountains in the distant background .",Are the kids in front of the building?,YN,Yes,"Yes, No",1,
images/00/690.jpg,"Lots of locals ( both kids and adults ) in front of a blue building . one kid is about to slide down the slide , with one grown up waiting to catch it . another woman is carrying a basket in her left hand , with a kid holding her other hand . others are just sitting around or are standing in the background . there are snow covered mountains in the distant background .",Is the kid behind the grown up?,YN,Yes,"Yes, No",1,
images/00/690.jpg,"Lots of locals ( both kids and adults ) in front of a blue building . one kid is about to slide down the slide , with one grown up waiting to catch it . another woman is carrying a basket in her left hand , with a kid holding her other hand . others are just sitting around or are standing in the background . there are snow covered mountains in the distant background .",Is the woman and the kid touching the woman?,YN,Yes,"Yes, No",1,
images/00/690.jpg,"Lots of locals ( both kids and adults ) in front of a blue building . one kid is about to slide down the slide , with one grown up waiting to catch it . another woman is carrying a basket in her left hand , with a kid holding her other hand . others are just sitting around or are standing in the background . there are snow covered mountains in the distant background .",Is the Basket to the right of the Woman?,YN,No,"Yes, No",2,
images/00/690.jpg,"Lots of locals ( both kids and adults ) in front of a blue building . one kid is about to slide down the slide , with one grown up waiting to catch it . another woman is carrying a basket in her left hand , with a kid holding her other hand . others are just sitting around or are standing in the background . there are snow covered mountains in the distant background .",Is the building in front of the snow?,YN,No,"Yes, No",1,
images/00/690.jpg,"Lots of locals ( both kids and adults ) in front of a blue building . one kid is about to slide down the slide , with one grown up waiting to catch it . another woman is carrying a basket in her left hand , with a kid holding her other hand . others are just sitting around or are standing in the background . there are snow covered mountains in the distant background .",Is the snow behind the locals?,YN,Yes,"Yes, No",,True
images/00/690.jpg,"Lots of locals ( both kids and adults ) in front of a blue building . one kid is about to slide down the slide , with one grown up waiting to catch it . another woman is carrying a basket in her left hand , with a kid holding her other hand . others are just sitting around or are standing in the background . there are snow covered mountains in the distant background .",Is the basket behind the snow?,YN,No,"Yes, No",,True
images/00/692.jpg,"there are two social workers in the foreground . one wearing a red pullover and brown pants is bending over to access the blue paint . the other one in a red tee-shirt and black jeans is watching her . at the back of the room there is another worker wearing a white tee-shirt and blue jeans , acutally painting . there are many newspapers on the ground to protect the kindergarten floor . all three workers are wearing a mask .",Is a worker behind the worker?,YN,No,"Yes, No",1,
images/00/692.jpg,"there are two social workers in the foreground . one wearing a red pullover and brown pants is bending over to access the blue paint . the other one in a red tee-shirt and black jeans is watching her . at the back of the room there is another worker wearing a white tee-shirt and blue jeans , acutally painting . there are many newspapers on the ground to protect the kindergarten floor . all three workers are wearing a mask .",Is the paint below the worker?,YN,Yes,"Yes, No",,False
images/00/692.jpg,"there are two social workers in the foreground . one wearing a red pullover and brown pants is bending over to access the blue paint . the other one in a red tee-shirt and black jeans is watching her . at the back of the room there is another worker wearing a white tee-shirt and blue jeans , acutally painting . there are many newspapers on the ground to protect the kindergarten floor . all three workers are wearing a mask .",Are brown thing is touching the paint?,YN,No,"Yes, No",1,
images/00/692.jpg,"there are two social workers in the foreground . one wearing a red pullover and brown pants is bending over to access the blue paint . the other one in a red tee-shirt and black jeans is watching her . at the back of the room there is another worker wearing a white tee-shirt and blue jeans , acutally painting . there are many newspapers on the ground to protect the kindergarten floor . all three workers are wearing a mask .",Are the red and brown thing touching?,YN,Yes,"Yes, No",1,
images/00/692.jpg,"there are two social workers in the foreground . one wearing a red pullover and brown pants is bending over to access the blue paint . the other one in a red tee-shirt and black jeans is watching her . at the back of the room there is another worker wearing a white tee-shirt and blue jeans , acutally painting . there are many newspapers on the ground to protect the kindergarten floor . all three workers are wearing a mask .",Is the black thing behind the brown thing?,YN,No,"Yes, No",1,
images/00/692.jpg,"there are two social workers in the foreground . one wearing a red pullover and brown pants is bending over to access the blue paint . the other one in a red tee-shirt and black jeans is watching her . at the back of the room there is another worker wearing a white tee-shirt and blue jeans , acutally painting . there are many newspapers on the ground to protect the kindergarten floor . all three workers are wearing a mask .",Is the white thing behind the paint?,YN,Yes,"Yes, No",,True
images/00/692.jpg,"there are two social workers in the foreground . one wearing a red pullover and brown pants is bending over to access the blue paint . the other one in a red tee-shirt and black jeans is watching her . at the back of the room there is another worker wearing a white tee-shirt and blue jeans , acutally painting . there are many newspapers on the ground to protect the kindergarten floor . all three workers are wearing a mask .",Is the backroom in front of the pullover?,YN,No,"Yes, No",2,
images/00/692.jpg,"there are two social workers in the foreground . one wearing a red pullover and brown pants is bending over to access the blue paint . the other one in a red tee-shirt and black jeans is watching her . at the back of the room there is another worker wearing a white tee-shirt and blue jeans , acutally painting . there are many newspapers on the ground to protect the kindergarten floor . all three workers are wearing a mask .",Is the white thing inside the room?,YN,Yes,"Yes, No",,True
images/00/692.jpg,"there are two social workers in the foreground . one wearing a red pullover and brown pants is bending over to access the blue paint . the other one in a red tee-shirt and black jeans is watching her . at the back of the room there is another worker wearing a white tee-shirt and blue jeans , acutally painting . there are many newspapers on the ground to protect the kindergarten floor . all three workers are wearing a mask .",Is the newspaper bellow the paint?,YN,Yes,"Yes, No",1,
images/00/692.jpg,"there are two social workers in the foreground . one wearing a red pullover and brown pants is bending over to access the blue paint . the other one in a red tee-shirt and black jeans is watching her . at the back of the room there is another worker wearing a white tee-shirt and blue jeans , acutally painting . there are many newspapers on the ground to protect the kindergarten floor . all three workers are wearing a mask .",Is the mask touching the workers?,YN,Yes,"Yes, No",1,
images/00/692.jpg,"there are two social workers in the foreground . one wearing a red pullover and brown pants is bending over to access the blue paint . the other one in a red tee-shirt and black jeans is watching her . at the back of the room there is another worker wearing a white tee-shirt and blue jeans , acutally painting . there are many newspapers on the ground to protect the kindergarten floor . all three workers are wearing a mask .",Is the mask above the paint?,YN,Yes,"Yes, No",2,
images/00/693.jpg,portrait of two dark-haired girls with a mountain in the background .,Is the mountain in front of the girls?,YN,No,"Yes, No",,True
images/00/693.jpg,portrait of two dark-haired girls with a mountain in the background .,Are the grils below the mountain?,YN,No,"Yes, No",1,
images/00/694.jpg,"a man is carrying a heavy rice bag . a car on the left , another man on the right . a street behind them , with some houses on a hill in the background .",Is the bag touching the man?,YN,Yes,"Yes, No",1,
images/00/694.jpg,"a man is carrying a heavy rice bag . a car on the left , another man on the right . a street behind them , with some houses on a hill in the background .",Is the bag left of the car?,YN,No,"Yes, No",,True
images/00/694.jpg,"a man is carrying a heavy rice bag . a car on the left , another man on the right . a street behind them , with some houses on a hill in the background .",Is the second man left of the car?,YN,Yes,"Yes, No",,True
images/00/694.jpg,"a man is carrying a heavy rice bag . a car on the left , another man on the right . a street behind them , with some houses on a hill in the background .",Is the rice above the car?,YN,No,"Yes, No",1,
images/00/694.jpg,"a man is carrying a heavy rice bag . a car on the left , another man on the right . a street behind them , with some houses on a hill in the background .",Is the street behind the hiil?,YN,Yes,"Yes, No",,True
images/00/696.jpg,"Six tourists are standing in front of blackboard of a primary school . one tourist is taking a photo . local kids are sitting at their desks , singing and clapping . one kid has just opened one book . there are posters and pictures on the wall in the background .",Are the tourists have the school?,YN,No,"Yes, No",,True
images/00/696.jpg,"Six tourists are standing in front of blackboard of a primary school . one tourist is taking a photo . local kids are sitting at their desks , singing and clapping . one kid has just opened one book . there are posters and pictures on the wall in the background .",Is the tourist behind a blackboard?,YN,Yes,"Yes, No",1,
images/00/696.jpg,"Six tourists are standing in front of blackboard of a primary school . one tourist is taking a photo . local kids are sitting at their desks , singing and clapping . one kid has just opened one book . there are posters and pictures on the wall in the background .",Is the blackboard behind the tourist?,YN,No,"Yes, No",,True
images/00/696.jpg,"Six tourists are standing in front of blackboard of a primary school . one tourist is taking a photo . local kids are sitting at their desks , singing and clapping . one kid has just opened one book . there are posters and pictures on the wall in the background .",Are the kids behind the desks?,YN,Yes,"Yes, No",,True
images/00/696.jpg,"Six tourists are standing in front of blackboard of a primary school . one tourist is taking a photo . local kids are sitting at their desks , singing and clapping . one kid has just opened one book . there are posters and pictures on the wall in the background .",Is the book under the table?,YN,No,"Yes, No",,True
images/00/696.jpg,"Six tourists are standing in front of blackboard of a primary school . one tourist is taking a photo . local kids are sitting at their desks , singing and clapping . one kid has just opened one book . there are posters and pictures on the wall in the background .",Are the posters and the book touching?,YN,No,"Yes, No",1,
images/00/698.jpg,a little red wooden desk and two red and two blue chairs in front of a green wall full with children's paintings . an improvised cupboard with lots of drawers in a corner at the back of the room .,Is the wall behind the desks?,YN,Yes,"Yes, No",,True
images/00/698.jpg,a little red wooden desk and two red and two blue chairs in front of a green wall full with children's paintings . an improvised cupboard with lots of drawers in a corner at the back of the room .,Is the desk in front of the picture?,YN,Yes,"Yes, No",2,
images/00/698.jpg,a little red wooden desk and two red and two blue chairs in front of a green wall full with children's paintings . an improvised cupboard with lots of drawers in a corner at the back of the room .,Is the desk behind the drawers?,YN,No,"Yes, No",,True
images/00/700.jpg,volunteer workers help with the construction in a kindergarten . four volunteers are squatting down and are trying to prise the ground with hammer and chisel . movable wooden walls are leaning on the wall in the background .,Are the workers inside the kindergarten?,YN,Yes,"Yes, No",,True
images/00/700.jpg,volunteer workers help with the construction in a kindergarten . four volunteers are squatting down and are trying to prise the ground with hammer and chisel . movable wooden walls are leaning on the wall in the background .,Is the chisel above the hammer?,YN,No,"Yes, No",,True
images/00/700.jpg,volunteer workers help with the construction in a kindergarten . four volunteers are squatting down and are trying to prise the ground with hammer and chisel . movable wooden walls are leaning on the wall in the background .,Is the Hammer behind the walls?,YN,No,"Yes, No",2,
images/00/702.jpg,"tourists are posing in a room , ten of them are standing , one is squatting . one kid is posing with them , five other kids are sitting at a table and eating out of three bowls . there are posters and pictures at the wall behind the tourists .",Are the tourists outside of the room?,YN,No,"Yes, No",1,
images/00/702.jpg,"tourists are posing in a room , ten of them are standing , one is squatting . one kid is posing with them , five other kids are sitting at a table and eating out of three bowls . there are posters and pictures at the wall behind the tourists .",Are is table under the bowls?,YN,Yes,"Yes, No",,True
images/00/702.jpg,"tourists are posing in a room , ten of them are standing , one is squatting . one kid is posing with them , five other kids are sitting at a table and eating out of three bowls . there are posters and pictures at the wall behind the tourists .",Is the bowls touching the tourists?,YN,No,"Yes, No",2,
images/00/702.jpg,"tourists are posing in a room , ten of them are standing , one is squatting . one kid is posing with them , five other kids are sitting at a table and eating out of three bowls . there are posters and pictures at the wall behind the tourists .",Is the bowls touching the table?,YN,Yes,"Yes, No",1,
images/00/704.jpg,"Pupils are sitting at their wooden desks in an open air classroom . two of them raising their hands , others smiling . three are wearing a green hat . red brick wall and windows in the background .",Are the kids in classroom?,YN,Yes,"Yes, No",,True
images/00/704.jpg,"Pupils are sitting at their wooden desks in an open air classroom . two of them raising their hands , others smiling . three are wearing a green hat . red brick wall and windows in the background .",Is the hat above the table?,YN,Yes,"Yes, No",,True
images/00/704.jpg,"Pupils are sitting at their wooden desks in an open air classroom . two of them raising their hands , others smiling . three are wearing a green hat . red brick wall and windows in the background .",Is the hat behind the windows?,YN,No,"Yes, No",,True
images/00/705.jpg,"Seven tourists are visiting a classroom . children are sitting at round tables , nearly all of them wearing a green hat ( except for two kids ) . tourists are smiling at the kids . there are posters and maps on the wall in the background .",Is the hat above the table?,YN,Yes,"Yes, No",,True
images/00/705.jpg,"Seven tourists are visiting a classroom . children are sitting at round tables , nearly all of them wearing a green hat ( except for two kids ) . tourists are smiling at the kids . there are posters and maps on the wall in the background .",Are the tourists behind the kids?,YN,No,"Yes, No",1,
images/00/705.jpg,"Seven tourists are visiting a classroom . children are sitting at round tables , nearly all of them wearing a green hat ( except for two kids ) . tourists are smiling at the kids . there are posters and maps on the wall in the background .",Is the poster behind the tourists?,YN,Yes,"Yes, No",,True
images/00/708.jpg,"Tourists are visiting an old people's home . each tourist is leading one old lady , arm in arm . the old ladies are wearing traditional dresses and a hat . the room is decorated with balloons . there is a picture on the wall in the background , and also an old lady carrying a green balloon .",Are the tourists contain the home?,YN,No,"Yes, No",,True
images/00/708.jpg,"Tourists are visiting an old people's home . each tourist is leading one old lady , arm in arm . the old ladies are wearing traditional dresses and a hat . the room is decorated with balloons . there is a picture on the wall in the background , and also an old lady carrying a green balloon .",Are the tourists in front of the ladies?,YN,No,"Yes, No",1,
images/00/708.jpg,"Tourists are visiting an old people's home . each tourist is leading one old lady , arm in arm . the old ladies are wearing traditional dresses and a hat . the room is decorated with balloons . there is a picture on the wall in the background , and also an old lady carrying a green balloon .",Are the hat touching the tourists?,YN,No,"Yes, No",1,
images/00/708.jpg,"Tourists are visiting an old people's home . each tourist is leading one old lady , arm in arm . the old ladies are wearing traditional dresses and a hat . the room is decorated with balloons . there is a picture on the wall in the background , and also an old lady carrying a green balloon .",Is the balloons above the ladies?,YN,No,"Yes, No",1,
images/00/708.jpg,"Tourists are visiting an old people's home . each tourist is leading one old lady , arm in arm . the old ladies are wearing traditional dresses and a hat . the room is decorated with balloons . there is a picture on the wall in the background , and also an old lady carrying a green balloon .",Is the balloons below the tourists?,YN,No,"Yes, No",1,
images/00/708.jpg,"Tourists are visiting an old people's home . each tourist is leading one old lady , arm in arm . the old ladies are wearing traditional dresses and a hat . the room is decorated with balloons . there is a picture on the wall in the background , and also an old lady carrying a green balloon .",Is the tourists near to the green ballon?,YN,Yes,"Yes, No",,False
images/00/709.jpg,a destroyed house with the wreckage lying around in front it . three ordinary a bit elevated houses in the background .,Is the House behind the wreckage?,YN,Yes,"Yes, No",1,
images/00/709.jpg,a destroyed house with the wreckage lying around in front it . three ordinary a bit elevated houses in the background .,Is the elevated houses behind the wreckage?,YN,Yes,"Yes, No",,True
images/00/712.jpg,"Six pupils are sitting around a round table on wooden chairs , each of them is holding a fruit ( tangerine ? ) and is wearing a hat ( except for one kid ) . pictures and comics on the wall behind them . car tyres in the background on the right .",Are the Puplies below the pictures?,YN,No,"Yes, No",1,
images/00/712.jpg,"Six pupils are sitting around a round table on wooden chairs , each of them is holding a fruit ( tangerine ? ) and is wearing a hat ( except for one kid ) . pictures and comics on the wall behind them . car tyres in the background on the right .",Is the fruit in front of the pictures?,YN,Yes,"Yes, No",,True
images/00/712.jpg,"Six pupils are sitting around a round table on wooden chairs , each of them is holding a fruit ( tangerine ? ) and is wearing a hat ( except for one kid ) . pictures and comics on the wall behind them . car tyres in the background on the right .",Is the tyres in behind the Puplies?,YN,Yes,"Yes, No",1,
images/00/712.jpg,"Six pupils are sitting around a round table on wooden chairs , each of them is holding a fruit ( tangerine ? ) and is wearing a hat ( except for one kid ) . pictures and comics on the wall behind them . car tyres in the background on the right .",Is the Picture in front of the car tyres?,YN,No,"Yes, No",2,
images/00/714.jpg,"a teacher and around 50 pupils on the slope of a hill . half of the kids are dressed in orange , many of them wearing a hat , a beanie or a cap . small bushes and two trees at the top of the hill . a lake in the background .",Is the hill below the pupils?,YN,No,"Yes, No",1,
images/00/714.jpg,"a teacher and around 50 pupils on the slope of a hill . half of the kids are dressed in orange , many of them wearing a hat , a beanie or a cap . small bushes and two trees at the top of the hill . a lake in the background .",Is the hat above the hill?,YN,Yes,"Yes, No",,True
images/00/714.jpg,"a teacher and around 50 pupils on the slope of a hill . half of the kids are dressed in orange , many of them wearing a hat , a beanie or a cap . small bushes and two trees at the top of the hill . a lake in the background .",Is the bushes below the trees?,YN,No,"Yes, No",1,
images/00/715.jpg,"School kids are posing for the camera in a football-like setup - nine are standing at the back , ten are squatting at the front . each of them are having a fruit in their hands , most of them are smiling , one is even waving at the camera . a blackboard in the background . one kid in the centre of the front row is holding a teddy .",Is the camera in front of the football-like-setup?,YN,Yes,"Yes, No",,True
images/00/715.jpg,"School kids are posing for the camera in a football-like setup - nine are standing at the back , ten are squatting at the front . each of them are having a fruit in their hands , most of them are smiling , one is even waving at the camera . a blackboard in the background . one kid in the centre of the front row is holding a teddy .",Is the fruit behind the camera?,YN,Yes,"Yes, No",,True
images/00/715.jpg,"School kids are posing for the camera in a football-like setup - nine are standing at the back , ten are squatting at the front . each of them are having a fruit in their hands , most of them are smiling , one is even waving at the camera . a blackboard in the background . one kid in the centre of the front row is holding a teddy .",Is the balckboard behind the football-like-setup?,YN,Yes,"Yes, No",1,
images/00/715.jpg,"School kids are posing for the camera in a football-like setup - nine are standing at the back , ten are squatting at the front . each of them are having a fruit in their hands , most of them are smiling , one is even waving at the camera . a blackboard in the background . one kid in the centre of the front row is holding a teddy .",Is the teddy behind the camera?,YN,Yes,"Yes, No",,True
images/00/717.jpg,"children are sitting at their desks , together with a tourist sitting in the last row . three children are standing on the left , looking at a map of Peru . there are two posters on the wall at the back , and there is a bookshelf with a lot of boxes and folders on the left .",Is th tourist in front of the students?,YN,No,"Yes, No",1,
images/00/717.jpg,"children are sitting at their desks , together with a tourist sitting in the last row . three children are standing on the left , looking at a map of Peru . there are two posters on the wall at the back , and there is a bookshelf with a lot of boxes and folders on the left .",Is the map to the right of the tourist?,YN,Yes,"Yes, No",2,
images/00/717.jpg,"children are sitting at their desks , together with a tourist sitting in the last row . three children are standing on the left , looking at a map of Peru . there are two posters on the wall at the back , and there is a bookshelf with a lot of boxes and folders on the left .",Is the map of peru  left of the boxes?,YN,No,"Yes, No",,True
images/00/717.jpg,"children are sitting at their desks , together with a tourist sitting in the last row . three children are standing on the left , looking at a map of Peru . there are two posters on the wall at the back , and there is a bookshelf with a lot of boxes and folders on the left .",Is the Desks in front of the Pictures?,YN,Yes,"Yes, No",2,
