Context_id,Story,Question,Question_Type,Answer,Candidate_Answers,Steps_of_Reasoning,Is_Commonsense_Question,ollama/openchat,ollama/llama3,ollama/mistral,ollama/phi3:mini,ollama/gemma:2b
annotations/00/848.eng,"a dark-skinned , dark-haired boy in a blue , white and orange striped jumper is standing in a classroom a girl is sitting at a desk behind him two comic figures on the wall in the background",Is the boy have the blue thing?,YN,No,"Yes, No",,True,no,yes,yes,ERROR: Unable to get response,ERROR: Unable to get response
annotations/01/1215.eng,"a room with white walls , ( red with blue squares behind the ) two single beds with white and blue striped bedcover",Is the red thing in front of the striped things?,YN,Yes,"Yes, No",,False,yes,yes,yes,ERROR: Unable to get response,ERROR: Unable to get response
annotations/00/828.eng,"a dark-skinned , dark-haired boy wearing a grey pullover is sitting at his desk in his classroom there are some of his classmates in the background",Are the classmates in front of the grey thing?,YN,No,"Yes, No",2.0,False,no,yes,yes,ERROR: Unable to get response,ERROR: Unable to get response
images/00/719.jpg,"a volunteer , squatting down and browsing through a school book . school children around her , looking at the book too . in the background there is a table with school equipment on it . the kid in the foreground is holding a pencil .",Are the other boys above the book?,YN,No,"Yes, No",1.0,,no,yes,no,ERROR: Unable to get response,ERROR: Unable to get response
annotations/01/1353.eng,"White , three story building flat roof upper level has balcony wooden roof over entrance",Is the wooden thing over the entrance?,YN,Yes,"Yes, No",,True,yes,yes,yes,ERROR: Unable to get response,ERROR: Unable to get response
annotations/01/1389.eng,"a bald room with white walls , two bunk beds made of wood with white bedcovers , towels and pillows ( white and orange )",Is the white and orange things contain the beds?,YN,Yes,"Yes, No",,True,yes,yes,yes,ERROR: Unable to get response,ERROR: Unable to get response
annotations/01/1361.eng,"a white house with two large windows with wooden frames , two wooden pillars at the terrace with wooden benches and a wooden table there are mountains in the background on the right",Are the mountains to the left of the windows?,YN,No,"Yes, No",2.0,False,no,no,no,ERROR: Unable to get response,ERROR: Unable to get response
images/01/1040.jpg,arched entrance to a hotel with a revolving glass door and a well exposed flower pot on each side of the entrance .,Is the Pot above the hotel?,YN,No,"Yes, No",3.0,,no,no,no,ERROR: Unable to get response,ERROR: Unable to get response
annotations/00/818.eng,"a dark-skinned , dark-haired girl in red vest is sitting outside boulders in background",Is the hair behind the boulders?,YN,Yes,"Yes, No",,False,yes,no,yes,ERROR: Unable to get response,ERROR: Unable to get response
images/00/943.jpg,"a dark-skinned boy wearing a black Nike cap , a chequered shirt and a red jacket ( that is black inside ) is standing in the meadow behind a house . a dark-skinned boy wearing a black Nike cap , a chequered shirt and a red jacket ( that is black inside ) is standing in the meadow behind a house .. some rocks and stones in the background .",Is the cap in front of the rocks?,YN,Yes,"Yes, No",,True,no,yes,no,ERROR: Unable to get response,ERROR: Unable to get response
annotations/01/1357.eng,"a room with walls painted in green and red , a double bed with a light and dark brown striped blanket , a night table with a lamp on the left and a door and two windows in the background",Is the door behind the table?,YN,Yes,"Yes, No",,False,no,no,no,ERROR: Unable to get response,ERROR: Unable to get response
annotations/01/1205.eng,"a brown house with large windows and flags above the entrance , and the white writing Hotel Peregrino",Is the entrance under the large things?,YN,Yes,"Yes, No",,False,yes,yes,yes,ERROR: Unable to get response,ERROR: Unable to get response
images/01/1126.jpg,"a room with walls made of wood and a large window with white curtains on the left . there is a double bed with a red bedcover in the centre , with an orange mosquito net above it .",Is the red thing over the net?,YN,No,"Yes, No",,,yes,yes,yes,ERROR: Unable to get response,ERROR: Unable to get response
annotations/01/1220.eng,"a white , brown and green four-storey building with a Peruvian flag and the writing Hotel San Miguel on the roof there are two street lamps and three small palm trees in the foreground",Is the lamps in front of the flag?,YN,Yes,"Yes, No",,False,yes,yes,yes,ERROR: Unable to get response,ERROR: Unable to get response
annotations/00/859.eng,"a dark-skinned , dark-haired boy wearing a grey jacket is standing in a classroom a girl is sitting at her desk in the background comic characters on the wall at the back",Is the grey thing touching the boy?,YN,Yes,"Yes, No",1.0,True,no,yes,no,ERROR: Unable to get response,ERROR: Unable to get response
annotations/01/1202.eng,"a king-sized bed with a white and grey bedcover there is a night table to the left and a chair in front of a mirror on the right , and a painting of a half-naked woman above the bed",Is the mirror left of the table?,YN,No,"Yes, No",,False,no,yes,no,ERROR: Unable to get response,ERROR: Unable to get response
annotations/00/817.eng,"a dark-skinned , dark-haired girl in a blue-and-yellow jumper is sitting outside boulders in the background",Is the boulders in front of the hair?,YN,No,"Yes, No",,False,"to answer this question, i need to create a mental image of the scene. in this scene, there is a dark-skinned, dark-haired girl in a blue-and-yellow jumper sitting outside with boulders in the background.

now, considering the position of the boulders and the girl's hair, i can answer the question: is the boulders in front of the hair?

candidate_answers: yes, no
your answer: no",no,yes,ERROR: Unable to get response,ERROR: Unable to get response
annotations/01/1203.eng,"the entrance of a hotel there is a lamp on the left and on the right , an ornament above the entrance , a man on the way to the stairs next to a flower pot behind the entrance",Is the pot close to the man?,YN,Yes,"Yes, No",,False,yes,yes,yes,ERROR: Unable to get response,ERROR: Unable to get response
annotations/01/1348.eng,"Cobbled street , greenish hotel on the right a few people on the sidewalk car in the street",Is the car to the left of the green thing?,YN,Yes,"Yes, No",2.0,False,no,yes,yes,ERROR: Unable to get response,ERROR: Unable to get response
images/00/950.jpg,"a dark-haired girl wearing a black hat , a yellow tee-shirt and a white vest underneath a green vest , and a necklace with white and green glass beads .",Is the hat under the beads?,YN,No,"Yes, No",,True,no,yes,no,ERROR: Unable to get response,ERROR: Unable to get response
images/01/1108.jpg,Corner view of a large building . front is mainly made of glass .,Is the glass below the front?,YN,No,"Yes, No",,,no,yes,yes,ERROR: Unable to get response,ERROR: Unable to get response
annotations/00/804.eng,"a dark-skinned , dark-haired girl in a coloured shirt is standing in front of a blue wall",Is the girl touching the shirt?,YN,Yes,"Yes, No",1.0,True,no,yes,yes,ERROR: Unable to get response,ERROR: Unable to get response
images/01/1090.jpg,"exterior view of a three story building . entrance and arched windows on ground floor , a coop with a rail , a balcony with several arches and columns on the second floor , balcony with columns on the third floor .",Is the coop below the balconies?,YN,Yes,"Yes, No",,,yes,yes,no,ERROR: Unable to get response,ERROR: Unable to get response
annotations/01/1337.eng,a room with a king-sized bed and a night table and a bedside lamp on both sides of the bed behind it a wall made of red bricks,Is the lamps behind the bricks?,YN,No,"Yes, No",,False,yes,yes,yes,ERROR: Unable to get response,ERROR: Unable to get response
annotations/01/1205.eng,"a brown house with large windows and flags above the entrance , and the white writing Hotel Peregrino",Is the flags under the entrance?,YN,No,"Yes, No",,False,yes,no,yes,ERROR: Unable to get response,ERROR: Unable to get response
annotations/00/812.eng,"a dark-skinned , dark-haired girl in a grey T-Shirt is standing in a classroom a wall made of red bricks in the background",Is the grey thing behind the red thing?,YN,No,"Yes, No",2.0,False,no,yes,yes,ERROR: Unable to get response,ERROR: Unable to get response
images/00/960.jpg,"a dark-skinned , dark-haired boy wearing a grey cap and a dark and light grey jumper with a black zip , in front of a white wall .",Is the black thing above the white thing?,YN,No,"Yes, No",1.0,True,no,yes,yes,ERROR: Unable to get response,ERROR: Unable to get response
