Context_id,Story,Question,Question_Type,Answer,Candidate_Answers,Steps_of_Reasoning,Is_Commonsense_Question,model_answer_Base,model_answer_CoT,model_answer_visual
images/00/692.jpg,"there are two social workers in the foreground . one wearing a red pullover and brown pants is bending over to access the blue paint . the other one in a red tee-shirt and black jeans is watching her . at the back of the room there is another worker wearing a white tee-shirt and blue jeans , acutally painting . there are many newspapers on the ground to protect the kindergarten floor . all three workers are wearing a mask .",Is the newspaper bellow the paint?,YN,Yes,"Yes, No",1,TRUE,Yes,Yes,Yes
images/01/1179.jpg,"a very big , longish room with light blue walls , a double bed made of wood , with a night table and a ventilator in the background . there are also two windows in the background , and two arm chairs , a coffee table and a mirror in the foreground .",Is the longish thing in the double bed?,YN,No,"Yes, No",,,Yes,No,No
annotations/00/828.eng,"a dark-skinned , dark-haired boy wearing a grey pullover is sitting at his desk in his classroom there are some of his classmates in the background",Is the desk far from the grey thing?,YN,No,"Yes, No",,TRUE,No,No,No
annotations/00/854.eng,"a dark-skinned , dark-haired boy is wearing a blue pullover with a white elephant having a yellow hat on its head at the front the boy is sitting at his desk in a classroom two kids are sitting behind him writing bienvenidos on the wall",Is the white thing in front of the kids?,YN,Yes,"Yes, No",,FALSE,Yes,Yes,Yes
annotations/01/1231.eng,"room with light blue walls and two single bed made of wood right next to each other with light and dark blue bedcovers there is a night table with bedside lamp on the right , and a window with curtains behind the beds on the left",Is the beds contain the dark blue things?,YN,No,"Yes, No",,TRUE,Yes,Yes,Yes
annotations/00/855.eng,"a dark-skinned , dark-haired boy in a grey and blue jumper is standing next to a desk in a classroom a poster on a red brick wall behind him a picture of a sunflower on the wall next to him",Is the grey thing near the desk?,YN,Yes,"Yes, No",2,TRUE,Yes,Yes,Yes
images/00/692.jpg,"there are two social workers in the foreground . one wearing a red pullover and brown pants is bending over to access the blue paint . the other one in a red tee-shirt and black jeans is watching her . at the back of the room there is another worker wearing a white tee-shirt and blue jeans , acutally painting . there are many newspapers on the ground to protect the kindergarten floor . all three workers are wearing a mask .",Are the red and brown thing touching?,YN,Yes,"Yes, No",1,TRUE,Yes,Yes,Yes
annotations/00/835.eng,"a dark-skinned , dark-haired girl in a grey tee-shirt is standing in front of a blue wall",is the grey thing touching the girl?,YN,Yes,"Yes, No",1,TRUE,Yes,No,Yes
annotations/01/1220.eng,"a white , brown and green four-storey building with a Peruvian flag and the writing Hotel San Miguel on the roof there are two street lamps and three small palm trees in the foreground",Is the writing in front of the trees?,YN,No,"Yes, No",,FALSE,No,No,No
annotations/01/1342.eng,"a narrow , long courtyard of a brown house with wooden doors , white door frames and many pictures on the walls there are many plants , wooden chairs and flower pots",Is the walls have the pictures?,YN,Yes,"Yes, No",,FALSE,Yes,Yes,Yes
images/01/1090.jpg,"exterior view of a three story building . entrance and arched windows on ground floor , a coop with a rail , a balcony with several arches and columns on the second floor , balcony with columns on the third floor .",Is the coop below the balconies?,YN,Yes,"Yes, No",,,Yes,Yes,Yes
annotations/01/1229.eng,"a room with yellow walls with a painting and some parts with natural stones there is a king-sized bed made of wood with light-pinkish bedcover and two white towels , a bedside lamp and a wooden chair",Is the light pink thing inside the bed?,YN,No,"Yes, No",,FALSE,No,No,No
images/00/999.jpg,"a dark-skinned boy wearing a grey cap , a red and white striped shirt under a sleeveless grey vest with a black zip , black pants and runners is standing at a lookout and carrying a black bag in his right hand .",Is the red thing above the black thing?,YN,No,"Yes, No",,,Yes,Yes,Yes
annotations/01/1335.eng,"Front view of a house made of red bricks , with large wooden windows and white curtains",Is the house in the white thing?,YN,No,"Yes, No",,TRUE,No,No,No
images/00/943.jpg,"a dark-skinned boy wearing a black Nike cap , a chequered shirt and a red jacket ( that is black inside ) is standing in the meadow behind a house . a dark-skinned boy wearing a black Nike cap , a chequered shirt and a red jacket ( that is black inside ) is standing in the meadow behind a house .. some rocks and stones in the background .",Are the red thing and black thing touching?,YN,No,"Yes, No",1,,Yes,No,Yes
annotations/00/799.eng,"a dark-skinned , dark-haired girl , wearing a skirt and a dark vest , is standing in front of a house there is a white bucket in the background",Is the white thing behind the skirt?,YN,Yes,"Yes, No",,FALSE,No,No,No
images/00/997.jpg,"a dark-skinned boy wearing a black and yellow beanie , a white shirt beneath a light blue anorak and black pants leaning against a grey wall .",Are the yellow thing and blue thing touching?,YN,No,"Yes, No",1,TRUE,Yes,No,No
annotations/01/1220.eng,"a white , brown and green four-storey building with a Peruvian flag and the writing Hotel San Miguel on the roof there are two street lamps and three small palm trees in the foreground",Is the lamps in front of the flag?,YN,Yes,"Yes, No",,FALSE,No,No,No
images/00/719.jpg,"a volunteer , squatting down and browsing through a school book . school children around her , looking at the book too . in the background there is a table with school equipment on it . the kid in the foreground is holding a pencil .",Is the table in front of the pencil?,YN,No,"Yes, No",1,,No,No,No
images/01/1137.jpg,"a room with an orange and a white wall , two single beds made of wood with a multicoloured bedcover , white towels and a night table in between . there is a couch chair and another night table with a lamp and a phone on the left , and a window with closed curtains behind the beds .",Are the multicoloured things far from the night table?,YN,No,"Yes, No",,,Yes,No,Yes
annotations/01/1348.eng,"Cobbled street , greenish hotel on the right a few people on the sidewalk car in the street",Is the green thing right of the people?,YN,Yes,"Yes, No",,FALSE,Yes,Yes,Yes
annotations/00/809.eng,"a dark-skinned , dark-haired girl in a pink pullover is sitting on green bench colourful handprints on the wall behind her",Is the hair close to the pink thing?,YN,Yes,"Yes, No",,TRUE,Yes,Yes,Yes
images/00/969.jpg,"a dark-haired , dark-skinned boy wearing a red pullover and a red cap ( backwards ) . short grass and some garbage in the background .",Is the grass near to the garbage?,YN,Yes,"Yes, No",,TRUE,Yes,Yes,Yes
annotations/00/848.eng,"a dark-skinned , dark-haired boy in a blue , white and orange striped jumper is standing in a classroom a girl is sitting at a desk behind him two comic figures on the wall in the background",Is the blue thing behind the desk?,YN,No,"Yes, No",2,FALSE,No,No,No
annotations/01/1334.eng,"Room with two beds on the right , a table with two chairs on the left and a large window in the back there is also a mirror on the left",Is the chairs left of the beds?,YN,Yes,"Yes, No",,FALSE,Yes,Yes,Yes
annotations/00/873.eng,"a dark-skinned , dark-haired boy wearing a purple tee-shirt and an open white and blue jacket is standing in a classroom",Is the blue thing in the boy?,YN,No,"Yes, No",,TRUE,Yes,Yes,Yes
images/01/1122.jpg,"a room with white and orange walls and a brown ornament . there is a double bed made of iron , light brown pillows , white bedcover and towels . a night table with a bedside lamp and a phone on the right . and a window with white curtains on the very right .",Is the lamp above the bed?,YN,No,"Yes, No",,,No,No,No
annotations/01/1360.eng,"a yellow house with a thatched roof on the left , a hut with a thatched roof on the right , and in front of them a footpath to a hot spring pool which is surrounded by stones and flowers meadows and forests in the background",Is the flowers behind the forest?,YN,No,"Yes, No",,FALSE,No,No,No
images/01/1187.jpg,"a room with white walls , a double bed with a yellow and red chequered bedcover , a night table of both sides and a burning lamp on the left . there is also a wooden table and chair in the background and a fridge in the foreground on the right .",Is the chair in the background?,YN,Yes,"Yes, No",,,Yes,Yes,Yes
images/01/1171.jpg,"a two-storey house made of wood and with a thatched roof , with balconies on both levels , wooden rails and stairs . there is a little table with chairs , a canvas chair and lots of plants around it in the foreground on the left .",Is the table near the house?,YN,No,"Yes, No",,,Yes,Yes,Yes
images/00/992.jpg,"a dark-skinned , dark-haired girl in a white shirt in front of a painted wall . the painting shows a sunset behind a hill and a tree .",Is the sunset behind the hills?,YN,Yes,"Yes, No",,TRUE,No,No,Yes
annotations/01/1395.eng,"a room with white walls and an inclined picture , two single beds made of wood on the right , a commode with a TV on the left , and in the background on the right a window with orange curtains",Is the tv left of the beds?,YN,Yes,"Yes, No",,FALSE,Yes,Yes,Yes
annotations/00/854.eng,"a dark-skinned , dark-haired boy is wearing a blue pullover with a white elephant having a yellow hat on its head at the front the boy is sitting at his desk in a classroom two kids are sitting behind him writing bienvenidos on the wall",Is the yellow thing far from the boy?,YN,No,"Yes, No",2,TRUE,Yes,Yes,No
annotations/00/796.eng,a dark-haired baby in the arms of a woman . baby wearing a red-and-white striped pyjama handprints on the wall in the background,Is the woman and the red in white thing?,YN,No,"Yes, No",,FALSE,Yes,No,Yes
images/01/1000.jpg,"a dark-skinned boy wearing a knitted woolly hat and a light and dark grey striped jumper with a grey zip , leaning on a grey wall .",Are the hat and zip touching?,YN,No,"Yes, No",1,,No,No,No
images/00/702.jpg,"tourists are posing in a room , ten of them are standing , one is squatting . one kid is posing with them , five other kids are sitting at a table and eating out of three bowls . there are posters and pictures at the wall behind the tourists .",Is the bowls touching the tourists?,YN,No,"Yes, No",2,,No,No,No
images/00/683.jpg,"Three women are sitting on a wooden bench in front of an about one metre high , red brick wall . they are all wearing skirts and jumpers with gilets . two of them are wearing a hat too. one man is standing behind the wall. a wooden door on the left is being held open by a red brick .",Is the Hat beind door?,YN,No,"Yes, No",1,,No,No,No
annotations/01/1401.eng,"children in a swimming pool in a garden that is surrounded by a green wall there are two canvas chairs , white tables and chairs , a clothesline and a sunshade in the shade behind the pool there is also the corner of a green house on the left there are trees in the background",Is the garden far from the pool?,YN,No,"Yes, No",1,TRUE,No,No,No
images/01/1085.jpg,"a room with white walls , two single beds , a glass door with a wooden frame and red curtains . there is a picture above the bed on the wall .",Is the picture below the bed?,YN,No,"Yes, No",,,No,No,No
images/01/1037.jpg,"interior view of a room with two single beds with a yellow and red chequered bedcover and a night table in between the two beds . on the right a wooden commode and a red chair . a window at the back , with the curtains closed .",Is the bed and bedcover touching?,YN,Yes,"Yes, No",1,TRUE,Yes,Yes,Yes
annotations/00/838.eng,"a dark-skinned , dark-haired boy in grey tee-shirt is standing in classroom",Is the grey thing touching the boy?,YN,Yes,"Yes, No",1,TRUE,Yes,Yes,Yes
annotations/00/783.eng,"a dark-skinned , dark-haired girl in a blue jumper and red pants is sitting on the floor .",Is the floor touching the red thing?,YN,Yes,"Yes, No",,TRUE,Yes,Yes,Yes
images/00/709.jpg,a destroyed house with the wreckage lying around in front it . three ordinary a bit elevated houses in the background .,Is the House behind the wreckage?,YN,Yes,"Yes, No",1,,Yes,Yes,Yes
images/01/1200.jpg,"a room with blue walls , two single beds made of wood with a phone in between and a painting above it . the bedcover of the bed in the front is purple and green , the other one is multicoloured .",Is the other thing below the front?,YN,No,"Yes, No",,,No,No,No
images/01/1200.jpg,"a room with blue walls , two single beds made of wood with a phone in between and a painting above it . the bedcover of the bed in the front is purple and green , the other one is multicoloured .",Are the beds below the painting?,YN,Yes,"Yes, No",,,No,No,No
images/00/941.jpg,"a dark-skinned , dark-haired boy wearing a red cap and a blue jumper with a grey zip standing in the backyard . there is a grey house with a light blue roof in the background . there is a grey house with a light blue roof in the background. some garbage is lying around too .",Is the roof above the house?,YN,Yes,"Yes, No",2,,Yes,Yes,Yes
images/01/1088.jpg,"a photo of a room with white walls , two single beds with a night table in between and a picture on the wall above the beds .",Are the beds below the picture?,YN,Yes,"Yes, No",,,Yes,Yes,Yes
images/00/692.jpg,"there are two social workers in the foreground . one wearing a red pullover and brown pants is bending over to access the blue paint . the other one in a red tee-shirt and black jeans is watching her . at the back of the room there is another worker wearing a white tee-shirt and blue jeans , acutally painting . there are many newspapers on the ground to protect the kindergarten floor . all three workers are wearing a mask .",Are the red and brown thing touching?,YN,Yes,"Yes, No",1,,Yes,Yes,Yes
annotations/00/857.eng,"a dark-skinned , dark-haired girl wearing a white shirt underneath a dark grey pullover is standing in a classroom there are other kids in the background too , either standing or sitting at their desk",Are the kids in front of the grey thing?,YN,No,"Yes, No",2,FALSE,Yes,No,No
annotations/01/1503.eng,"six children in the forground , more children and also grown-ups in a canteen kind of place in the background",Are the grown-ups behind the six children?,YN,Yes,"Yes, No",1,FALSE,Yes,Yes,Yes
annotations/00/808.eng,"a dark-skinned , dark-haired boy wearing a blue jumper with a yellow collar is standing in front of a brown door",Is the brown thing in front of the blue thing?,YN,No,"Yes, No",2,FALSE,Yes,Yes,Yes
images/01/1136.jpg,"a white house with brown rooftiles , a lot of glass on the right and on the second floor . there are cactuses on the left .",Are the cactuses left of the house?,YN,Yes,"Yes, No",,,Yes,Yes,Yes
images/01/1179.jpg,"a very big , longish room with light blue walls , a double bed made of wood , with a night table and a ventilator in the background . there are also two windows in the background , and two arm chairs , a coffee table and a mirror in the foreground .",Is the coffee table in front of the windows?,YN,Yes,"Yes, No",,,No,No,No
images/01/1143.jpg,"a white , five-storey building with greenish windows and a large Hotel Continental Park sign . there is a penthouse on top of the building . and there are a couple of trees in front of it .",Is the building behind the trees?,YN,Yes,"Yes, No",,,No,No,No
images/01/1153.jpg,"a room with white walls , a double bed made of iron and with a red bedcover and a striped blanket above it . night tables on both sides and with a phone and a plastic bottle on the right .",Is the bottle right of the bed?,YN,Yes,"Yes, No",,,Yes,Yes,Yes
annotations/00/829.eng,"a dark-skinned , dark-haired girl wearing a grey tee-shirt is standing next to her desk in a classroom there are two more kids and comic figures on the wall in the background",Is the girl far from the desk?,YN,No,"Yes, No",1,TRUE,No,No,No
images/00/700.jpg,volunteer workers help with the construction in a kindergarten . four volunteers are squatting down and are trying to prise the ground with hammer and chisel . movable wooden walls are leaning on the wall in the background .,Is the Hammer behind the walls?,YN,No,"Yes, No",2,TRUE,No,No,No
images/00/955.jpg,"a dark-haired , dark-skinned girl wearing a dark green hat , a grey pullover with blue sleeves and a light blue and yellow necklace . a grey brick wall and short grass in the background .",Is the yellow thing above the blue thing?,YN,No,"Yes, No",1,TRUE,Yes,No,No
annotations/00/819.eng,"a dark-skinned , dark-haired girl wearing a USA pullover and red pants is standing outside a wall made of boulders in the near background USA jumper says Future USA at the front , with the Olympic rings below the letters , one sleeve shows the stars , the other one the stripes",Is the stars in front of the boulders?,YN,Yes,"Yes, No",,FALSE,No,No,No
annotations/01/1369.eng,"a room with a double bed made of dark wood , a blue and white chequered bedcover , white pillows , a door on the left , a fancy lamp and a fridge on the right",Is the door to the right of the fridge?,YN,No,"Yes, No",2,FALSE,No,No,No
annotations/00/855.eng,"a dark-skinned , dark-haired boy in a grey and blue jumper is standing next to a desk in a classroom a poster on a red brick wall behind him a picture of a sunflower on the wall next to him",Is the grey thing near to the picture?,YN,Yes,"Yes, No",,FALSE,Yes,Yes,Yes
images/01/1049.jpg,"exterior view of a light brown house , with stairs rising to the entrance of the second floor on the left , a tower with two small windows in the centre . there is an arch below the stairs leading to the entrance of the first floor . Exterior view of a light brown house , with stairs rising to the entrance of the second floor on the left , a tower with two small windows in the centre . There is an arch below the stairs leading to the entrance of the first floor. attached houses on the right . attached houses on the right. blue sky in the background .",Is the window inside the house?,YN,Yes,"Yes, No",,TRUE,No,No,No
images/00/719.jpg,"a volunteer , squatting down and browsing through a school book . school children around her , looking at the book too . in the background there is a table with school equipment on it . the kid in the foreground is holding a pencil .",Is the book under the person?,YN,Yes,"Yes, No",,TRUE,Yes,No,No
images/00/686.jpg,six kids are sitting around a table and playing with toy cars . one kid is standing next to the table . a woman is holding a black plastic bag on the left . three tourists in the background are talking to each other .,Is the sanding kid touching the toys?,YN,No,"Yes, No",1,,No,No,No
images/00/739.jpg,"a house with a pink roof and a green and white tower with three levels , each of them having a window on each side . one block in the front with three windows and the writing Casa Parroquial - Amor de Dios . another house with a green and yellow and red roof in the background .",Is the roof over the windows?,YN,Yes,"Yes, No",,TRUE,Yes,No,No
images/01/1136.jpg,"a white house with brown rooftiles , a lot of glass on the right and on the second floor . there are cactuses on the left .",Are the rooftiles under the white thing?,YN,No,"Yes, No",,,Yes,Yes,Yes
images/00/682.jpg,"A tourist group is visiting a school. the school kids are sitting at their desks , singing a song and clapping their hands , with their teacher clapping as well . six of the tourists are standing behind them and are watching them , one tourist is taking a photo .",Are the Kids above the school?,YN,No,"Yes, No",2,TRUE,No,No,No
annotations/01/1371.eng,a double bed made of wood with pink and white striped pillows and bedcovers there is a shelf in the back on the right,Is the pink and white things inside the bed?,YN,No,"Yes, No",,TRUE,No,No,No
annotations/00/842.eng,"a dark-skinned , dark-haired boy in a dark blue tee-shirt is sitting at a desk in a classroom a girl is eating in the background , another one wearing an orange pullover is walking along the corridor between the desks",Is the orange thing far from the desks?,YN,No,"Yes, No",1,TRUE,Yes,Yes,Yes
images/01/1331.jpg,room with light green walls and one painting . two single beds ( one fully visible ) made of wood with red and grey bedcovers . two single beds ( one fully visible ) made of wood with red and grey bedcovers. Night table with a bedside lamp between the two beds .,Is the wall toching the painting?,YN,Yes,"Yes, No",2,,Yes,No,No
annotations/01/1202.eng,"a king-sized bed with a white and grey bedcover there is a night table to the left and a chair in front of a mirror on the right , and a painting of a half-naked woman above the bed",Is the table to the right of the grey thing?,YN,No,"Yes, No",2,FALSE,No,No,No
annotations/01/1224.eng,"a room with a grey wall and two single beds with multicoloured bedcovers , a night table with a phone in between and two lamps above it there are white curtains in front of a window in the background on the right",Are the lamps above the bedcovers?,YN,Yes,"Yes, No",2,FALSE,No,No,No
images/00/934.jpg,"a dark-haired , dark-skinned boy wearing a grey Nike cap and a grey pullover is standing in front of a grey wall .",Are the wall and pullover thing touching?,YN,No,"Yes, No",3,TRUE,Yes,Yes,Yes
images/00/936.jpg,"a dark-haired boy wearing a black cap , a yellow tee-shirt , a white polo shirt and an open red jacket , is standing in front of a white wall .",Are the red thing and yellow thing touching?,YN,Yes,"Yes, No",1,,Yes,No,Yes
annotations/01/1348.eng,"Cobbled street , greenish hotel on the right a few people on the sidewalk car in the street",Is the car to the left of the green thing?,YN,Yes,"Yes, No",2,FALSE,No,No,No
annotations/01/1210.eng,"a room with white walls and a crate behind the two single beds made of wood with a multicoloured bedcover , white towels and a night table with a lamp and a phone in between them and a painting above it there is a white closet in the background on the right",Is the wooden things below the painting?,YN,Yes,"Yes, No",,FALSE,Yes, No,Yes
images/00/933.jpg,a dark-skinned dark-haired boy wearing a white cap ( with a green woodpecker on it ) and a white and pink jumper .,Is the green thing above the white thing?,YN,Yes,"Yes, No",2,,Yes,Yes,Yes
annotations/00/800.eng,"a dark-skinned , dark-haired girl in a light brown jumper with orange edges is standing in front of a desk pictures on a wooden wall in the background",Is the desk in front of the pictures?,YN,Yes,"Yes, No",,FALSE,Yes,Yes,Yes
annotations/01/1357.eng,"a room with walls painted in green and red , a double bed with a light and dark brown striped blanket , a night table with a lamp on the left and a door and two windows in the background",Is the door behind the table?,YN,Yes,"Yes, No",,FALSE,No,No,No
annotations/00/849.eng,"a dark-skinned , dark-haired girl in a white vest and black pants is standing next to a desk the lower half of a bottle of Kola Real is standing on a desk next to her a red brick wall in the background",Is the black thing behind the wall?,YN,No,"Yes, No",2,FALSE,No,No,No
annotations/01/1358.eng,"a multi-storey frame house on the left , a snowcovered mountain in the background on the right behind a couple of trees , and in the foreground a wall decorated with flowers , a garden and a lawn",Is the house to the left of the mountain?,YN,Yes,"Yes, No",2,FALSE,Yes,Yes,Yes
annotations/01/1352.eng,"Two single beds , made of wood , painted white , with red and orange bedcovers white door on the right window with red curtains on the left",Is the curtains right of the orange things?,YN,No,"Yes, No",,FALSE,No,No,No
annotations/01/1393.eng,a double bed made of wood with white bedcover and two white pillows in a room with a crate and white walls above it there are red ornaments around the entrance on the right,Are the pillows below the crate?,YN,Yes,"Yes, No",2,FALSE,No,No,No
images/01/1159.jpg,"a room with white walls , a double bed made of wood with an orange and blue bedcover and a night table with a lamp to the left . there is also a window with a wooden frame and a light brown curtain on the very left .",Is the frame below the bed?,YN,No,"Yes, No",,,Yes,No,No
annotations/00/805.eng,"a dark-skinned , dark-haired girl in a blue pullover",Is the hair far from the blue thing?,YN,No,"Yes, No",1,TRUE,No,No,No
images/01/1125.jpg,"a wooden house with green window frames , a small balcony on the left and a green Unmittelbare Treffer corrugated sheet roof above it . there are plants in front of the house and trees behind it .",Are the green window frames in the middle of house?,YN,No,"Yes, No",,,No,No,No
images/00/960.jpg,"a dark-skinned , dark-haired boy wearing a grey cap and a dark and light grey jumper with a black zip , in front of a white wall .",Is the black thing above the white thing?,YN,No,"Yes, No",1,TRUE,Yes,Yes,Yes
annotations/01/1392.eng,"corner view of a dark yellow , two-storey house with white window and door frams and balconies with iron rails",Are the white things near the balconies?,YN,Yes,"Yes, No",1,TRUE,Yes,Yes,Yes
images/01/1327.jpg,"a terrace with white plastic chairs and white round tables , red flowers on the right , a street behind the terrace and waves of the sea breaking on the beach during sunset .",Are the flowers right of the table?,YN,Yes,"Yes, No",,FALSE,Yes,Yes,Yes
annotations/00/813.eng,"a dark-skinned , dark-haired boy in dark vest is standing in front of a wall made of rocks",Is the vest behind the rocks?,YN,No,"Yes, No",2,FALSE,No,No,No
images/01/1103.jpg,a large wooden king-size bed with a white bedcover and a wooden night table with a phone on it . almost closed curtains at the back .,Is the phone below the bedcover?,YN,No,"Yes, No",,,No,No,No
images/00/779.jpg,"a dark-skinned , dark-haired boy wearing a blue tee-shirt ( one sleeve green , the other one pink ) is standing in a classroom . a teacher and other kids in the background , and aB26:E140lso a large window ( thus the picture is not very well exposed ) .",Is the boy have the classroom?,YN,No,"Yes, No",,TRUE,Yes,Yes,Yes
annotations/01/1423.eng,a double bed made of wood with a light blue bedcover and light blue and white chequered pillows in a room with white walls there is a small carpet and a door on the left,Is the pillows touching the bed?,YN,Yes,"Yes, No",,TRUE,Yes,Yes,Yes
images/00/992.jpg,"a dark-skinned , dark-haired girl in a white shirt in front of a painted wall . the painting shows a sunset behind a hill and a tree .",Are the blue thing and black thing touching?,YN,Yes,"Yes, No",1,TRUE,No,No,No
annotations/00/859.eng,"a dark-skinned , dark-haired boy wearing a grey jacket is standing in a classroom a girl is sitting at her desk in the background comic characters on the wall at the back",Is the boy have the grey thing?,YN,No,"Yes, No",,TRUE,Yes,Yes,Yes
images/00/726.jpg,"Children are sitting at their desks and are singing a song with their teacher . there is a large window , a blackboard and a shelf at the back of the classroom . there is a wall on the left with a map of Peru , a poster and Minnie Mouse on it .",Are the kids sitting in front of the teacher?,YN,No,"Yes, No",1,,Yes,Yes,Yes
