ID,Story,Question,Label,reasoning,answer
13,"S and U are next to each other with S on the top and U at the bottom. O is positioned up and to the right of W. If G is the center of a clock face, U is located between 10 and 11. The object G is upper and slightly to the right of the object W. Object S is above object M and to the left of it, too.",What is the relation of the agent G to the agent S?,lower-right,"1. Parse facts: is(""S"", above, ""M""). is(""S"", left, ""M""). is(""O"", right, ""W""). is(""O"", above, ""W""). is(""U"", below, ""S""). is(""U"", between, ""10"", ""11""). is(""G"", upper, ""W""). is(""G"", right, ""W""). query(""G"", ""S"")",right
14,"V and R are parallel, and R is below V. U and R are next to each other with U on the left and R on the right. U is at L's 3 o'clock. I and V are horizontal and I is to the left of V. Y is to the left of I.",What is the relation of the agent V to the agent U?,upper-right,ERROR: Unable to process response: RetryError[<Future at 0x11fe19eb0 state=finished raised BadRequestError>],ERROR
15,"L is sitting at the 6:00 position to G. I is at a 45 degree angle to L, in the upper lefthand corner. Z is to the left of M with a small gap between them. R is to the bottom-left of I. Z and R are horizontal and Z is to the right of R.",What is the relation of the agent L to the agent G?,below,"1. Parse facts: is(""L"", below, ""G""), is(""I"", upper-left, ""L""), is(""Z"", left, ""M""), is(""R"", lower-left, ""I""), is(""Z"", right, ""R""), query(""G"", ""L"")",below
16,J is slightly off center to the top left and S is slightly off center to the bottom right. W is positioned right to X. Z is diagonally to the bottom right of R. J is below and to the right of Z. R is on the right side and top of X.,What is the relation of the agent W to the agent R?,below,"Step 1, 2,3 ...",right
17,B is to the left of M and is on the same horizontal plane. Q is directly north west of B. M and U are side by side with U at the bottom and M on the top. I is over there and A is directly below it. U is at the 3 o'clock position relative to A.,What is the relation of the agent I to the agent Q?,lower-right,"1. Parse facts: is('B', left, 'M'). is('B', above, 'Q'). is('M', above, 'U'). is('U', below, 'A'). is('U', right, 'M'). is('A', below, 'I'). is('U', at, '3 o'clock', 'A'). Query: query('I', 'Q')",lower-right
18,B is positioned left to Z. F is below S and to the left of S. H and Z are in a vertical line with Z below H. B is sitting in the right direction of V. S is positioned in the front right corner of V.,What is the relation of the agent B to the agent F?,right,"1. Parse facts: is('B', left, 'Z'). is('F', below, 'S'). is('F', left, 'S'). is('H', above, 'Z'). is('B', right, 'V'). is('S', right, 'V'). Query: query('B', 'F')",left
19,W is to the right of K with a small gap between them. I is lower left to N. W is diagonally below H to the left at a 45 degree angle. N is placed at the lower left of X. The object H is upper and slightly to the right of the object X.,What is the relation of the agent X to the agent I?,upper-right,ERROR: Unable to process response: RetryError[<Future at 0x12842d970 state=finished raised BadRequestError>],ERROR
20,Z is to the right of M with a small gap between them. The object P and R are there. The object P is below and slightly to the right of the object R. M is directly above R. B is on the lower left of Z. P is at the bottom of H.,What is the relation of the agent H to the agent Z?,below,ERROR: Unable to process response: RetryError[<Future at 0x12d38d2e0 state=finished raised BadRequestError>],ERROR
21,"Y is diagonally to the bottom left of R. The object G is upper and slightly to the left of the object B. M and Y are parallel, and M is to the left of Y. G is at the bottom of J vertically. R and B are parallel, and R on the left of B.",What is the relation of the agent G to the agent M?,upper-right,"1. Parse facts: is('Y', lower-left, 'R'). is('G', upper-left, 'B'). is('M', parallel, 'Y'). is('M', left, 'Y'). is('G', bottom, 'J'). is('R', parallel, 'B'). is('R', left, 'B'). query('G', 'M')",left
22,"Object R is above object U and to the right of it, too. G is diagonally to the upper left of B. X is at the lower side of B. D is at R’s 9 o'clock. G is positioned below U.",What is the relation of the agent B to the agent D?,lower-right,ERROR: Unable to process response: RetryError[<Future at 0x12e6e4d10 state=finished raised BadRequestError>],ERROR
23,V presents lower right to B. X is over there with O below. W is above B at 2 o'clock. V and H are vertical and V is above H. O is positioned below and to the right of W.,What is the relation of the agent H to the agent X?,lower-left,"Step 1, 2,3 ...",right
24,H is to the right and above Y at an angle of about 45 degrees. M is diagonally above J to the right at a 45 degree. Y is on top of X. The object R is upper and slightly to the left of the object J. X and R are side by side with X on the top and R at the bottom.,What is the relation of the agent J to the agent Y?,lower-right,"1. Parse facts: is(""H"", right, ""Y""), is(""H"", above, ""Y""), is(""M"", upper-right, ""J""), is(""Y"", above, ""X""), is(""R"", upper-left, ""J""), is(""X"", above, ""R""), query(""J"", ""Y"")",below
25,L is directly south west of N. Q is over there and O is on the top of it. L is under F. N and H are horizontal and N is to the right of H. O is upper left of H.,What is the relation of the agent O to the agent Q?,above,"Step 1, 2,3 ...",above
26,"K and C are vertical and K is below C. If K is the center of a clock face, B is located between 10 and 11. W is directly north west of O. Z is positioned above O and to the right. W is there and B is at the 2 position of a clock face.",What is the relation of the agent C to the agent B?,right,"1. Parse facts: is(""K"", below, ""C""), is(""K"", center, """"), is(""B"", between, ""10""), is(""B"", between, ""11""), is(""W"", north-west, ""O""), is(""Z"", above, ""O""), is(""Z"", right, ""O""), is(""W"", at, """"), is(""B"", at, ""2""). query(""C"", ""B"")",right
27,U is to the left of Y horizontally. L is below and to the right of J. Y is placed on the top of S. G and L are in a horizontal line with G on the left. U is on the left side and above J.,What is the relation of the agent G to the agent U?,lower-right,ERROR: Unable to process response: RetryError[<Future at 0x12e704800 state=finished raised BadRequestError>],ERROR
28,P presents over T. E presents below S. G is over D. E is positioned in the lower right corner of P. T is positioned up and to the right of G.,What is the relation of the agent G to the agent S?,lower-left,ERROR: Unable to process response: RetryError[<Future at 0x12e7041d0 state=finished raised BadRequestError>],ERROR
29,S is diagonally right and above U. Q is at D's 3 o'clock. D is sitting at the top position to V. V and S are horizontal and V is to the left of S. U and F are side by side with F at the bottom and U on the top.,What is the relation of the agent D to the agent S?,upper-left,ERROR: Unable to process response: RetryError[<Future at 0x12e707c50 state=finished raised BadRequestError>],ERROR
