ID,Story,Question,Label,llama70B_base,llama70B_CoT
11,"W is over there with J below. The object A is positioned above and to the left of object E. Object E is above object W and to the right of it, too. A is on the left and C is on the right. If Z is the center of a clock face, C is located between 10 and 11. Z is there and D is at the 2 position of a clock face.",What is the relation of the agent W to the agent D?,lower-left,lower-right,lower-right
12,Y and Z are next to each other with Y on the top and Z at the bottom. Y is directly north west of C. C is below and to the right of G. K presents upper left to P. P is to the right of N with a small gap between them. N is on the right and Z is on the left.,What is the relation of the agent G to the agent N?,upper-left,upper-left,upper-left
13,E is diagonally above S to the left at a 45 degree angle. W is positioned up and to the right of E. W is positioned in the front right corner of T. S and D are in a vertical line with S on top. I is diagonally right and below T. Z is directly below D.,What is the relation of the agent Z to the agent W?,below,lower-left,lower-left
14,"E is below Z and to the left of Z. G and E are parallel, and G on the left of E. R is to the upper left of Y. G is diagonally right and above P. P is directly below V. V is positioned in the lower left corner of R.",What is the relation of the agent G to the agent Y?,left,upper-left,upper-left
15,U is placed on the top of N. D is positioned down and to the left of A. F is slightly off center to the top left and U is slightly off center to the bottom right. N is on the top side to R. D is south east of R. W is to the top of A vertically.,What is the relation of the agent D to the agent R?,lower-right,lower-left,lower-right
16,X is there and K is at the 2 position of a clock face. T is to the right and above B at an angle of about 45 degrees. X is diagonally right and below T. The objects E and W are over there. The object E is above and slightly to the right of the object W. B is slightly off center to the top left and E is slightly off center to the bottom right. K is sitting at the lower left position to O.,What is the relation of the agent B to the agent W?,above,upper-left,upper-left
17,"Z is diagonally below H to the right at a 45 degree angle. X is on the right side and below Q. G is over there and L is directly above it. Q is at a 45 degree angle to Z, in the lower righthand corner. H is at the 12 o'clock position relative to L. X is over there and F is at the bottom of it.",What is the relation of the agent G to the agent Q?,left,upper-left,upper-right
18,D is sitting at the 6:00 position to Q. L is south east of K. Y is directly south west of R. J is below R. The objects Q and J are over there. The object Q is above and slightly to the right of the object J. L is positioned right to D.,What is the relation of the agent D to the agent J?,right,upper-right,above
19,"T and N are side by side with N at the bottom and T on the top. Z is to the top-left of E. M presents upper left to T. Z and D are in a vertical line with D below Z. D is to the left of R and below R at approximately a 45 degree angle. N and E are parallel, and N is to the left of E.",What is the relation of the agent N to the agent T?,below,below,below
20,W is diagonally below R to the right at a 45 degree angle. O is above Y with a small gap between them. N is sitting at the 12:00 position to T. W is at N's 6 o'clock. The object O is positioned below and to the right of the object B. T is to the left of B with a small gap between them.,What is the relation of the agent W to the agent N?,below,below,below
21,K is on the upper right of M. S is over there with P below. R and J are next to each other with J on the right and R on the left. R and M are in a horizontal line with M on the right. S is positioned in the top left corner of K. E is positioned above P and to the right.,What is the relation of the agent E to the agent R?,upper-right,upper-right,upper-right
22,L is at the 9 o'clock position relative to K. B is over there and P is on the left of it. E is diagonally left and below L. D and R are in a vertical line with R below D. R is upper right to P. D is to the right and above E at an angle of about 45 degrees.,What is the relation of the agent D to the agent P?,upper-right,upper-right,upper-right
23,U is sitting in the right direction of Y. Q is to the top right of F. N and R are side by side with N on the top and R at the bottom. Q is positioned below Y and to the right. X is at the bottom and N is on the top. U is sitting at the lower position to R.,What is the relation of the agent Y to the agent X?,lower-left,above,above
24,F is on the same vertical plane directly below O. Q is over B. B is diagonally below O to the right at a 45 degree angle. Q is at U's 6 o'clock. F is on the left side and above G. G is at S's 6 o'clock.,What is the relation of the agent B to the agent Q?,below,below,below
25,Q and T are in a horizontal line with T on the right. Q and P are in a vertical line with Q on top. T and D are side by side with T to the right and D to the left. S is sitting at the 6:00 position to H. Y is positioned in the lower left corner of D. H is placed at the bottom of Y.,What is the relation of the agent T to the agent P?,upper-right,right,right
26,"N is at a 45 degree angle to U, in the lower righthand corner. F is on the top and J is at the bottom. F is at a 45 degree angle to L, in the upper righthand corner. N is to the upper left of Z. I is sitting at the 12:00 position to J. L is to the bottom-left of U.",What is the relation of the agent F to the agent Z?,upper-left,upper-right,upper-right
27,"W is at the 6 o'clock position relative to C. S and J are in a horizontal line with J on the right. C is positioned up and to the right of S. W is at the 12 o'clock position relative to H. H and A are both there with the object A below the object H. A and O are parallel, and A is over O.",What is the relation of the agent H to the agent J?,below,upper-right,upper-right
28,I is above and to the right of V. I is to the bottom right of F. B is over there with O above. B is positioned right to R. K is positioned down and to the left of O. R is diagonally left and below F.,What is the relation of the agent R to the agent F?,lower-left,lower-left,lower-left
29,Y is positioned below and to the right of X. Z is at L's 6 o'clock. G is on the top side to L. Z is south west of U. U and Y are next to each other with U on the left and Y on the right. W presents upper left to G.,What is the relation of the agent X to the agent L?,upper-right,upper-left,upper-left
30,"C is on the top of L and is on the same vertical plane. Object J is below object A and to the left of it, too. J is at H's 3 o'clock. I and H are parallel, and I is to the right of H. B is directly above A. L is positioned in the lower right corner of I.",What is the relation of the agent H to the agent L?,above,upper-right,upper-right
31,"V and X are side by side with V on the top and X at the bottom. K is over there and Q is at the bottom of it. X is sitting at the upper right position to M. T is at a 45 degree angle to M, in the upper righthand corner. T is positioned in the top left corner of Q. Y is at the 6 o'clock position relative to V.",What is the relation of the agent M to the agent V?,lower-left,upper-right,upper-right
32,M is diagonally right and below U. U presents lower left to F. The object F is positioned above and to the right of the object K. N and M are side by side with N on the top and M at the bottom. N is at the 3 o'clock position relative to Y. K is diagonally left and above K.,What is the relation of the agent K to the agent F?,lower-left,lower-left,lower-left
33,"L is at S's 6 o'clock. R is diagonally to the bottom left of N. L and A are next to each other with L on the left and A on the right. J is on top of A. R is at a 45 degree angle to S, in the lower lefthand corner. N is placed at the bottom of G.",What is the relation of the agent N to the agent S?,overlap,below,lower-left
34,A is above and to the right of P. Q is over there and C is directly below it. C is positioned above F and to the left. L is diagonally to the bottom right of Q. A is above and to the left of L. T and P are side by side with T on the top and P at the bottom.,What is the relation of the agent Q to the agent P?,upper-right,upper-right,upper-right
35,"K is over there with M below. The object Y is positioned above and to the left of object K. B and R are parallel, and B is to the right of R. R is to the top-right of H. I is placed at the upper right of B. H is positioned in the front right corner of Y.",What is the relation of the agent R to the agent K?,upper-right,upper-right,upper-right
36,"The object W is positioned directly above the object Z. If K is the center of a clock face, Y is located between 4 and 5. G is over there with F above. Y is directly above C. C is positioned above G and to the right. W and F are parallel, and W is to the right of F.",What is the relation of the agent Z to the agent C?,lower-left,lower-left,lower-right
37,K is to the upper left of Y. E is above K with a small gap between them. A is on the right side and top of C. C is positioned right to O. T is placed at the upper right of E. O is south east of T.,What is the relation of the agent E to the agent K?,above,above,above
38,"R is on the top side to T. The objects R and F are over there. The object R is above and slightly to the right of the object F. C is to the right of D. D and T are vertical and D is above T. C and E are parallel, and E is below C. The object U is positioned directly above the object F.",What is the relation of the agent E to the agent T?,right,below,below
39,E is to the right of J. F is to the right of A with a small gap between them. A and M are both there with the object A is to the right of object M. E is on the left side of and below I. J and N are both there with the object J is to the right of object N. N is at the lower side of F.,What is the relation of the agent M to the agent A?,right,left,left
40,Z is on the same vertical plane directly above F. G is above and to the left of F. G and B are in a horizontal line with B on the right. D is to the right and above X at an angle of about 45 degrees. X is diagonally right and below U. Z is to the bottom-left of U.,What is the relation of the agent X to the agent G?,right,lower-right,lower-right
41,"The object D and I are there. The object D is below and slightly to the right of the object I. O is upper right to E. If O is the center of a clock face, R is located between 2 and 3. Object I is below object X and to the left of it, too. E is slightly off center to the top left and X is slightly off center to the bottom right. D is diagonally above F to the left at a 45 degree angle.",What is the relation of the agent X to the agent D?,above,upper-right,upper-right
42,V is to the top-right of R. T is lower right of J. A is sitting at the lower right position to K. A and R are both there with the object R below the object A. S is to the top of V vertically. The object S and J are there. The object J is above and slightly to the left of the object S.,What is the relation of the agent J to the agent V?,upper-left,upper-left,upper-left
43,"Y is over there and T is on the right of it. E is above X with a small gap between them. S and X are side by side with S on the top and X at the bottom. A is on the left side to Z. E is above Y and to the left of Y. If A is the center of a clock face, T is located between 4 and 5.",What is the relation of the agent E to the agent X?,above,above,upper-left
44,O and Y are side by side with O to the left and Y to the right. O is directly north east of J. A is directly above X. X is placed in the right direction of R. Y and A are horizontal and Y is to the right of A. R is positioned below and to the right of B.,What is the relation of the agent J to the agent A?,lower-left,lower-left,lower-left
45,Z is on the left side of and below U. K is there and J is at the 5 position of a clock face. F is at the bottom of K. C is on the left and J is on the right. Z and X are next to each other with X on the right and Z on the left. C is north east of U.,What is the relation of the agent X to the agent C?,lower-left,lower-right,lower-right
46,A is to the bottom left of F. J is placed at the lower right of A. S is to the right and above C at an angle of about 45 degrees. D is positioned below J. D is over there and C is on the top of it. S is placed at the lower right of H.,What is the relation of the agent C to the agent F?,below,upper-left,above
47,"K is below O and to the right of O. H is over O. X is sitting at the 6:00 position to J. K and J are both there with the object K is to the right of object J. X is at a 45 degree angle to N, in the lower lefthand corner. W is to the right and above H at an angle of about 45 degrees.",What is the relation of the agent N to the agent H?,lower-right,upper-right,lower-left
48,F is below C. The objects O and C are over there. The object O is lower and slightly to the left of the object C. F is over there with B above. N is on the lower right of I. Y is at O's 3 o'clock. Y is to the bottom-left of I.,What is the relation of the agent F to the agent O?,right,lower-left,below
49,"X is positioned above F and to the left. V is on the same horizontal plane directly left to Z. Z is to the bottom right of X. S is sitting at the upper left position to G. G is at the bottom of H and is on the same vertical plane. S and V are parallel, and V is below S.",What is the relation of the agent Z to the agent S?,lower-right,lower-right,lower-right
50,E is over N. O is slightly off center to the top left and K is slightly off center to the bottom right. L is to the right and above E at an angle of about 45 degrees. The objects V and O are over there. The object V is lower and slightly to the left of the object O. H presents lower left to L. The object H is lower and slightly to the left of the object V.,What is the relation of the agent E to the agent N?,above,above,above
51,"T is to the right of B. Object C is below object N and to the left of it, too. L presents left to J. J is to the right and above H at an angle of about 45 degrees. Object L is above object C and to the right of it, too. B is over there and H is on the top of it.",What is the relation of the agent B to the agent L?,below,lower-left,lower-right
52,K and P are in a vertical line with P below K. X is on the lower left of A. A and B are vertical and A is above B. K is at the 12 o'clock position relative to B. The object X is upper and slightly to the right of the object S. S and Q are side by side with Q at the bottom and S on the top.,What is the relation of the agent B to the agent X?,right,lower-right,lower-right
53,"Q presents below A. L is above and to the left of G. If A is the center of a clock face, W is located between 10 and 11. The object L is upper and slightly to the right of the object R. Q and G are side by side with Q to the right and G to the left. Object R is below object N and to the left of it, too.",What is the relation of the agent N to the agent A?,left,upper-left,upper-right
54,"V and I are parallel, and I is below V. F and X are horizontal and F is to the left of X. D is on the left side to V. The object labeled X is positioned to the left of the object labeled K. F is to the top of R vertically. The object I is lower and slightly to the left of the object R.",What is the relation of the agent K to the agent V?,upper-right,upper-right,upper-right
55,"X is diagonally left and below Q. I presents lower right to X. T presents upper left to H. Z is directly south west of D. H and D are parallel, and H is under D. Z and I are in a vertical line with Z on top.",What is the relation of the agent D to the agent X?,upper-right,upper-right,upper-right
56,The object J is positioned above and to the right of the object Y. T is positioned below B and to the left. Y is on the top of B and is on the same vertical plane. The object A and J are there. The object J is above and slightly to the left of the object A. T is on the left side to P. F and P are both there with the object F is to the left of object P.,What is the relation of the agent Y to the agent A?,left,upper-right,upper-right
57,Z is positioned left to A. K is at the 3 o'clock position relative to F. L is to the right of F and is on the same horizontal plane. G is to the top of A vertically. C is at the 3 o'clock position relative to Z. L is to the top-left of C.,What is the relation of the agent G to the agent C?,above,upper-right,upper-right
58,"D is placed in the right direction of C. J and C are parallel, and J is on top of C. U is above O and to the right of O. B is on the left side and above A. A is to the left of U. O is sitting at the lower right position to J.",What is the relation of the agent U to the agent C?,upper-right,upper-right,upper-right
59,"P is south west of L. Object V is above object B and to the left of it, too. B is over there and U is directly below it. V is below G at 4 o'clock. Object U is below object P and to the left of it, too. G is to the top right of C.",What is the relation of the agent L to the agent V?,right,upper-right,upper-right
60,G is diagonally right and below O. D is positioned below and to the right of I. I and A are both there with the object A below the object I. W is diagonally right and above R. W is sitting at the 9:00 position of A. O and D are horizontal and O is to the left of D.,What is the relation of the agent G to the agent O?,lower-right,lower-right,lower-right
61,"H is on the upper right of C. The object N and Y are there. The object N is below and slightly to the right of the object Y. D and E are in a vertical line with E below D. N is at the bottom of D. Y is sitting at the 3:00 position to C. Object E is below object X and to the left of it, too.",What is the relation of the agent E to the agent D?,below,below,below
62,D is north east of G. P is sitting at the 9:00 position of U. V is sitting at the 6:00 position to Q. Q is to the right and above P at an angle of about 45 degrees. U is diagonally to the bottom right of G. M is diagonally to the upper right of V.,What is the relation of the agent U to the agent M?,upper-left,lower-left,lower-left
63,E is positioned up and to the right of X. X is positioned right to C. Z is positioned in the top left corner of E. O and D are next to each other with O on the left and D on the right. C is over there with F above. D and Z are horizontal and D is to the right of Z.,What is the relation of the agent Z to the agent C?,upper-right,upper-left,upper-left
64,"Object E is below object H and to the right of it, too. K is to the left of C with a small gap between them. S presents over H. K and E are vertical and K is above E. F and S are in a horizontal line with F on the left. F is north east of A.",What is the relation of the agent K to the agent C?,left,left,left
65,"W is on the top and B is at the bottom. B is below Q. U is positioned below Y. W is above P at 2 o'clock. Object V is above object Y and to the left of it, too. P is diagonally to the bottom left of U.",What is the relation of the agent Q to the agent P?,upper-right,upper-left,upper-left
66,"B is placed at the upper right of C. C and G are both there with the object C is to the right of object G. G is positioned up and to the right of W. O is sitting at the 12:00 position to B. K is directly north west of W. J and O are parallel, and J is under O.",What is the relation of the agent G to the agent J?,below,lower-left,lower-left
67,Q is on top of R. B is over there with Q above. The object B and Y are there. The object Y is above and slightly to the left of the object B. Z and F are side by side with Z on the top and F at the bottom. W and Z are next to each other with W on the top and Z at the bottom. R is to the top-right of F.,What is the relation of the agent B to the agent W?,lower-right,lower-right,lower-right
68,"The object S is positioned below and to the left of the object H. Y is over there and S is on the left of it. If N is the center of a clock face, L is located between 10 and 11. Object K is above object Y and to the right of it, too. H and C are next to each other with C on the right and H on the left. Object L is below object C and to the right of it, too.",What is the relation of the agent K to the agent C?,overlap,upper-right,upper-right
69,"I and C are parallel, and C is below I. T is positioned above and to the left of G. Y is positioned in the front right corner of C. G is on the right side and top of I. U is on the same vertical plane directly above T. U and K are next to each other with U on the top and K at the bottom.",What is the relation of the agent I to the agent U?,below,above,above
70,"S is on the left side and above L. R is to the bottom-left of S. A and J are parallel, and A is to the left of J. C is there and J is at the 2 position of a clock face. C is positioned above and to the left of L. B is below A at 7 o'clock.",What is the relation of the agent C to the agent R?,upper-right,upper-left,upper-left
71,The object labeled C is positioned to the right of the object labeled D. N is placed at the lower right of B. L is south east of H. H is on the left side of and below B. L is to the right of R horizontally. D is on the right side to R.,What is the relation of the agent D to the agent C?,left,left,left
72,"Y is placed at the upper right of D. If D is the center of a clock face, A is located between 2 and 3. B presents upper left to A. H is positioned in the top left corner of P. B is to the upper left of P. H is to the right and above W at an angle of about 45 degrees.",What is the relation of the agent B to the agent P?,upper-left,upper-left,upper-left
73,"R and N are both there with the object N below the object R. B is at the 12 o'clock position relative to Q. T is over there and R is directly below it. If B is the center of a clock face, O is located between 7 and 8. T and F are parallel, and F is below T. Q and N are parallel, and Q is over N.",What is the relation of the agent Q to the agent N?,above,above,above
74,V and O are in a vertical line with O below V. L is to the bottom left of X. X and C are vertical and X is above C. P is at the bottom and Q is on the top. Q is on the top side to O. C and V are both there with the object C is to the right of object V.,What is the relation of the agent L to the agent V?,left,lower-left,lower-left
75,"X is to the bottom-right of S. P is to the right and above F at an angle of about 45 degrees. If F is the center of a clock face, C is located between 2 and 3. H is at the 9 o'clock position relative to X. C presents lower right to H. E is sitting at the 9:00 position of P.",What is the relation of the agent X to the agent C?,above,upper-left,upper-left
76,"T is on the top side to U. E is on the top of H and is on the same vertical plane. V is at X's 6 o'clock. H is there and V is at the 10 position of a clock face. The object X and S are there. The object S is above and slightly to the left of the object X. Object U is below object S and to the right of it, too.",What is the relation of the agent H to the agent V?,lower-right,upper-left,upper-left
77,"O is over there with S above. S is at the 3 o'clock position relative to E. E and A are parallel, and E on the left of A. R is positioned above F. O is on the same horizontal plane directly right to R. K is at F's 3 o'clock.",What is the relation of the agent E to the agent R?,above,left,lower-left
78,"E is sitting at the 6:00 position to S. If B is the center of a clock face, E is located between 4 and 5. The object U and W are there. The object W is above and slightly to the left of the object U. W and C are parallel, and W is on top of C. J is over there and B is on the left. Object S is above object C and to the left of it, too.",What is the relation of the agent C to the agent E?,right,below,lower-right
79,B is at the 6 o'clock position relative to L. F is at the 12 o'clock position relative to P. F is sitting at the 12:00 position to U. T is positioned above Q. P is on the top and Q is at the bottom. L is positioned in the top left corner of U.,What is the relation of the agent P to the agent B?,right,upper-left,upper-right
80,S is there and F is at the 2 position of a clock face. The object S is lower and slightly to the right of the object Z. I is below F. B is at the 3 o'clock position relative to I. B is at M's 6 o'clock. Z presents lower left to P.,What is the relation of the agent F to the agent M?,left,upper-right,upper-right
81,S and C are in a horizontal line with C on the right. Q is to the right and above D at an angle of about 45 degrees. I is over there with S below. Q and P are both there with the object Q is to the left of object P. The object D and Z are there. The object Z is above and slightly to the left of the object D. C is sitting at the upper left position to Z.,What is the relation of the agent P to the agent I?,lower-right,upper-right,upper-right
82,T is on the top of E and is on the same vertical plane. C is positioned below X and to the right. C is above B at 10 o'clock. B is to the left of E and is on the same horizontal plane. A is at N's 12 o'clock. N is diagonally left and below X.,What is the relation of the agent B to the agent N?,lower-right,upper-left,upper-left
83,X is above and to the left of M. R is directly north west of J. J is to the bottom-left of X. R is positioned above and to the left of W. The object M and D are there. The object D is above and slightly to the left of the object M. W is diagonally to the upper right of Y.,What is the relation of the agent M to the agent W?,right,lower-right,lower-right
84,P presents lower right to Y. L is placed at the upper left of T. P is to the bottom-right of T. I is placed at the upper right of O. L is to the top of O vertically. I is positioned above and to the left of K.,What is the relation of the agent O to the agent T?,left,lower-right,upper-left
85,"Q is north east of W. A and D are parallel, and A is to the right of D. T is north east of A. T is at the 12 o'clock position relative to X. D is on the left side to Q. W is at the bottom of Z vertically.",What is the relation of the agent T to the agent Q?,upper-left,upper-left,upper-right
86,J and M are next to each other with M at the bottom J on the top. The object Q is positioned above and to the right of the object K. V is over there and E is on the right of it. Q is positioned down and to the left of E. J and K are side by side with K at the bottom and J on the top. O is over there and M is on the right.,What is the relation of the agent O to the agent K?,left,above,above
87,"The object Y is lower and slightly to the right of the object M. B is at the 9 o'clock position relative to S. Object M is below object H and to the right of it, too. Y is to the bottom-left of S. H is to the left of F with a small gap between them. C is over there and B is directly above it.",What is the relation of the agent Y to the agent H?,lower-right,lower-left,lower-right
88,"E and B are parallel, and E is under B. Y is slightly off center to the top left and B is slightly off center to the bottom right. H presents over O. C is north east of E. Y is lower left to O. C is diagonally left and below X.",What is the relation of the agent C to the agent Y?,lower-right,upper-left,upper-left
89,"J is positioned below S and to the right. F is over there and B is at the bottom of it. U is below J and to the left of J. Z is at a 45 degree angle to X, in the lower righthand corner. B is sitting at the top position to S. The object X is positioned above and to the right of the object F.",What is the relation of the agent J to the agent X?,below,lower-left,upper-right
90,"T presents upper left to C. G is there and M is at the 10 position of a clock face. B is on the right and E is on the left. C is at a 45 degree angle to I, in the lower lefthand corner. M is there and E is at the 10 position of a clock face. The object B is upper and slightly to the right of the object T.",What is the relation of the agent I to the agent G?,below,upper-right,upper-left
91,"Q is sitting in the right direction of D. T is positioned below and to the right of J. T and Q are parallel, and T is on top of Q. I is at the 3 o'clock position relative to M. I is over there and Z is on the right of it. M is on the right and D is on the left.",What is the relation of the agent D to the agent T?,lower-left,lower-left,lower-left
92,"V is diagonally to the upper right of K. The object L and N are there. The object N is above and slightly to the left of the object L. J is at A's 3 o'clock. A is positioned up and to the right of G. G is above K with a small gap between them. Object L is below object V and to the left of it, too.",What is the relation of the agent V to the agent J?,lower-left,upper-right,upper-right
93,F and O are in a vertical line with O below F. Y is placed on the top of E. I is positioned below and to the right of O. Y is directly above F. M is above C and to the right of C. I presents over C.,What is the relation of the agent C to the agent Y?,lower-right,below,below
94,J is above Q and to the left of Q. W is diagonally to the upper left of T. Q is lower left to D. M is positioned below C. T is there and D is at the 10 position of a clock face. C is on the same vertical plane directly above J.,What is the relation of the agent D to the agent Q?,upper-right,upper-right,upper-right
95,H is to the top-right of X. O is to the right and above X at an angle of about 45 degrees. Z is at the 6 o'clock position relative to P. D is sitting at the top position to Z. P is below and to the right of H. D is at the 9 o'clock position relative to W.,What is the relation of the agent H to the agent D?,upper-left,upper-left,upper-left
96,Y is on the same horizontal plane directly right to X. I and G are side by side with I on the top and G at the bottom. Y is positioned left to U. W is over there and U is on the left. W is over there with B below. X is over there and G is on the right.,What is the relation of the agent W to the agent X?,right,above,above
97,G is positioned left to Z. P is on the top of X and is on the same vertical plane. R is sitting at the upper left position to E. O is below X. E is placed at the upper right of Z. R is diagonally to the bottom right of O.,What is the relation of the agent O to the agent Z?,upper-left,below,below
98,F is at the bottom of Y and is on the same vertical plane. O is at Y's 12 o'clock. B and C are side by side with B on the top and C at the bottom. H is north east of Q. O is over there and B is on the top of it. H is at the 9 o'clock position relative to F.,What is the relation of the agent O to the agent C?,overlap,upper-right,upper-right
99,"Q is to the right and above V at an angle of about 45 degrees. N is at the bottom and Q is on the top. I and Y are parallel, and I is to the right of Y. B is at the bottom of N and is on the same vertical plane. B is on the lower right of Y. The object D is positioned above and to the left of object I.",What is the relation of the agent V to the agent I?,right,lower-right,lower-right
