ID,Story,Question,Label,ollama/openchat,ollama/mistral
87,D is to the right of O horizontally. Y is there and T is at the 10 position of a clock face. I and T are in a vertical line with T below I. M is sitting at the lower right position to Y. The object I is positioned below and to the right of the object O.,What is the relation of the agent M to the agent I?,lower-right,upper-right,lower-left
88,N is over there with I below. G is placed at the upper right of N. V is positioned above B. Y presents over B. G is below and to the right of Y.,What is the relation of the agent N to the agent G?,lower-left,above,above
89,"P is there and O is at the 5 position of a clock face. If D is the center of a clock face, R is located between 7 and 8. Z is diagonally right and below D. Z and I are next to each other with Z on the left and I on the right. I is diagonally below P to the right at a 45 degree angle.",What is the relation of the agent I to the agent P?,lower-right,upper-right,upper-left
90,"R is sitting at the lower left position to T. S and I are parallel, and S is to the left of I. P is upper left of R. Object T is above object B and to the left of it, too. B is diagonally to the upper left of S.",What is the relation of the agent I to the agent P?,lower-right,right,upper-left
91,E and Q are both there with the object E is to the left of object Q. A and R are side by side with R at the bottom and A on the top. Q is positioned down and to the left of S. S is to the top right of G. G is sitting in the right direction of A.,What is the relation of the agent S to the agent R?,upper-right,upper-left,above
92,F is sitting in the left direction of G. U is to the right and above F at an angle of about 45 degrees. A is sitting at the upper right position to J. K and A are side by side with K on the top and A at the bottom. U is on the left and J is on the right.,What is the relation of the agent G to the agent A?,below,upper-left,left
93,"If T is the center of a clock face, S is located between 7 and 8. V is placed at the lower left of S. P is on the same horizontal plane directly right to A. B is above P at 10 o'clock. A is directly above T.",What is the relation of the agent S to the agent A?,lower-left,upper-left,upper-left
94,C is to the right of G with a small gap between them. C is over there and P is directly above it. Y is placed at the lower right of G. Y is directly below E. W is diagonally above P to the left at a 45 degree angle.,What is the relation of the agent G to the agent C?,left,right,right
95,"V is at the bottom and C is on the top. M is upper left of Y. If D is the center of a clock face, M is located between 10 and 11. D is on the top side to V. U and C are parallel, and C is below U.",What is the relation of the agent V to the agent M?,lower-right,upper-left,above
96,"S is sitting at the 9:00 position of K. S is under U. The object J is positioned directly above the object X. N is at a 45 degree angle to X, in the lower lefthand corner. U is on top of J.",What is the relation of the agent U to the agent J?,above,above,above
97,"If Y is the center of a clock face, B is located between 10 and 11. Y is positioned below N and to the left. E is sitting at the 9:00 position of W. E is placed on the top of B. L is on the left side of and below N.",What is the relation of the agent L to the agent Y?,lower-left,above,lower-left
98,A is to the bottom left of G. X is on the same horizontal plane directly right to U. M is positioned below Z and to the left. The object A is upper and slightly to the left of the object U. X is at the bottom of M.,What is the relation of the agent X to the agent Z?,right,right,lower-left
99,P is to the right of K. Q and P are vertical and Q is below P. Q and R are horizontal and Q is to the right of R. R is on the top and L is at the bottom. Z is at the bottom of K.,What is the relation of the agent Q to the agent P?,below,above,above
0,U is to the bottom right of A. A is south west of F. K is to the upper left of F. I is positioned left to T. U is above and to the left of I.,What is the relation of the agent U to the agent A?,lower-right,below,"above, left"
1,R is on the right side and below M. V is on the lower left of D. R is sitting at the 3:00 position to P. D is diagonally to the bottom right of M. V is on the top of I and is on the same vertical plane.,What is the relation of the agent D to the agent V?,upper-right,upper-right,lower-right
2,L and U are side by side with L to the left and U to the right. U is placed in the right direction of M. C is diagonally to the bottom right of L. G is directly below C. G and S are side by side with G to the right and S to the left.,What is the relation of the agent U to the agent C?,above,above,upper-right
3,Y is on the right side and top of D. J is sitting at the lower right position to V. V is placed at the upper left of D. Z is at Y's 12 o'clock. X and J are in a vertical line with J below X.,What is the relation of the agent Z to the agent V?,upper-right,above,above
4,E and B are next to each other with B on the right and E on the left. The object E and T are there. The object E is below and slightly to the right of the object T. G is to the right of F and is on the same horizontal plane. B is to the bottom-left of G. X is placed at the lower right of F.,What is the relation of the agent G to the agent F?,right,right,left
5,Z is at T's 6 o'clock. G and A are both there with the object A below the object G. D is over there and Z is on the right of it. V is to the bottom left of T. The objects A and V are over there. The object A is lower and slightly to the left of the object V.,What is the relation of the agent G to the agent D?,left,upper-right,above
6,E and Z are side by side with E to the right and Z to the left. B and C are in a vertical line with B on top. Y is above E at 2 o'clock. Z is sitting in the left direction of N. C is to the bottom-left of N.,What is the relation of the agent N to the agent C?,upper-right,below,below-left
7,C and G are in a horizontal line with C on the left. The object E is lower and slightly to the left of the object R. The object J is upper and slightly to the left of the object R. C presents upper right to T. J is to the top-right of G.,What is the relation of the agent T to the agent G?,lower-left,above,upper-left
8,M and I are next to each other with I on the right and M on the left. S is on the left side to T. S is placed at the lower left of I. D is below and to the left of M. Q is diagonally above D to the right at a 45 degree.,What is the relation of the agent S to the agent M?,below,upper-left,lower-left
9,"Z is positioned up and to the right of V. C is positioned left to M. O and Z are next to each other with O on the left and Z on the right. C and W are parallel, and C is over W. Object O is below object W and to the left of it, too.",What is the relation of the agent M to the agent V?,upper-right,above,above
10,"G is sitting at the upper right position to C. M and C are parallel, and M is to the right of C. S is directly south west of M. W is placed in the left direction of G. W is over there and E is on the right.",What is the relation of the agent W to the agent M?,upper-right,below,left
11,"Y is at the 6 o'clock position relative to S. Q and Y are side by side with Y at the bottom and Q on the top. The object S is positioned above and to the right of the object M. M is sitting at the upper right position to G. If G is the center of a clock face, P is located between 10 and 11.",What is the relation of the agent S to the agent G?,upper-right,upper-right,upper-right
12,"E is sitting at the upper right position to C. S is diagonally below C to the left at a 45 degree angle. If O is the center of a clock face, U is located between 4 and 5. T is over there and O is directly below it. T and S are next to each other with S at the bottom T on the top.",What is the relation of the agent C to the agent U?,above,upper-right,above
13,"S and U are next to each other with S on the top and U at the bottom. O is positioned up and to the right of W. If G is the center of a clock face, U is located between 10 and 11. The object G is upper and slightly to the right of the object W. Object S is above object M and to the left of it, too.",What is the relation of the agent G to the agent S?,lower-right,upper-right,upper-right
14,"V and R are parallel, and R is below V. U and R are next to each other with U on the left and R on the right. U is at L's 3 o'clock. I and V are horizontal and I is to the left of V. Y is to the left of I.",What is the relation of the agent V to the agent U?,upper-right,above,below
15,"L is sitting at the 6:00 position to G. I is at a 45 degree angle to L, in the upper lefthand corner. Z is to the left of M with a small gap between them. R is to the bottom-left of I. Z and R are horizontal and Z is to the right of R.",What is the relation of the agent L to the agent G?,below,above,below
16,J is slightly off center to the top left and S is slightly off center to the bottom right. W is positioned right to X. Z is diagonally to the bottom right of R. J is below and to the right of Z. R is on the right side and top of X.,What is the relation of the agent W to the agent R?,below,left,upper-left
17,B is to the left of M and is on the same horizontal plane. Q is directly north west of B. M and U are side by side with U at the bottom and M on the top. I is over there and A is directly below it. U is at the 3 o'clock position relative to A.,What is the relation of the agent I to the agent Q?,lower-right,upper-left,upper-left
18,B is positioned left to Z. F is below S and to the left of S. H and Z are in a vertical line with Z below H. B is sitting in the right direction of V. S is positioned in the front right corner of V.,What is the relation of the agent B to the agent F?,right,left,left
19,W is to the right of K with a small gap between them. I is lower left to N. W is diagonally below H to the left at a 45 degree angle. N is placed at the lower left of X. The object H is upper and slightly to the right of the object X.,What is the relation of the agent X to the agent I?,upper-right,above,lower-left
20,Z is to the right of M with a small gap between them. The object P and R are there. The object P is below and slightly to the right of the object R. M is directly above R. B is on the lower left of Z. P is at the bottom of H.,What is the relation of the agent H to the agent Z?,below,upper-left,upper-right
21,"Y is diagonally to the bottom left of R. The object G is upper and slightly to the left of the object B. M and Y are parallel, and M is to the left of Y. G is at the bottom of J vertically. R and B are parallel, and R on the left of B.",What is the relation of the agent G to the agent M?,upper-right,upper-left,upper-left
22,"Object R is above object U and to the right of it, too. G is diagonally to the upper left of B. X is at the lower side of B. D is at R__ 9 o'clock. G is positioned below U.",What is the relation of the agent B to the agent D?,lower-right,above,lower-left
23,V presents lower right to B. X is over there with O below. W is above B at 2 o'clock. V and H are vertical and V is above H. O is positioned below and to the right of W.,What is the relation of the agent H to the agent X?,lower-left,upper-right,lower-left
24,H is to the right and above Y at an angle of about 45 degrees. M is diagonally above J to the right at a 45 degree. Y is on top of X. The object R is upper and slightly to the left of the object J. X and R are side by side with X on the top and R at the bottom.,What is the relation of the agent J to the agent Y?,lower-right,above,above
25,L is directly south west of N. Q is over there and O is on the top of it. L is under F. N and H are horizontal and N is to the right of H. O is upper left of H.,What is the relation of the agent O to the agent Q?,above,above,above
26,"K and C are vertical and K is below C. If K is the center of a clock face, B is located between 10 and 11. W is directly north west of O. Z is positioned above O and to the right. W is there and B is at the 2 position of a clock face.",What is the relation of the agent C to the agent B?,right,upper-right,upper-left
27,U is to the left of Y horizontally. L is below and to the right of J. Y is placed on the top of S. G and L are in a horizontal line with G on the left. U is on the left side and above J.,What is the relation of the agent G to the agent U?,lower-right,right,above
28,P presents over T. E presents below S. G is over D. E is positioned in the lower right corner of P. T is positioned up and to the right of G.,What is the relation of the agent G to the agent S?,lower-left,above,above
29,S is diagonally right and above U. Q is at D's 3 o'clock. D is sitting at the top position to V. V and S are horizontal and V is to the left of S. U and F are side by side with F at the bottom and U on the top.,What is the relation of the agent D to the agent S?,upper-left,above,above
30,The object R is upper and slightly to the right of the object M. Q is diagonally above R to the left at a 45 degree angle. X is diagonally to the upper right of Q. Z is placed at the upper right of X. The object A is positioned below and to the right of the object M.,What is the relation of the agent R to the agent A?,above,above,above
31,The object V is lower and slightly to the left of the object W. U is to the right of V with a small gap between them. Y is to the left of W and below W at approximately a 45 degree angle. Y is below N at 4 o'clock. U is sitting in the left direction of H.,What is the relation of the agent N to the agent W?,left,upper-right,above
32,"If E is the center of a clock face, H is located between 4 and 5. E is diagonally right and above C. O is on top of Y. N is above C at 2 o'clock. H is to the upper left of O.",What is the relation of the agent C to the agent E?,lower-left,upper-right,diagonal-left
33,"If W is the center of a clock face, E is located between 2 and 3. T is on the left side of and below W. S is below T at 7 o'clock. J is at the 12 o'clock position relative to E. D is on the left and S is on the right.",What is the relation of the agent W to the agent J?,lower-left,upper-right,above
34,"Y is at a 45 degree angle to E, in the upper righthand corner. The object V is positioned directly above the object C. O is diagonally right and below T. O is over there with C above. T is lower left to Y.",What is the relation of the agent T to the agent Y?,lower-left,upper-left,lower-left
35,Q is to the bottom right of B. N is positioned below L. L is over Q. T is sitting at the lower position to C. T is at the bottom of B vertically.,What is the relation of the agent N to the agent T?,right,above,below
