Story,Question,Q_type,Candidate_Answers,Answer,Reasoning_type,llama8B_Base,lamma8B_CoT,llama8B_Visual
"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a medium black circe that is far to the right of a medium blue square. The medium blue square is near and to the right of a small yellow circle. Far above the blue square is a medium yellow triangle. Near above the medium triangle is a small blue circle. In B, there is a large blue square that is touching the right edge of B. There is a medium black triangle that is touching the left side of the blue square. Near and above the medium black triangle is a large blue circle. Near and above the large blue circle is a large yellow triangle. In C, there is a small yellow triangle near and to the right of a medium black circle. The yellow triangle is touching the right edge of C. Far to the left of the medium black circle is a small blue square.",What block has all of the large objects inside?,FB,"A, B, C",B,['Quantifier'],B,B,B
"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a small yellow triangle far above a medium blue circle. The medium blue circle is near and above a small black square. There is a large black triangle near and to the right of the medium blue circle. In B, there is a small blue square far below a small black triangle. There is a large blue circle far to the left of the small blue square. In C, there is a small black circle far to the left of a medium black circle. The medium black circle is near and to the left of the medium black triangle.","What object is far above the small blue thing, the large blue circle or the small black triangle? the large blue circle  or  the small black triangle ?",CO," the large blue circle ,  the small black triangle , both of them, none of them", the small black triangle ,"['Symmetry', ' Converse']",the small black triangle,the small black triangle,the small black triangle
"I see three blocks. The first block is (A) has two big and medium green triangles. The medium one is above the big one. Below and to the left of these two triangles, there is a midsize green circle. below the first block the other blocks exist, block B and C. Block C is to the right of the block B. Block B has medium white rectangle and circle to the right of a medium green triangle. The rectangle is above the circle. Block C has a huge red rectangle touching bottom and right edge, a little white circle touching the top edge and a midsize red circle touching the left edge of the block.",What is the relation between the white object above a red square and the white object above another white object?,FR,"left, right, above, below, near to, far from, touching, DK",right,,above,above,Above.
"There is a block called A. In A there is a red triangle Which is above a black circle. The black circle is touching the bottom of A. A yellow square is touching the top edge of A and below that there is a red oval is touching the right edge of A. There is a second block call B Which is to the left of A. Inside B there are 3 squares, a brown one, a green one, and a red one. The green square is above the red square and touching the left edge of B. The brown square is touching both the bottom edge and the right edge of B. The red square is touching the left edge of the brown square.",Is the red square above the green square?,YN,"Yes, No, DK",No,['Symmetry'],No,No,No
"There is a block called A. In A, there is a medium yellow square that is touching the left side of a medium black circle. There is also a medium blue circle near and above the medium yellow square. There is a block called B, Which is to the right of A. In B, there is a small yellow square far above a small black square. There is another block called C, Which is to the right of B. In C, there is a large blue triangle that is below a medium blue square. There is a medium black circle near and to the right of the medium blue square. To the right of the black circle there is a large black triangle.",What block has all medium sized objects inside?,FB,"A, B, C",A,['Quantifier'],A,A,A
"There is a block called A. In A, there is a large blue square near and below a medium blue triangle. Far to the left of the medium blue triangle is a small yellow square. Far above the medium blue triangle is a small blue triangle. There is another block called B, which is to the right of A. In B, There is a small yellow circle touching the left edge of B. Far to the right of the circle is a large yellow square. Near and above the large square is a small yellow square. There is another block called C, which is to the right of B. In C, there is a small blue circle near and to the left of a large yellow triangle. The large yellow triangle is near and to the left of a large blue triangle. The large blue triangle is far above a large blue circle. The large blue circle is touching the bottom edge of C.","What object is not near the large yellow thing in B, the small yellow square or the small yellow circle? the small yellow square  or  the small yellow circle ?",CO," the small yellow square ,  the small yellow circle , both of them, none of them", the small yellow circle ,"['Negation', ' Symmetry']",the small yellow circle,the small yellow circle,the small yellow square
"I see three blocks. The first block is (A) has two big and medium green triangles. The medium one is above the big one. Below and to the left of these two triangles, there is a midsize green circle. below the first block the other blocks exist, block B and C. Block C is to the right of the block B. Block B has medium white rectangle and circle to the right of a medium green triangle. The rectangle is above the circle. Block C has a huge red rectangle touching bottom and right edge, a little white circle touching the top edge and a midsize red circle touching the left edge of the block.",Which block doesn't have a circle to the right of a green triangle?,FB,"A, B, C",A,,A,A,B
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a small black triangle near and ot the left of a large blue circle. The large blue circle is near and to the left of a small blue circle. The small blue square is far below a medium yellow square. In B, there is a small yellow circle. In C, there is a medium black triangle that is near and to the left of a small yellow circle. The small yellow circle is near and to the left of a blue triangle. There is a large yellow square touching the bottom of the small yellow circle. Near and below the large yellow square is a large black square.",What block has all medium squares inside of it?,FB,"A, B, C",A,['Quantifier'],B,B,B
There is a block. We called it A. It has four medium squares. Two of them are yellow and two of them are blue. one of the blue square is touching the bottom edge of this block. The other bue square is on it. Then the yellow squares are on the second blue square. we have another block called B. block A is on this block. block B has two black square up on each other.,Which block has a square below a blue square?,FB,"A, B","A,  B","['Lists/Sets', ' Converse']",A,A,A
"There are three blocks called A, B, and C. A is on top of B and B is on top of C. In A there are 3 circles: a small red one, a green one, and a big blue one. The small red and green circles are above the big blue circle. The big blue circle is touching the bottom edge of A, and the green circle is touching the top edge of A. In B there is a orange triangle, Which is above a purple rectangle. The purple rectangle is touching the bottom edge of B. In C, there are 3 squares, a small white one, a small black one, and a large yellow one. The small white square is touching the left edge of C, while the small black square is touching the right edge of C. The large yellow square is adjacent to the white square, and is touching the bottom edge of C.",What object is not above the purple rectangle? the orange triangle or  the white square?,CO," the orange triangle,  the white square, both of them, none of them", the white square,['Negation'],The orange triangle.,the white square,the orange triangle
"There is a block called A. In A, there are four blue circles: two small ones, a medium one, and a large one. The two small circles are below the large circle. The medium circle is far above and to the left of the large circle. There is another block called B, Which is to the right of A. In B, there is a blue triangle near the right edge of B. There is another block called C, Which is to the right of B. In C, there is a yellow circle, a large yellow triangle, and a black square. The yellow circle is near and to the left of the yellow triangle. The black square is to the right and below the yellow triangle.",What object is above the black thing? the yellow triangle  or  the blue triangle?,CO," the yellow triangle ,  the blue triangle, both of them, none of them", the yellow triangle ,['Converse'],the yellow triangle,the yellow triangle,the yellow triangle
"There are two blocks called A and B. A is to the right of B. In A, there is a blue triangle, Which is above a orange rectangle, Which is above a black circle. The black circle is touching the bottom of A. In B there are four squares. A yellow square is above a white square and to the left of a green square. A large purple square is touching the bottom of B and is to the left and near of the white square. The green square is on top of the purple square.",Is orange thing to the right of the white thing?,YN,"Yes, No, DK",No,['Lists/Sets'],No,No,No
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a small black triangle near and ot the left of a large blue circle. The large blue circle is near and to the left of a small blue circle. The small blue square is far below a medium yellow square. In B, there is a small yellow circle. In C, there is a medium black triangle that is near and to the left of a small yellow circle. The small yellow circle is near and to the left of a blue triangle. There is a large yellow square touching the bottom of the small yellow circle. Near and below the large yellow square is a large black square.","What object is not near the small black thing, the medium yellow square or the large blue circle? the medium yellow square  or  the large blue circle ?",CO," the medium yellow square ,  the large blue circle , both of them, none of them", the medium yellow square ,"['Transitivity', ' Symmetry']",the medium yellow square,the medium yellow square,the medium yellow square
"There is a block called A. In A there is a red triangle Which is above a black circle. The black circle is touching the bottom of A. A yellow square is touching the top edge of A and below that there is a red oval is touching the right edge of A. There is a second block call B Which is to the left of A. Inside B there are 3 squares, a brown one, a green one, and a red one. The green square is above the red square and touching the left edge of B. The brown square is touching both the bottom edge and the right edge of B. The red square is touching the left edge of the brown square.",Are all of the squares in B?,YN,"Yes, No, DK",No,['Quantifier'],Yes,Yes,Yes
"There are three blocks called A, B, and C. A, is to the left of B and B is to the left of C. In A, there is a small yellow square far to the left of a medium yellow triangle. There is a large blue square far above the medium yellow triangle. There is a small blue triangle near and above the large blue square. In B, there is a small yellow triangle near and to the left of a medium yellow triangle. Far below the medium yellow triangle is a medium black circle. In C, there is a medium yellow circle near and above a large yellow square. The yellow square is far above a large black circle. There is a small blue triangle near and to the right of the large yellow square.",What block does not have any blue objects inside of it?,FB,"A, B",B,"['Negation', ' Quantifier']",B,B,B
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a medium yellow circle near and above a medium blue circle. There is also a large black square near and below the medium blue circle. In B, there is a medium yellow triangle near and to the left of a small blue triangle. The small blue triangle is above a medium blue triangle. The medium blue triangle is to the right of the medium yellow triangle and above a large black circle. In C, there is a medium black triangle that is near and to the left of a large blue triangle. There is a large black square near and to the right of large blue triangle.",Is the small blue thing near and to the right of the medium yellow thing?,YN,"Yes, No, DK",Yes,"['Symmetry', ' Converse']",No,No,No
"There is a block called A. In A, there are four circles that are touching the bottom of A. The red circle is touching and to the left of the yellow circle. The pink circle is touching and to the right of the green circle. The yellow circle is touching and to the left of the green circle. Touching the bottom of A is a block called B. In B, there is a blue rectangle touching the top and the left of B. Near and to the right of the blue rectangle is a purple rectangle that is also touching the top of B. At the bottom of B there is a white triangle. Far to the left of B there is a block called C. In C, there is a brown oval that is to the right of an  orange square.",Is B near C?,YN,"Yes, No, DK",No,['Symmetry'],Yes,No,Yes
"There is a block called A. In A there is a small black circle. There is another block called B, Which is to the right of A. In B, there are four yellow squares, three medium ones and a small one. The medium squares are above each other with the top one touching the right edge of B and the bottom one touching the bottom of B. The small yellow square is near and to the left of the bottom medium square There is also a small black square near to the left of the small yellow square. There is another block called C, Which is to the right of B. In C, there is a yellow triangle Which is far to the right of a yellow square.",Is the thing that touches the bottom of B to the left of a small yellow thing?,YN,"Yes, No, DK",Yes,['Converse'],Yes,Yes,Yes
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a large yellow square that is near and to the left of a small yellow square. Below the small square is a medium yellow circle. In B, there is a small black triangle that is to the left of a large black square. Far below the black square is a small blue circle. In C, there is a medium blue triangle.",What block has all of the black objects inside of it?,FB,"A, B, C",B,['Quantifier'],B,B,B
"There are three blocks A, B and C. A blue triangle is touching the right edge of block A. Block B has four objects. There is a medium black square at the top of this block. There is a big blue square at the top of this block and near to the medium square. Two big black circles are below these objects. one of the circles is touching the bottom edge of its block. block C is above A and block B is above it. Three medium blue triangles and two squares are in this block. the squares are below all triangles. two of the triangles and one of the squares are to the left of the  other square.",where is the triangle in block A regarding to a circle in block B?,FR,"left, right, above, below, near to, far from, touching, DK",below,,right,right,Right
"There are three blocks called A, B, and C. In A, there is a pink circle Which is near and to the left of a yellow square. B is to the left and far from A. In B, there is a red rectangle touching both the left edge of B and the left edge of a green triangle. The green triangle is touching the bottom of B. There is also a white circle to the right of the green triangle. C is below both A and B. In C, there is a blue oval that is on top of a black rectangle. The black rectangle is touching the bottom of C.",What block has no circles inside?,FB,"A, B, C",C,['Negation'],C,C,B
There is a block. We called it A. It has four medium squares. Two of them are yellow and two of them are blue. one of the blue square is touching the bottom edge of this block. The other bue square is on it. Then the yellow squares are on the second blue square. we have another block called B. block A is on this block. block B has two black square up on each other.,Which blocks have a square below and above another square?,FB,"A, B","A,  B","['Lists/Sets', ' Transitivity']",Block B,Block B.,B
"There are three blocks A, B, and C. Block A has a medium yellow square to the left of a small blue triangle. Block B is to the right of block A. It has two small blue squares. The square number one is touching the right edge of this block and the square number two is above the square number one. Block C is below block A. It has a big black triangle above a small black triangle. The big black triangle is to the right of a small yellow square. A small yellow triangle is below and to the left of the small black triangle.",What is the relation between the small blue number one in bock B and the small yellow square?,FR,"left, right, above, below, near to, far from, touching, DK",DK,,touching,DK,DK
We have one block called A. there is a big blue circle touching bottom edge and a small blue triangle touching the top edge and another small blue triangle touching right edge of this block. There is a big yellow square above the big circle and below small triangle number one. It is to the left of small triangle number two. This block also has a small yellow and a small black triangles. Both of them are above the big circle and below the big square.,Where is the big square regarding to the object which is below a black object?,FR,"left, right, above, below, near to, far from, touching, DK",above,['Transitivity'],Above,Above,Above
"There is a block called A. In A, there is a medium blue square that is to the left of a small blue triangle. There is also a large blue triangle far above the small blue triangle. There is another block called B, Which is to the right of A. In B, there is a large yellow circle. There is another block called C, Which is to the right of B. In B, there is a medium yellow circle far below a small black square. There is also a large yellow square near and above the small black square . There is a medium yellow square that is far to the right of the medium yellow circle, and there is a small yellow square above the medium yellow square.",What object is not near the medium yellow square? the medium yellow circle  or  the small black square ?,CO," the medium yellow circle ,  the small black square , both of them, none of them",none of them,"['Symmetry', ' Negation']",the medium yellow circle,the medium yellow circle,the medium yellow circle
"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a medium black circle that is near and to the right of a medium black square. The square is near and below a medium yellow triangle. In B, there is a large triangle to the right of a medium yellow circle. A small yellow square is below the yellow circle and a medium black triangle is below the small yellow square. In C, there is a small black circle far above a medium black square. The square is to the left of a medium black circle.",What block does not have a yellow thing inside of it?,FB,"A, B, C",C,['Negation'],C,C,C
"There are three blue shapes in a block that we called A. Two medium blue squares are below a big blue square. First medium blue square is to the left of the other medium one which is touching the bottom edge of block A. There is another block below the block A we call it B. A big blue triangle is touching the top edge of this block which is above a small black triangle, a big blue circle and a medium blue triangle. The medium triangle is touching the bottom edge of the block. The circle is below and to the left of the small triangle. It is above the medium triangle.",What is the relation between the big triangle and the medium triangle?,FR,"left, right, above, below, near to, far from, touching, DK","above, far from",,touching,Above,Above
"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a medium black circle that is near and to the right of a medium black square. The square is near and below a medium yellow triangle. In B, there is a large triangle to the right of a medium yellow circle. A small yellow square is below the yellow circle and a medium black triangle is below the small yellow square. In C, there is a small black circle far above a medium black square. The square is to the left of a medium black circle.",Is the medium black square in A near the other medium black thing,YN,"Yes, No, DK",Yes,['Symmetry'],Yes,Yes,Yes
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a medium blue square near and to the left of a medium black triangle. The medium black triangle is near and below a medium yellow square. In B, there is a small blue square far to the left of a large black circle. There is a medium yellow circle far above the black circle. In C, there is a large yellow square",Is the large black thing far to the right of the small blue thing?,YN,"Yes, No, DK",Yes,"['Symmetry', ' Converse']",No,No,No
There is a block called A. It has a big blue circle and a red square. The big blue circle is below the red square. There is another block called B Which is above block A. There are a small blue circle and a yellow square in this block. The small blue circle is to the left of the yellow square.,Where is the circle left to a square regarding to a circle below a square?,FR,"left, right, above, below, near to, far from, touching, DK",above,"['Lists/Sets', ' Converse']",left,left,left
"There are three blocks named A, B, and C. A is to the right of B and B is to the right of C. In A, there is a small yellow triangle that is near and to the left of a medium yellow circle. In B, there is a medium black circle Which is above a large blue triangle. The large triangle is above and near a small blue circle. There is also a large black circle far below the small blue circle. In C, there is a medium blue circle.",Is the medium yellow thing to the right of the small yellow thing?,YN,"Yes, No, DK",Yes,['Converse'],Yes,Yes,Yes
"We have three blocks A, B, and C. Block B is to the right of block A and C and also is above block C. Block A is above block C. Block A has a big blue square above a big blue triangle. Block B has a big black circle to the left of a medium black triangle which is above and to the left of a medium yellow square. Block C has a medium yellow circle touching the top edge of the block and a big black circle touvhing the bottom edge of the block. Above the big circle there is a medium blue triangle which is below and to the left of a big blue triangle.",What is the relation between the big circle below another circle and the big blue triangle below another big blue triangle?,FR,"left, right, above, below, near to, far from, touching, DK",below,,touching,Above.,touching
"There are three blocks called A, B, and C. A is to the left of B Which is to the left of C. In A, there is a large black triangle near and above a large black square. To the right of the black triangle is a large blue triangle. In B, there is a medium yellow square near and below a small blue circle. In C, there is a small blue square far above a small yellow square. There is a small blue circle to the right of the small yellow square. There is a medium yellow circle near and to the right of the small blue circle. There is also a medium blue circle below the medium yellow circle.",What object is not near the medium yellow thing in C? the large black triangle  or  the large blue triangle ?,CO," the large black triangle ,  the large blue triangle , both of them, none of them",both of them,['Negation'],the large black triangle,the large black triangle,the large black triangle
"There are three blocks named A, B, and C. B is to the right of A and C is to the right of B. In A there is a large black square that is touching left edge of A. In B, there is a large blue square Which is near and to the right of a large blue triangle. Far below the triangle there is a large yellow circle. The large yellow circle is touching the bottom of B. In C, there is a small blue circle that is to the right of a small black triangle.",What block has all small objects?,FB,"A, B, C",C,['Quantifier'],C,C,C
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A there is a large yellow triangle touching the bottom edge of A. In B, there is a small blue triangle far above a medium black circle. The medium black circle is near and above a medium yellow triangle. There is a small yellow circle near and to the left of the medium black circle. In C, there is a large black square touching the bottome edge of C. Near and to the left of the square is a medium blue square. The medium blue square is near and below a large black triangle.","What object is to the right of the medium black thing, the small yellow circle or the large black square? the small yellow circle  or  the large black square ?",CO," the small yellow circle ,  the large black square , both of them, none of them", the large black square ,"['Lists/Sets', ' Converse']",the large black square,the large black square,the large black square
"There is a block called A which has a medium yellow triangle. To the right of the block A, there is a block called B. It has three circles and a small black triangle. Two of the circles are medium blue which one of them touching the top edge of the block and the other is touching the bottom and left edge of the block B. Anothe circle is big and black which the small black triangle is below and tp the left of it. There is another block C which is to the left of the block A. it has a small black square that is touching the bottom edge of the block and a medium blue circle.",What is the relation between the blue circle which is touching the top edge of block B and the small square?,FR,"left, right, above, below, near to, far from, touching, DK",right,,DK,Below,Not near to.
"We have three blocks A, B, and C. Block B is to the right of block A and C and also is above block C. Block A is above block C. Block A has a big blue square above a big blue triangle. Block B has a big black circle to the left of a medium black triangle which is above and to the left of a medium yellow square. Block C has a medium yellow circle touching the top edge of the block and a big black circle touvhing the bottom edge of the block. Above the big circle there is a medium blue triangle which is below and to the left of a big blue triangle.",What is the relation between the yellow circle and the big circle in block C?,FR,"left, right, above, below, near to, far from, touching, DK",above,,touching,touching,touching
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A there is a large blue circle that is far above and to the right of a medium blue square. In B, there is a large black square that is near and to the left of a small yellow square. There is a medium black square to the right of the small yellow square. The medium square is above a black triangle. In C, there is a small blue square.",What object to the right of the large black thing? the medium black square  or  the medium blue square?,CO," the medium black square ,  the medium blue square, both of them, none of them", the medium black square ,['Transitivity'],the medium black square,the medium black square,the medium black square
"There are three blocks called A, B, and C. B is to the right of A and C is to the right of B. In A, there is a large yellow square near and below a small yellow square. The small yellow square is far to the left and below a large blue triangle. In B, there is a medium blue circle far to the left and above a small black circle. The small black circle is near to the left of a large blue circle.  In C, there is a large yellow square near and to the left of a large black circle. The black circle is near and to the left of a large blue triangle.",Is the large yellow thing in A to the right of a small yellow thing?,YN,"Yes, No, DK",DK,['No Data'],Yes,Yes,Yes
"There are three blocks A, B, and C. Block A has a medium yellow square to the left of a small blue triangle. Block B is to the right of block A. It has two small blue squares. The square number one is touching the right edge of this block and the square number two is above the square number one. Block C is below block A. It has a big black triangle above a small black triangle. The big black triangle is to the right of a small yellow square. A small yellow triangle is below and to the left of the small black triangle.",Which block has a small blue object to the left of another small blue object?,FB,"A, B, C",B,,B,B,B
"There exist a big red square, a big red triangle, a medium red square, and a small green circle in a block called A. The triangle and medium square are touching the bottom edge of the block. The big and medium square are touching the right edge of the block. And the circle is above the big square which is above the medium square. There is another block called B to the left of block A. A medium green square is touching the left edge of block B and is below a medium red square. The medium red square is above and to the left of a small green square. Also a medium red triangle is below and to the left of the small square.",What is the relation between the red square above a green object and a red triangle to the left of a green object?,FR,"left, right, above, below, near to, far from, touching, DK",above,,"Above, left",Above and left.,Above and left
There are two blocks A and B. Block A has two medium yellow circle and a medium yellow triangle. The medium circle number one is to the right of the yellow triangle which is to the right of the medium circle number two. This block also has a medium black triangle touching the bottom edge of it. Block B is to the right of the block A. It has two medium yellow circle and a medium black triangle. It also has a big blue square above the medium yellow circle number one. The medium triangle is to the left of the medium circle number one and to the right of the medium circle number two. The big square is to the right of the triangle.,Which block has a triangle below another triangle?,FB,"A, B",A,,A,A,Block A
"We have three blocks A, B, and C. Block B is to the right of block A and C and also is above block C. Block A is above block C. Block A has a big blue square above a big blue triangle. Block B has a big black circle to the left of a medium black triangle which is above and to the left of a medium yellow square. Block C has a medium yellow circle touching the top edge of the block and a big black circle touvhing the bottom edge of the block. Above the big circle there is a medium blue triangle which is below and to the left of a big blue triangle.",Which object is above a medium circle? a big circle  or  a medium triangle?,CO," a big circle ,  a medium triangle, both of them, none of them",both of them,,a big circle,a big circle,a medium triangle
"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a small yellow triangle far above a medium blue circle. The medium blue circle is near and above a small black square. There is a large black triangle near and to the right of the medium blue circle. In B, there is a small blue square far below a small black triangle. There is a large blue circle far to the left of the small blue square. In C, there is a small black circle far to the left of a medium black circle. The medium black circle is near and to the left of the medium black triangle.",What is the relation between the medium black triangle and the medium black circle?,FR,"left, right, above, below, near to, far from, touching, DK","right, near to","['Symmetry', ' Converse']",near to,near to,near to
"There are two blocks called A and B. A is to the right of B. In A, there is a blue triangle, Which is above a orange rectangle, Which is above a black circle. The black circle is touching the bottom of A. In B there are four squares. A yellow square is above a white square and to the left of a green square. A large purple square is touching the bottom of B and is to the left and near of the white square. The green square is on top of the purple square.",Is the green thing to the right of a yellow object?,YN,"Yes, No, DK",Yes,['Converse'],Yes,Yes,Yes
"There is a block named A. In A, there is a pink triangle that touches the bottom of A. There is also a white triangle that touches the left edge of A, a red triangle that touches the top of A, and a green triangle that touches the right edge of A. Below A there is a block called B. In B, there is a small square, a large square, and a yellow circle. The large square is to the right of and near the yellow circle. The yellow circe is to the right of and above the small square. Below B there is a blocked named C. In C, there is a brown oval that is on top of a blue rectangle.",Is A above C?,YN,"Yes, No, DK",Yes,['Transitivity'],No,No,Yes
"I see three blocks. The first block is (A) has two big and medium green triangles. The medium one is above the big one. Below and to the left of these two triangles, there is a midsize green circle. below the first block the other blocks exist, block B and C. Block C is to the right of the block B. Block B has medium white rectangle and circle to the right of a medium green triangle. The rectangle is above the circle. Block C has a huge red rectangle touching bottom and right edge, a little white circle touching the top edge and a midsize red circle touching the left edge of the block.",What is the relation between the red circle and red rectangle?,FR,"left, right, above, below, near to, far from, touching, DK","left, far from",,touching,touching,touching
"There are three blocks called A, B and C. B is to the left of A and C is to the left of B. In A, there is a large blue triangle that is near and to the right of a medium yellow circle. There is also a large black square near and to the left of the medium yellow circle. In B, there is a medium yellow triangle that is near and above a large black square. Near and below the black square is a medium blue circle. In C, there is a small blue triangle to the right of a small black triangle. Near and to the left of the of the small black triangle is a large blue triangle.",Is the large blue thing in A to the left of the large black thing?,YN,"Yes, No, DK",No,"['Transitivity', ' Converse']",Yes,Yes,Yes
"There is a block called A. In A there is a small blue circle. There is another block called B Which is to the right of A. In B, there is a large yellow square, Which is near and to the left of a small yellow square. Above both squares there is a black triangle. To the right of B there is a block called C. In C, there is a black square that is to the right and far from a yellow triangle.",where is the object in block A regarding to the yellow triangle Which is to the right of a black shape?,FR,"left, right, above, below, near to, far from, touching, DK",left,['transitivity'],DK,DK,DK
"There is a block called A. In A there is a red triangle Which is above a black circle. The black circle is touching the bottom of A. A yellow square is touching the top edge of A and below that there is a red oval is touching the right edge of A. There is a second block call B Which is to the left of A. Inside B there are 3 squares, a brown one, a green one, and a red one. The green square is above the red square and touching the left edge of B. The brown square is touching both the bottom edge and the right edge of B. The red square is touching the left edge of the brown square.",Which block has only squares inside?,FB,"A, B",B,['Quantifier'],B,B,B
