Unnamed: 0,Story,Question,Q_type,Candidate_Answers,Answer,Reasoning_type,ollama/gemma:2b_Base,ollama/phi3:mini_Base,ollama/qwen:4b_Base,ollama/openchat_Base,ollama/mistral_Base,ollama/llama3_Base,llama70B_Base,llama70B_Visual
212,"There are two blocks called A and B. A is to the right of B. In A, there is a blue triangle, Which is above a orange rectangle, Which is above a black circle. The black circle is touching the bottom of A. In B there are four squares. A yellow square is above a white square and to the left of a green square. A large purple square is touching the bottom of B and is to the left and near of the white square. The green square is on top of the purple square.",Is the green thing to the right of a yellow object?,YN,"Yes, No, DK",Yes,['Converse'],"Yes, the green thing is to the right of a yellow object.",No,Yes.,Yes,Yes,Yes,Yes,Yes
259,There is a block. We called it A. It has four medium squares. Two of them are yellow and two of them are blue. one of the blue square is touching the bottom edge of this block. The other bue square is on it. Then the yellow squares are on the second blue square. we have another block called B. block A is on this block. block B has two black square up on each other.,Is there any square below all other squares?,YN,"Yes, No, DK",Yes,"['Lists/Sets', ' Transitivity']","No, the answer is No.

The context describes the position of the squares on the blocks, but it does not specify any squares below the other squares.",No,Yes.,Yes,Yes (one of the blue squares),Yes,Yes,Yes
210,"There is a block called A. In A there is a red triangle Which is above a black circle. The black circle is touching the bottom of A. A yellow square is touching the top edge of A and below that there is a red oval is touching the right edge of A. There is a second block call B Which is to the left of A. Inside B there are 3 squares, a brown one, a green one, and a red one. The green square is above the red square and touching the left edge of B. The brown square is touching both the bottom edge and the right edge of B. The red square is touching the left edge of the brown square.",Which block has only squares inside?,FB,"A, B",B,['Quantifier'],"The answer is B.

The black circle is touching the bottom of A and above that there is a red oval is touching the right edge of A. So, B has only squares inside.",2,B,B,B,B,B,B
152,"There exist a big red square, a big red triangle, a medium red square, and a small green circle in a block called A. The triangle and medium square are touching the bottom edge of the block. The big and medium square are touching the right edge of the block. And the circle is above the big square which is above the medium square. There is another block called B to the left of block A. A medium green square is touching the left edge of block B and is below a medium red square. The medium red square is above and to the left of a small green square. Also a medium red triangle is below and to the left of the small square.",What is the relation between a square touching the left edge of a block and a square touching the bottom edge of a block?,FR,"left, right, above, below, near to, far from, touching, DK",left,,"The answer is ""touching"".

The square touching the left edge of a block is touching the bottom edge of a block.",Below,left,"above, below",Touching,touching,above,above
46,"I see three blocks. The first block is (A) has two big and medium green triangles. The medium one is above the big one. Below and to the left of these two triangles, there is a midsize green circle. below the first block the other blocks exist, block B and C. Block C is to the right of the block B. Block B has medium white rectangle and circle to the right of a medium green triangle. The rectangle is above the circle. Block C has a huge red rectangle touching bottom and right edge, a little white circle touching the top edge and a midsize red circle touching the left edge of the block.",Which block doesn't have a circle to the right of a green triangle?,FB,"A, B, C",A,,"The correct answer is B.

The medium green triangle is above the big green triangle, and the rectangle in block B is above the circle. Therefore, block B doesn't have a circle to the right of a green triangle.",Block B,C,B,B,A,A,A
54,"There are three blocks A, B, and C. Block A is below blocks B and C. It has three circles. The fist circle is big and yellow which is touching the bottom edge of this block. Another is medium and blue which is to the right of the big yellow circle and below and to the right of the medium yellow circle. Block B has a medium yellow circle and a medium black square which are touhing the right edge of this block. there is amedium blue circle to the left of the yellow and black objects in this block. Block C is to the right of the block B. It has a big yellow square that is touching the right edge of the block. It is above a big blue triangle. To the right of the big blue triangle there is a small black circle.",Where is the blue circle in block B regarding to the blue circle which is above a yellow circle?,FR,"left, right, above, below, near to, far from, touching, DK",above,,"The blue circle in block B is above the yellow circle.

The output is 5.",Right,left,left,Left,left,left,left
228,"There is a block called A. In A, there is a medium yellow square that is touching the left side of a medium black circle. There is also a medium blue circle near and above the medium yellow square. There is a block called B, Which is to the right of A. In B, there is a small yellow square far above a small black square. There is another block called C, Which is to the right of B. In C, there is a large blue triangle that is below a medium blue square. There is a medium black circle near and to the right of the medium blue square. To the right of the black circle there is a large black triangle.",What block has all medium sized objects inside?,FB,"A, B, C",A,['Quantifier'],"The answer is A.

The medium yellow square is touching the left side of a medium black circle, which is in turn touching the medium blue circle. Therefore, the medium yellow square is inside all the other blocks.",Block A,A,A,A,A,A,A
186,There are two blocks A and B. Block A has two medium yellow circle and a medium yellow triangle. The medium circle number one is to the right of the yellow triangle which is to the right of the medium circle number two. This block also has a medium black triangle touching the bottom edge of it. Block B is to the right of the block A. It has two medium yellow circle and a medium black triangle. It also has a big blue square above the medium yellow circle number one. The medium triangle is to the left of the medium circle number one and to the right of the medium circle number two. The big square is to the right of the triangle.,Is the medium black trinagle in block A below all yellow objects in block A?,YN,"Yes, No, DK",Yes,,"No, the answer is No.

The context describes the relative positions of the blocks and the objects within them. The medium black triangle is not located in the same position as the medium yellow circle number one or the medium yellow triangle number two.",No,Yes.,No,Yes,Yes,Yes,Yes
219,"There are three blocks called A, B, and C. A, is to the left of B and B is to the left of C. In A, there is a small yellow square far to the left of a medium yellow triangle. There is a large blue square far above the medium yellow triangle. There is a small blue triangle near and above the large blue square. In B, there is a small yellow triangle near and to the left of a medium yellow triangle. Far below the medium yellow triangle is a medium black circle. In C, there is a medium yellow circle near and above a large yellow square. The yellow square is far above a large black circle. There is a small blue triangle near and to the right of the large yellow square.","What object is not to the left of the small yellow thing in A, the medium yellow triangle in A or the small yellow triangle? the medium yellow triangle in a  or  the small yellow triangle ?",CO," the medium yellow triangle in a ,  the small yellow triangle , both of them, none of them",both of them,"['Lists/Sets', ' Converse']",The medium yellow triangle is not to the left of the small yellow thing in A.,neither of them,the small yellow triangle,the small yellow triangle,None of them,the large blue square,both of them,the small yellow triangle
282,"There are three blocks called A, B, and C. B is to the left of A and C is to the left of B. In A, there is a medium blue square near and to the right of a large yellow square. The large yellow square is far to the right of a small blue circle. In B, there is a large black circle is near and above a large blue circle. Far below the blue circle is a large black square. In C, there is a small blue circle that is far below a large blue square.",Is the large yellow thing near and to the left of a medium blue thing?,YN,"Yes, No, DK",Yes,"['Symmetry', ' Converse']","Yes, the large yellow thing is near and to the left of a medium blue thing.",No,Yes.,No,Yes,No,No,No
109,"There is a block called A. In A there is a small black circle. There is another block called B, Which is to the right of A. In B, there are four yellow squares, three medium ones and a small one. The medium squares are above each other with the top one touching the right edge of B and the bottom one touching the bottom of B. The small yellow square is near and to the left of the bottom medium square There is also a small black square near to the left of the small yellow square. There is another block called C, Which is to the right of B. In C, there is a yellow triangle Which is far to the right of a yellow square.",Is the thing that touches the bottom of B to the left of a small yellow thing?,YN,"Yes, No, DK",Yes,['Converse'],Yes. The thing that touches the bottom of B to the left of a small yellow thing is the medium square.,No,Yes.,Yes,Yes,Yes,Yes,Yes
9,"There are three blocks named A, B, and C. A is to the left of B and B is to the left of C. In A, there is a small blue square Which is touching the right edge of A. A large blue square is to the left of the small square and is touching the bottom of A. In B, there is a small black triangle that is above and to the right of a black square. The black square is touching the bottom of B. In C, there is a small yellow square that is touching the right of C. There is also large yellow square that is below a blue triangle and above a small blue circle. To the left of the blue triangle there is a black circle.",What block does not have any black objects inside?,FB,"A, B, C",A,"['Negation', ' Quantifier']","The correct answer is C.

The context describes the positions of the blocks and the presence of black objects, but it does not specify which block does not have any black objects inside.",B,C,B,A,C,A,A
209,"There are two blocks called A and B. A is to the right of B. In A, there is a blue triangle, Which is above a orange rectangle, Which is above a black circle. The black circle is touching the bottom of A. In B there are four squares. A yellow square is above a white square and to the left of a green square. A large purple square is touching the bottom of B and is to the left and near of the white square. The green square is on top of the purple square.",Is orange thing to the right of the white thing?,YN,"Yes, No, DK",No,['Lists/Sets'],"Yes, the answer is Yes. The orange rectangle is to the right of the white square.",No,Yes.,Yes,Yes,No,Yes,Yes
112,"We have three blocks A, B, and C. Block C is below block A and B. Block A has a blue square which is touching the bottom edge of the block and a yellow square which is on top of the blue square. Block B has a yellow square touching the bottom edge of it. And block C has three squares. The first one is yellow and touching the bottom edge of the block. The second one is black and is on top of the yellow one and the third one is also black and on top of the second square.",What is the relation between all balck squares and the blue square?,FR,"left, right, above, below, near to, far from, touching, DK",below,,"The correct answer is ""touching"".

The blue square is touching the bottom edge of block C, which is a black square.",Below,above,touching,Touching,Below touching,below,below
272,"There are three blocks called A, B, and C. A is on top of B and B is on top of C. In A there are 3 circles: a small red one, a green one, and a big blue one. The small red and green circles are above the big blue circle. The big blue circle is touching the bottom edge of A, and the green circle is touching the top edge of A. In B there is a orange triangle, Which is above a purple rectangle. The purple rectangle is touching the bottom edge of B. In C, there are 3 squares, a small white one, a small black one, and a large yellow one. The small white square is touching the left edge of C, while the small black square is touching the right edge of C. The large yellow square is adjacent to the white square, and is touching the bottom edge of C.",Is a circle below a rectangle?,YN,"Yes, No, DK",No,['Symmetry'],"Yes. The output is 1. The context describes a situation where a circle is below a rectangle, which is consistent with the statement that a circle is below a rectangle.",No,Yes.,No,No,No,Yes,Yes
187,We have one block called A. there is a big blue circle touching bottom edge and a small blue triangle touching the top edge and another small blue triangle touching right edge of this block. There is a big yellow square above the big circle and below small triangle number one. It is to the left of small triangle number two. This block also has a small yellow and a small black triangles. Both of them are above the big circle and below the big square.,What is the relation between the black triangle and the blue triangle number two?,FR,"left, right, above, below, near to, far from, touching, DK",left,,"The answer is ""left"".

The black triangle and the blue triangle number two are located on the left edge of the block.",Below,left,DK,touching,right,right,left
207,"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a medium black triangle. In B, there is a small blue circle that is far below a medium yellow square. In C, there is a small yellow square near and above a small black triangle. The black triangle is near and to the right of a large black square. There is a medium blue triangle below the large black square.",What object is to the right of the small black thing? the medium yellow square or  the large black square?,CO," the medium yellow square,  the large black square, both of them, none of them", the medium yellow square,['Lists/Sets'],"The answer is the large black square.

The context describes the positions of the blocks and the objects within them, and the large black square is clearly visible in the context.",Both of them,the medium yellow square,the large black square,the medium yellow square,the large black square,the large black square,the large black square
127,"There is a block called A. In A, there is a large blue square near and below a medium blue triangle. Far to the left of the medium blue triangle is a small yellow square. Far above the medium blue triangle is a small blue triangle. There is another block called B, which is to the right of A. In B, There is a small yellow circle touching the left edge of B. Far to the right of the circle is a large yellow square. Near and above the large square is a small yellow square. There is another block called C, which is to the right of B. In C, there is a small blue circle near and to the left of a large yellow triangle. The large yellow triangle is near and to the left of a large blue triangle. The large blue triangle is far above a large blue circle. The large blue circle is touching the bottom edge of C.",Are the large blue things in C to the left of the large blue thing in A?,YN,"Yes, No, DK",No,"['Lists/Sets', ' Transitivity']",Yes. The large blue things in C are to the left of the large blue thing in A.,No,Yes.,No,Yes,No,Yes,Yes
92,"There is a block called A which has a medium yellow triangle. To the right of the block A, there is a block called B. It has three circles and a small black triangle. Two of the circles are medium blue which one of them touching the top edge of the block and the other is touching the bottom and left edge of the block B. Anothe circle is big and black which the small black triangle is below and tp the left of it. There is another block C which is to the left of the block A. it has a small black square that is touching the bottom edge of the block and a medium blue circle.",Is the small triangle below the circle which is touching the left edge of the block?,YN,"Yes, No, DK",No,,"Yes, the small triangle is below the circle which is touching the left edge of the block.",No,Yes.,No,Yes,Yes,Yes,Yes
200,"There is a block called A. In A, there is a medium yellow triangle near and above a large yellow triangle. The large yellow triangle is near and to the left of a large black triangle. There is a block called B, which is to the right of A. In B, there is a small yellow circle far above a large black triangle. The large black triangle is near and above a medium yellow triangle. There is a small blue triangle far to the right of the large black triangle. There is a block called C, which is to the right of B. In C, there is a medium black circle near and to the left of a medium blue square. The blue square is near and to the left of a large black square.",What block has all triangles insdie of it?,FB,"A, B, C",A,['Quantifier'],"The answer is A.

The block contains a medium yellow triangle, a large yellow triangle, and a small yellow circle. All of these triangles are inside the block.",A,A,B,A,A,B,B
208,"There are three blocks called A, B, and C. A is to the left of B, and B is to the left of C. In A, there is a large blue triangle to the left of and below a large black square. Far above the square is a large black circle. In B, there is a large blue circle near and below a small blue circle. The small blue circle is near and below a large yellow square. There is a medium blue square far to the left of the yellow square. In C, there is a large blue square.",What block does not have a circle inside of it?,FB,"A, B, C",C,"['Negation', ' Quantifier']","The answer is C.

The context describes the positions of the blocks and the circles, but it does not specify which block has a circle inside of it.",B,C,B,"A (Don't Know) - The information provided doesn't specify whether block A contains a circle or not. It only mentions a large black circle far above the square in A, which is not inside the block itself.",C,C,C
30,"There is a block called A which has a medium yellow triangle. To the right of the block A, there is a block called B. It has three circles and a small black triangle. Two of the circles are medium blue which one of them touching the top edge of the block and the other is touching the bottom and left edge of the block B. Anothe circle is big and black which the small black triangle is below and tp the left of it. There is another block C which is to the left of the block A. it has a small black square that is touching the bottom edge of the block and a medium blue circle.",What is the relation between the blue circle which is touching the top edge of block B and the small square?,FR,"left, right, above, below, near to, far from, touching, DK",right,,"The answer is ""touching"".

The blue circle is touching the top edge of block B, which is touching the bottom edge of block A.",Below,above,touching,Touching,below,above,above
275,"There are three blocks called A, B, and C. B is to the right of A and C is to the right of B. In A, there is a large yellow square near and below a small yellow square. The small yellow square is far to the left and below a large blue triangle. In B, there is a medium blue circle far to the left and above a small black circle. The small black circle is near to the left of a large blue circle.  In C, there is a large yellow square near and to the left of a large black circle. The black circle is near and to the left of a large blue triangle.",Is the large yellow thing in A to the right of a small yellow thing?,YN,"Yes, No, DK",DK,['No Data'],"Yes, the large yellow thing is to the right of a small yellow thing.",No,Yes.,Yes,Yes,Yes,Yes,Yes
277,"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a small black triangle near and ot the left of a large blue circle. The large blue circle is near and to the left of a small blue circle. The small blue square is far below a medium yellow square. In B, there is a small yellow circle. In C, there is a medium black triangle that is near and to the left of a small yellow circle. The small yellow circle is near and to the left of a blue triangle. There is a large yellow square touching the bottom of the small yellow circle. Near and below the large yellow square is a large black square.","What object is not near the small black thing, the medium yellow square or the large blue circle? the medium yellow square  or  the large blue circle ?",CO," the medium yellow square ,  the large blue circle , both of them, none of them", the medium yellow square ,"['Transitivity', ' Symmetry']","The medium yellow square is not near the small black thing, the medium yellow square or the large blue circle.",neither of them,"The object that is not near the small black thing, the medium yellow square or the large blue circle is ""the large yellow square"".",the large blue circle,None of them,the medium yellow square,the medium yellow square,the medium yellow square
7,"There is a block called A which has a medium yellow triangle. To the right of the block A, there is a block called B. It has three circles and a small black triangle. Two of the circles are medium blue which one of them touching the top edge of the block and the other is touching the bottom and left edge of the block B. Anothe circle is big and black which the small black triangle is below and tp the left of it. There is another block C which is to the left of the block A. it has a small black square that is touching the bottom edge of the block and a medium blue circle.",Is the circle in block C above the square?,YN,"Yes, No, DK",Yes,,"No, the circle in block C is not above the square.",No,Yes.,No,No,Yes,No,Yes
143,"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a large blue triangle that is near and below a medium black triangle. There is also a large black triangle that is near and below the large blue triangle. In B, there are two medium blue circles that are to the left of a medium black circle. The black circle is near and above a large blue circle. In C, there is a large yellow circle that is near and to the left of a small black triangle. There is also a large blue triangle near and to the right of the small black triangle.",What object is to the right of the medium blue things in B? the medium black circle  or  the large yellow circle ?,CO," the medium black circle ,  the large yellow circle , both of them, none of them",both of them,"['Converse', ' Lists/Sets']","The answer is the large yellow circle.

The context describes the objects in B as two medium blue circles and a large blue circle. The large yellow circle is to the right of the medium blue things, so it is the answer.",Both of them,the large yellow circle,the large yellow circle,the medium black circle,the medium black circle,the medium black circle,the medium black circle
101,"There is a block called A. In A there is a red triangle Which is above a black circle. The black circle is touching the bottom of A. A yellow square is touching the top edge of A and below that there is a red oval is touching the right edge of A. There is a second block call B Which is to the left of A. Inside B there are 3 squares, a brown one, a green one, and a red one. The green square is above the red square and touching the left edge of B. The brown square is touching both the bottom edge and the right edge of B. The red square is touching the left edge of the brown square.",Are all of the squares in B?,YN,"Yes, No, DK",No,['Quantifier'],"No, the answer is No.

The green square is above the red square and touching the left edge of B, but it is not in B.",No,Yes.,Yes,Yes,Yes,Yes,Yes
163,"There is a block named A. In A, there is a pink triangle that touches the bottom of A. There is also a white triangle that touches the left edge of A, a red triangle that touches the top of A, and a green triangle that touches the right edge of A. Below A there is a block called B. In B, there is a small square, a large square, and a yellow circle. The large square is to the right of and near the yellow circle. The yellow circe is to the right of and above the small square. Below B there is a blocked named C. In C, there is a brown oval that is on top of a blue rectangle.",Is A above C?,YN,"Yes, No, DK",Yes,['Transitivity'],"No, the answer is No.

The context describes the positions of the blocks and the shapes relative to each other. A is above C, but the question asks if A is above C, which is not specified in the context.",Yes,No.,No,No,No,Yes,Yes
61,"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A there is a large blue circle that is far above and to the right of a medium blue square. In B, there is a large black square that is near and to the left of a small yellow square. There is a medium black square to the right of the small yellow square. The medium square is above a black triangle. In C, there is a small blue square.",Is the triangle below a medium sized thing?,YN,"Yes, No, DK",Yes,['Converse'],"No, the triangle is not a medium sized thing. 

The triangle is small in size and is located above the black triangle.",No,DK,No,Yes,No,Yes,Yes
51,"There exist a big red square, a big red triangle, a medium red square, and a small green circle in a block called A. The triangle and medium square are touching the bottom edge of the block. The big and medium square are touching the right edge of the block. And the circle is above the big square which is above the medium square. There is another block called B to the left of block A. A medium green square is touching the left edge of block B and is below a medium red square. The medium red square is above and to the left of a small green square. Also a medium red triangle is below and to the left of the small square.",Is the medium red triangle below the red square in block B?,YN,"Yes, No, DK",Yes,,"No, the candidate answer is No.

The medium red triangle is below and to the left of the small green square, but it is not below the red square in block B.",No,Yes.,No,Yes,No,Yes,Yes
280,"There are three blue shapes in a block that we called A. Two medium blue squares are below a big blue square. First medium blue square is to the left of the other medium one which is touching the bottom edge of block A. There is another block below the block A we call it B. A big blue triangle is touching the top edge of this block which is above a small black triangle, a big blue circle and a medium blue triangle. The medium triangle is touching the bottom edge of the block. The circle is below and to the left of the small triangle. It is above the medium triangle.",What is the relation between the big triangle and the medium triangle?,FR,"left, right, above, below, near to, far from, touching, DK","above, far from",,"The answer is ""touching"".

The big triangle and the medium triangle are touching each other.",Below,above,touching,Touching,above,above,above
168,"There are three blocks called A, B and C. B is to the left of A and C is to the left of B. In A, there is a large blue triangle that is near and to the right of a medium yellow circle. There is also a large black square near and to the left of the medium yellow circle. In B, there is a medium yellow triangle that is near and above a large black square. Near and below the black square is a medium blue circle. In C, there is a small blue triangle to the right of a small black triangle. Near and to the left of the of the small black triangle is a large blue triangle.",Is the large blue thing in A to the left of the large black thing?,YN,"Yes, No, DK",No,"['Transitivity', ' Converse']","Yes, the large blue thing is to the left of the large black thing.",No,Yes.,No,Yes,No,No,No
71,There are two blocks A and B. Block A has two medium yellow circle and a medium yellow triangle. The medium circle number one is to the right of the yellow triangle which is to the right of the medium circle number two. This block also has a medium black triangle touching the bottom edge of it. Block B is to the right of the block A. It has two medium yellow circle and a medium black triangle. It also has a big blue square above the medium yellow circle number one. The medium triangle is to the left of the medium circle number one and to the right of the medium circle number two. The big square is to the right of the triangle.,What is the relation between the triangle below another triangle and the yellow object below the big square?,FR,"left, right, above, below, near to, far from, touching, DK",left,,"The answer is ""left"".

The triangle below another triangle is to the left of the medium circle number one.",Below,left,"left, below","Below, Yellow object",below,same,right
90,"There are three blocks A, B and C. A blue triangle is touching the right edge of block A. Block B has four objects. There is a medium black square at the top of this block. There is a big blue square at the top of this block and near to the medium square. Two big black circles are below these objects. one of the circles is touching the bottom edge of its block. block C is above A and block B is above it. Three medium blue triangles and two squares are in this block. the squares are below all triangles. two of the triangles and one of the squares are to the left of the  other square.",Which block has a square to the right of another square?,FB,"A, B, C",C,"['Lists/Sets', ' Converse']","The answer is B.

The square to the right of the other square is block B.",Block B,B,B,DK (Since no information is provided about the arrangement of squares in Block C),B,C,C
269,"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a medium blue square near and to the left of a medium black triangle. The medium black triangle is near and below a medium yellow square. In B, there is a small blue square far to the left of a large black circle. There is a medium yellow circle far above the black circle. In C, there is a large yellow square",What object has all of the triangles inside of it?,FB,"A, B, C",A,['Quantifier'],"The answer is A.

The context describes that A is to the left of B and B is to the left of C. So, A is the object that has all of the triangles inside of it.",A and B,A,DK,C (or Don't Know if more information about the spatial relationship between objects is needed),A only,A,A
68,"There are three blue shapes in a block that we called A. Two medium blue squares are below a big blue square. First medium blue square is to the left of the other medium one which is touching the bottom edge of block A. There is another block below the block A we call it B. A big blue triangle is touching the top edge of this block which is above a small black triangle, a big blue circle and a medium blue triangle. The medium triangle is touching the bottom edge of the block. The circle is below and to the left of the small triangle. It is above the medium triangle.",Where is the circle reagrding to the object above the medium square?,FR,"left, right, above, below, near to, far from, touching, DK",below,,"The answer is ""above"".

The circle is above the medium triangle.",Below,above,above,Below (the medium square),above,above,above
182,"There is a block called A. It has a small yellow square, a smal black triangle and a small black circle. A medium blue square is above and to the right of the smal black triangle and circle. The small yellow square is above the medium square. The small black circle is above a big blue circle and to the right of the small black triangle. Block A is below another block called B.block B has two big yellow triangle and a big black circle that is touching the top edge of this block. One of the triangles is touching the bottom edge of block B.",Which block has all circles below a big yellow triangle?,FB,"A, B",A,,"The answer is B.

The block with all circles below a big yellow triangle is block B.",B,B,B,B,Block B,B,B
245,"There exist a big red square, a big red triangle, a medium red square, and a small green circle in a block called A. The triangle and medium square are touching the bottom edge of the block. The big and medium square are touching the right edge of the block. And the circle is above the big square which is above the medium square. There is another block called B to the left of block A. A medium green square is touching the left edge of block B and is below a medium red square. The medium red square is above and to the left of a small green square. Also a medium red triangle is below and to the left of the small square.",What is the relation between the red square above a green object and a red triangle to the left of a green object?,FR,"left, right, above, below, near to, far from, touching, DK",above,,"The answer is ""left"".

The red square above the green object is to the left of the red triangle to the left of the green object.","Above, left",left,"above, left","Above, Left",above,same size,above and left
