Story,Question,Q_type,Candidate_Answers,Answer,Reasoning_type,llama70B_Base,llama70B_CoT,llama70B_Visual
"There is a block called A. In A, there a large black circle that is far below a large yellow square. There is a block called B, Which is to the right of A. In B, there is a large blue square near and to the left of a large blue triangle. The blue triangle is near and to the right of a small yellow square. There is another block called C, Which is to the right of B. In C, there is a small blue circle that is near and above a small yellow square. Far below the small square is a large blue square.","What object is not far from a large blue thing, the small yellow square or the large yellow square? the small yellow square  or  the large yellow square ?",CO,"[' the small yellow square ', ' the large yellow square ', 'both of them', 'none of them']",[' the small yellow square '],"['Negation', ' Symmetry']",[' the large yellow square '],'the large yellow square',[' the large yellow square ']
"There are three blocks called A, B, and C. B is to the left of A and C is to the left of B. In A, there is a medium blue square near and to the right of a large yellow square. The large yellow square is far to the right of a small blue circle. In B, there is a large black circle is near and above a large blue circle. Far below the blue circle is a large black square. In C, there is a small blue circle that is far below a large blue square.",What block does not have any triangles inside of it?,FB,"['A', 'B', 'C']",['C'],"['Negation', ' Quantifier']","['A', 'B', 'C']","['A', 'B', 'C']","['A', 'B', 'C']"
There is a block called A. It has a big blue circle and a red square. The big blue circle is below the red square. There is another block called B Which is above block A. There are a small blue circle and a yellow square in this block. The small blue circle is to the left of the yellow square.,Are all squares above the big shape?,YN,"['Yes', 'No', 'DK']",['Yes'],"['Lists/Sets', ' Quantifire', ' converse']",['Yes'],'Yes',['Yes']
"There is a block called A. In A, there are four circles that are touching the bottom of A. The red circle is touching and to the left of the yellow circle. The pink circle is touching and to the right of the green circle. The yellow circle is touching and to the left of the green circle. Touching the bottom of A is a block called B. In B, there is a blue rectangle touching the top and the left of B. Near and to the right of the blue rectangle is a purple rectangle that is also touching the top of B. At the bottom of B there is a white triangle. Far to the left of B there is a block called C. In C, there is a brown oval that is to the right of an  orange square.",Which object is not touching another object? the orange square  or  the yellow circle ?,CO,"[' the orange square ', ' the yellow circle ', 'both of them', 'none of them']",[' the orange square '],['Negation'],['none of them'],'none of them',[' the orange square ']
"There are three blocks called A, B, and C. B is to the left of A and C is to the left of B. In A, there is a medium blue square near and to the right of a large yellow square. The large yellow square is far to the right of a small blue circle. In B, there is a large black circle is near and above a large blue circle. Far below the blue circle is a large black square. In C, there is a small blue circle that is far below a large blue square.",Is the small blue thing in C to the right of the large blue thing in B?,YN,"['Yes', 'No', 'DK']",['No'],"['Lists/Sets', ' Converse']",['Yes'],'Yes',['Yes']
"There is a block called A. In A, there is a small black square near and to the left of a large blue triangle. The large blue triangle is also to the left of and below a small yellow circle. In a block called B, Which is to the left of A, there a large blue square that is near and above a small blue circle. The small blue circle is near and above a medium yellow square. There is another block called C, Which is to the left of B. In C, there is a large yellow square that is near and to the left of a large yellow circle.",Is the small blue thing to the right of the large blue thing in B?,YN,"['Yes', 'No', 'DK']",['DK'],['No Data'],['Yes'],'Yes',['No']
There is a block called A. It has a big blue circle and a red square. The big blue circle is below the red square. There is another block called B Which is above block A. There are a small blue circle and a yellow square in this block. The small blue circle is to the left of the yellow square.,What is above the circle that is below a circle? the yellow square  or  the red square?,CO,"[' the yellow square ', ' the red square', 'both of them', 'none of them']",['both of them'],"['Lists/Sets', ' Converse']",[' the yellow square '],' the yellow square',[' the red square']
"There are three blocks names A, B, and C. A is to the left of B and B is to the left of C. In A, there is a small square Which is below and to the left of a yellow circle. In B, there is a yellow circle above and to the right of a large blue square. In C, there is a small black square that is below a small yellow triangle. Near and to the right of the square is a large black triangle. The large triangle is also to the left of and near a large blue square. Far above the blue square is a small yellow circle. The small triangle is to the left and far from the small circle.",What is the relation between the small black thing and the yellow thing in A?,FR,"['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']","['right', 'far from']","['Lists/Sets', ' Transitivity']","['below', 'left']","['below', 'left']","['left', 'below']"
There is a block called A. It has a big blue circle and a red square. The big blue circle is below the red square. There is another block called B Which is above block A. There are a small blue circle and a yellow square in this block. The small blue circle is to the left of the yellow square.,Which blocks have a square below a circle?,FB,"['A', 'B']",['B'],"['Lists/Sets', ' Converse']",['A'],['A'],['A']
"There are three blocks called A, B, and C. A is to the left of B, and B is to the left of C. In A, there is a large blue triangle to the left of and below a large black square. Far above the square is a large black circle. In B, there is a large blue circle near and below a small blue circle. The small blue circle is near and below a large yellow square. There is a medium blue square far to the left of the yellow square. In C, there is a large blue square.",What is the relation between the large blue thing in A and the large black circle?,FR,"['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']","['below', 'far from']","['Symmetry', ' Transitivity']",['above'],above,['above']
"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a medium black triangle. In B, there is a small blue circle that is far below a medium yellow square. In C, there is a small yellow square near and above a small black triangle. The black triangle is near and to the right of a large black square. There is a medium blue triangle below the large black square.",Is the medium yellow thing far from the small blue thing?,YN,"['Yes', 'No', 'DK']",['Yes'],['Symmetry'],['Yes'],'Yes',['No']
"There are three blocks named A, B, and C. B is to the right of A and C is to the right of B. In A there is a large black square that is touching left edge of A. In B, there is a large blue square Which is near and to the right of a large blue triangle. Far below the triangle there is a large yellow circle. The large yellow circle is touching the bottom of B. In C, there is a small blue circle that is to the right of a small black triangle.",What is the relation between the small black thing and the large black thing?,FR,"['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']","['right', 'far from']","['List/Sets', ' Transitivity']",['left'],[right],['left']
"There is a block called A. In A, there is a medium blue square that is to the left of a small blue triangle. There is also a large blue triangle far above the small blue triangle. There is another block called B, Which is to the right of A. In B, there is a large yellow circle. There is another block called C, Which is to the right of B. In B, there is a medium yellow circle far below a small black square. There is also a large yellow square near and above the small black square . There is a medium yellow square that is far to the right of the medium yellow circle, and there is a small yellow square above the medium yellow square.",What object is far below the large blue thing? the small blue triangle  or  the large yellow circle ?,CO,"[' the small blue triangle ', ' the large yellow circle ', 'both of them', 'none of them']",[' the small blue triangle '],"['Converse', ' Symmetry']",[' the small blue triangle '],'the small blue triangle',[' the small blue triangle ']
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a small blue square near and below a medium black triangle. Near and above the medium black triangle is a large blue circle. In B, there is a large yellow circle far above a medium black square. The medium black square is to the near and to the left of a small yellow square. In C, there is a large yellow circle far above a small black circle.",Is the medium black thing in A far below a large blue thing?,YN,"['Yes', 'No', 'DK']",['No'],"['Converse', ' Symmetry']",['Yes'],'Yes',['No']
"There is a block called A. In A there is a small blue circle. There is another block called B Which is to the right of A. In B, there is a large yellow square, Which is near and to the left of a small yellow square. Above both squares there is a black triangle. To the right of B there is a block called C. In C, there is a black square that is to the right and far from a yellow triangle.",Which object is near to a small square? the black triangle  or  the large square?,CO,"[' the black triangle ', ' the large square', 'both of them', 'none of them']",[' the large square'],['Symmetry'],['both of them'],'both of them',[' the black triangle ']
"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a small blue triangle. In B, there is a large blue circle near and to the right of a small yellow square. The yellow square is near and to the right of a small black circle. In C, there is a small yellow circle near and below a medium black triangle. There is a small blue square near and above the black triangle.",Is the small thing in A to the left of the small blue thing in C?,YN,"['Yes', 'No', 'DK']",['No'],"['Lists/Sets', ' Transitivity']",['Yes'],'Yes',['Yes']
"There are three blocks called A, B, and C. B is to the right of A and C is to the right of B. In A, there is a medium blue circle Which is near and above a small blue circle. In B, there is a large yellow triangle Which is to the right and touching a large blue triangle. There is also a small yellow triangle to the left of the large blue triangle. In C, there is a small blue circle that is far above a blue triangle. The blue triangle is to the left of a black triangle.",What block has all of the black objects inside of it?,FB,"['A', 'B', 'C']",['C'],['Quantifier'],['C'],C,['C']
"There is a block called A. In A there is a small blue circle. There is another block called B Which is to the right of A. In B, there is a large yellow square, Which is near and to the left of a small yellow square. Above both squares there is a black triangle. To the right of B there is a block called C. In C, there is a black square that is to the right and far from a yellow triangle.",What block is to the left of B,FB,"['A', 'B', 'C']",['A'],['Converse'],['A'],A,['A']
"There is three blocks called A, B, C. Block A has two big blue shapes to the left of a big yellow triangle. There is also a little triangle to the left of blue objects. there is a big black triangle touching the bottom edge of block B. A medium circle is at top of the block B and a small blue circle is near to it. Block C is left to the blocks A and B. It has two medium triangles. one of them is to the right of the other.",Which object is between two triangles? a big blue shape  or  a medium circle?,CO,"[' a big blue shape ', ' a medium circle', 'both of them', 'none of them']",[' a big blue shape '],['Transitivity'],[' a medium circle'],'a big blue shape',['a big blue shape']
"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a small blue triangle. In B, there is a large blue circle near and to the right of a small yellow square. The yellow square is near and to the right of a small black circle. In C, there is a small yellow circle near and below a medium black triangle. There is a small blue square near and above the black triangle.",Is the large blue thing above a small black thing?,YN,"['Yes', 'No', 'DK']",['DK'],['No Data'],['No'],'No',['No']
"There are three blocks called A, B, and C. A is to the left of B, and B is to the left of C. In A, there is a large blue triangle to the left of and below a large black square. Far above the square is a large black circle. In B, there is a large blue circle near and below a small blue circle. The small blue circle is near and below a large yellow square. There is a medium blue square far to the left of the yellow square. In C, there is a large blue square.",Is the large blue thing in C to the right of the large blue thing in B?,YN,"['Yes', 'No', 'DK']",['Yes'],"['Lists/Sets', ' Converse']",['Yes'],Yes,['Yes']
"There are two blocks called A and B. A is to the right of B. In A, there is a blue triangle, Which is above a orange rectangle, Which is above a black circle. The black circle is touching the bottom of A. In B there are four squares. A yellow square is above a white square and to the left of a green square. A large purple square is touching the bottom of B and is to the left and near of the white square. The green square is on top of the purple square.",What object is near the large thing? the white square or  the orange rectangle ?,CO,"[' the white square', ' the orange rectangle ', 'both of them', 'none of them']",[' the white square'],['Symmetry'],[' the white square'],'the white square',[' the white square']
"There are three blocks called A, B, and C. B is to the right of and touching the right edge of A and C is above and touching the top of B. In A, there is a blue square touching the left edge of A. A red triangle is next to the blue square and is above a yellow circle is touching the bottom edge of A. In B, there is a purple rectangle and an orange oval. The orange oval is touching the right edge of B and the rectangle is near and to the left of and the oval. In C, there is a small triangle a large triangle and a pink triangle. The small triangle is above the large triangle and is touching the top of C. The pink triangle is touching the bottom of C, with the large triangle to the right of the pink triangle.",Is the blue thing above the purple thing?,YN,"['Yes', 'No', 'DK']",['DK'],['Lists/Sets'],['No'],'No',['No']
"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a medium black triangle. In B, there is a small blue circle that is far below a medium yellow square. In C, there is a small yellow square near and above a small black triangle. The black triangle is near and to the right of a large black square. There is a medium blue triangle below the large black square.",What object is above the medium blue thing? the small blue circle  or  the large black square?,CO,"[' the small blue circle ', ' the large black square', 'both of them', 'none of them']",[' the large black square'],['Converse'],[' the small blue circle '],'the small blue circle',[' the small blue circle']
"There are three blocks called A, B, and C. B is to the right of A and C is to the right of B. In A, there is a medium blue circle Which is near and above a small blue circle. In B, there is a large yellow triangle Which is to the right and touching a large blue triangle. There is also a small yellow triangle to the left of the large blue triangle. In C, there is a small blue circle that is far above a blue triangle. The blue triangle is to the left of a black triangle.",Is the large blue thing to the left of the large yellow thing?,YN,"['Yes', 'No', 'DK']",['Yes'],['Converse'],['Yes'],'Yes',['Yes']
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a small yellow square near and to the left of a large yellow circle. The large circle is near and to the left of a large blue triangle. In B, there is a small yellow square near and below a large blue triangle. There is a medium black triangle near and above the large blue triangle. In C, there is a small black square far to the left and above a small blue circle. The blue circle is near and to the left of a large yellow square.","What object is not far from the large yellow thing in A, the small yellow square or the small black square? the small yellow square  or  the small black square ?",CO,"[' the small yellow square ', ' the small black square ', 'both of them', 'none of them']",[' the small yellow square '],"['Negation', ' Symmetry']",[' the small yellow square '],the small yellow square,[' the small yellow square ']
"There are three blocks called A, B, and C. A is to the left of B, and B is to the left of C. In A, there is a large blue triangle to the left of and below a large black square. Far above the square is a large black circle. In B, there is a large blue circle near and below a small blue circle. The small blue circle is near and below a large yellow square. There is a medium blue square far to the left of the yellow square. In C, there is a large blue square.","What object is not near the large yellow thing, the small blue circle or the medium blue square? the small blue circle  or  the medium blue square ?",CO,"[' the small blue square ', ' the medium blue square ', 'both of them', 'none of them']",[' the medium blue square '],"['Negation', ' Symmetry']",[' the medium blue square '],'the small blue circle',[' the medium blue square ']
"There is a block named A. In A, there is a pink triangle that touches the bottom of A. There is also a white triangle that touches the left edge of A, a red triangle that touches the top of A, and a green triangle that touches the right edge of A. Below A there is a block called B. In B, there is a small square, a large square, and a yellow circle. The large square is to the right of and near the yellow circle. The yellow circe is to the right of and above the small square. Below B there is a blocked named C. In C, there is a brown oval that is on top of a blue rectangle.",What is the relation between the small objects and large objects?,FR,"['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']","['left', 'far from']",['Transitivity'],['near to'],near to,['near to']
"There is a block called A. In A, there are four blue circles: two small ones, a medium one, and a large one. The two small circles are below the large circle. The medium circle is far above and to the left of the large circle. There is another block called B, Which is to the right of A. In B, there is a blue triangle near the right edge of B. There is another block called C, Which is to the right of B. In C, there is a yellow circle, a large yellow triangle, and a black square. The yellow circle is near and to the left of the yellow triangle. The black square is to the right and below the yellow triangle.",What is the relation between the large yellow thing and the other yellow object?,FR,"['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']","['right', 'near to']","['Converse', ' Symmetry']","['near to', 'left']",near to,"['near to', 'left']"
"There are three blocks called A, B and C. B is to the left of A and C is to the left of B. In A, there is a large blue triangle that is near and to the right of a medium yellow circle. There is also a large black square near and to the left of the medium yellow circle. In B, there is a medium yellow triangle that is near and above a large black square. Near and below the black square is a medium blue circle. In C, there is a small blue triangle to the right of a small black triangle. Near and to the left of the of the small black triangle is a large blue triangle.",Is the large black thing near and above a medium blue thing?,YN,"['Yes', 'No', 'DK']",['Yes'],"['Symmetry', ' Converse']",['No'],'No',['No']
"There are three blocks called A, B and C. B is to the left of A and C is to the left of B. In A, there is a large blue triangle that is near and to the right of a medium yellow circle. There is also a large black square near and to the left of the medium yellow circle. In B, there is a medium yellow triangle that is near and above a large black square. Near and below the black square is a medium blue circle. In C, there is a small blue triangle to the right of a small black triangle. Near and to the left of the of the small black triangle is a large blue triangle.",What is the relation between the large black thing in B and the medium yellow thing in B?,FR,"['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']","['below', 'near to']","['Converse', ' Symmetry']",['below'],'below',['below']
"There are three blocks called A, B, and C. B is to the right of A and C is to the right of B. In A, there is a small black triangle near and below a large yellow circle. Far to the right of the yellow circle is a small blue square. In B, there is a large black triangle far below a small blue circle. The small blue circle is near and below a small blue triangle. In C, there is a small blue circle.",What is the relation between the small thing in C and the small black thing?,FR,"['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']","['right', 'far from']","['Lists/Sets', ' Transitivity']",['far from'],far from,[right]
"There are three blocks called A, B, and C. B is to the right of A and C is to the right of B. In A, there is a medium blue circle Which is near and above a small blue circle. In B, there is a large yellow triangle Which is to the right and touching a large blue triangle. There is also a small yellow triangle to the left of the large blue triangle. In C, there is a small blue circle that is far above a blue triangle. The blue triangle is to the left of a black triangle.",What object is to the right of the small yellow thing? the large yellow triangle  or  the medium blue circle?,CO,"[' the large yellow triangle ', ' the medium blue circle', 'both of them', 'none of them']",[' the large yellow triangle '],"['Transitivity', ' Converse']",[' the large yellow triangle '],'the large yellow triangle',[' the large yellow triangle ']
"There is a block called A. In A there is a red triangle Which is above a black circle. The black circle is touching the bottom of A. A yellow square is touching the top edge of A and below that there is a red oval is touching the right edge of A. There is a second block call B Which is to the left of A. Inside B there are 3 squares, a brown one, a green one, and a red one. The green square is above the red square and touching the left edge of B. The brown square is touching both the bottom edge and the right edge of B. The red square is touching the left edge of the brown square.",Are all of the squares in B?,YN,"['Yes', 'No', 'DK']",['No'],['Quantifier'],['Yes'],Yes,['Yes']
"There are three blocks called A, B, and C. B is to the right of A and C is to the right of B. In A, there is a small yellow circle that is near and to the left of a medium blue triangle. Touching the top of the triangle is a large yellow square. In B, there is a large blue circle near and below a small blue square. There is a large black triangle far to the right of the small blue square. In C, there is a small blue triangle that is far below a medium black triangle. The black triangle was near and below a medium blue triangle.",What block has all of the triangles inside of it?,FB,"['A', 'B', 'C']",['C'],['Quantifier'],['C'],"['A', 'B', 'C']","['B', 'C']"
"There are three blocks called A, B, and C. In A, there is a large blue circle that is near and to the left of a large yellow circle. There is also a medium black triangle below the blue circle. In B, Which is to the right of A, there are three small blue circles far above two small black triangles. C is to the right of B. In C, there is a large blue triangle that is near and to the left of a medium black circle. There is also a large black triangle near and below the large blue triangle.",Are the small black things below the small blue things,YN,"['Yes', 'No', 'DK']",['Yes'],['Converse'],['Yes'],Yes,['Yes']
"There is a block called A. In A, there is a medium black triangle that is near and below a medium blue triangle. The medium blue triangle is far below a large blue circle. The large circle is near and below a small blue triangle. There is a block called B, Which is to the right of A. In B, there is a small yellow circle far above a large yellow square. There is also a large blue triangle near and to the right of large yellow square. There is another block called C, Which is to the right of B. In C, there is a large black triangle that is far below a large blue triangle. The large blue triangle is far below a small blue triangle.",Is the large black thing in C to the left of a yellow thing?,YN,"['Yes', 'No', 'DK']",['No'],"['Lists/Sets', ' Converse']",['No'],'No',['Yes']
"There is a block called A. Inside there's a red oval that is above a blue triangle. The blue triangle is touching the right edge of A and the top of a large black square. Touching the bottom edge of A is  a small orange square. The is a block called B Which is to the right and touching A. Inside B there are 5 triangles, a red one, a green one, a large yellow one, a brown one, and an orange one. The red and orange triangles are touching the left edge of B and the orange triangle is above the red triangle. The large yellow triangle is touching the top edge of B. The green triangle is touching the right edge of B. The brown triangle is below all of the other triangles and is touching the bottom of B.",What object is below the orange triangle? the red triangle  or  the yellow triangle?,CO,"[' the red triangle ', ' the yellow triangle', 'both of them', 'none of them']",[' the red triangle '],['Symmetry'],[' the red triangle '],'the red triangle',[' the red triangle ']
"There is three blocks called A, B, C. Block A has two big blue shapes to the left of a big yellow triangle. There is also a little triangle to the left of blue objects. there is a big black triangle touching the bottom edge of block B. A medium circle is at top of the block B and a small blue circle is near to it. Block C is left to the blocks A and B. It has two medium triangles. one of them is to the right of the other.",Which object is to the left of the medium shape which is near to the small circle? a little triangle  or  a medium triangle?,CO,"[' a little triangle ', ' a medium triangle', 'both of them', 'none of them']",[' a medium triangle'],"['Symmetry', ' Lists/Sets']",[' a little triangle '],'a little triangle',[' a little triangle ']
"There are three blocks called A, B, and C. B is to the left of A and C is to the left of B. In A, there is a small blue circle near and above a medium blue circle. Far to the right of the circles is a large yellow square. In B, there is a small black square that is to the right of a small black triangle. There is also a small blue square far above the small black triangle. In C, there is a large black triangle that is near and above a small blue circle. The small blue circle is also near and above a small black triangle. To the left of the small black triangle is a medium yellow circle.",What is the relation between the small black triangle in B and the small blue thing in B?,FR,"['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']","['below', 'far from']","['Symmetry', ' Converse']",['left'],right,[right]
"There are three blocks named A, B, and C. B is to the right of A and C is to the right of B. In A there is a large black square that is touching left edge of A. In B, there is a large blue square Which is near and to the right of a large blue triangle. Far below the triangle there is a large yellow circle. The large yellow circle is touching the bottom of B. In C, there is a small blue circle that is to the right of a small black triangle.",Are the large blue things near each other?,YN,"['Yes', 'No', 'DK']",['Yes'],['Symmetry'],['Yes'],'Yes',['Yes']
"There are three blocks called A, B, and C. B is to the right of and touching the right edge of A and C is above and touching the top of B. In A, there is a blue square touching the left edge of A. A red triangle is next to the blue square and is above a yellow circle is touching the bottom edge of A. In B, there is a purple rectangle and an orange oval. The orange oval is touching the right edge of B and the rectangle is near and to the left of and the oval. In C, there is a small triangle a large triangle and a pink triangle. The small triangle is above the large triangle and is touching the top of C. The pink triangle is touching the bottom of C, with the large triangle to the right of the pink triangle.",What is the relation between the orange thing and the purple thing?,FR,"['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']","['right', 'near to']",['Symmetry'],"['near to', 'left']",near to,"['near to', 'left']"
"There are three blocks names A, B, and C. A is to the left of B and B is to the left of C. In A, there is a small square Which is below and to the left of a yellow circle. In B, there is a yellow circle above and to the right of a large blue square. In C, there is a small black square that is below a small yellow triangle. Near and to the right of the square is a large black triangle. The large triangle is also to the left of and near a large blue square. Far above the blue square is a small yellow circle. The small triangle is to the left and far from the small circle.",Is the small square in C to the left of the large square in C?,YN,"['Yes', 'No', 'DK']",['Yes'],['Transitivity'],['Yes'],'Yes',['No']
"There are three blocks called A, B and C. A is to the left of B and B is to the left of C. In A, there is a small blue circle. In B, there is a large blue triangle that is touching the top of a small yellow triangle. In C, there are four circles, a large yellow one, a small blue one, a small black one, and a large black one. The large yellow circle is touching the large black circle and is above and near the small blue circle. The small black circle is near and to the right of the small blue circle. The large black circle is above and near the small black circle.",Is the large black thing to the left of the small yellow thing?,YN,"['Yes', 'No', 'DK']",['No'],['Lists/Sets'],['Yes'],'Yes',['Yes']
There is a block called A. It has a big blue circle and a red square. The big blue circle is below the red square. There is another block called B Which is above block A. There are a small blue circle and a yellow square in this block. The small blue circle is to the left of the yellow square.,Are all squares above all circles?,YN,"['Yes', 'No', 'DK']",['No'],"['Lists/Sets', ' Quantifire', ' converse']",['Yes'],'Yes',['No']
"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a medium black triangle. In B, there is a small blue circle that is far below a medium yellow square. In C, there is a small yellow square near and above a small black triangle. The black triangle is near and to the right of a large black square. There is a medium blue triangle below the large black square.",What object is to the right of the small black thing? the medium yellow square or  the large black square?,CO,"[' the medium yellow square', ' the large black square', 'both of them', 'none of them']",[' the medium yellow square'],['Lists/Sets'],[' the large black square'],'the large black square',[' the large black square']
"There is a block called A. In A, there is a medium blue square that is to the left of a small blue triangle. There is also a large blue triangle far above the small blue triangle. There is another block called B, Which is to the right of A. In B, there is a large yellow circle. There is another block called C, Which is to the right of B. In B, there is a medium yellow circle far below a small black square. There is also a large yellow square near and above the small black square . There is a medium yellow square that is far to the right of the medium yellow circle, and there is a small yellow square above the medium yellow square.",What object is not near the medium yellow square? the medium yellow circle  or  the small black square ?,CO,"[' the medium yellow circle ', ' the small black square ', 'both of them', 'none of them']",['none of them'],"['Symmetry', ' Negation']",[' the small black square '],'the medium yellow circle',[' the medium yellow circle ']
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a small blue square near and below a medium black triangle. Near and above the medium black triangle is a large blue circle. In B, there is a large yellow circle far above a medium black square. The medium black square is to the near and to the left of a small yellow square. In C, there is a large yellow circle far above a small black circle.",Does A have any yellow objects inside of it?,YN,"['Yes', 'No', 'DK']",['No'],['Quantifier'],['No'],'No',['No']
"There are three blocks called A, B and C. A is to the left of B and B is to the left of C. In A, there is a small blue circle. In B, there is a large blue triangle that is touching the top of a small yellow triangle. In C, there are four circles, a large yellow one, a small blue one, a small black one, and a large black one. The large yellow circle is touching the large black circle and is above and near the small blue circle. The small black circle is near and to the right of the small blue circle. The large black circle is above and near the small black circle.",What object is near the large yellow thing? the small blue circle  or  the small yellow triangle?,CO,"[' the small blue circle ', ' the small yellow triangle', 'both of them', 'none of them']",[' the small blue circle '],['Symmetry'],[' the small blue circle '],'the small blue circle',[' the small blue circle ']
