Story,Question,Q_type,Candidate_Answers,Answer,Reasoning_type,llama70B_Base,llama70B_CoT,llama70B_Visual
"There are three blocks called A, B, and C. In A, there is a large blue circle that is near and to the left of a large yellow circle. There is also a medium black triangle below the blue circle. In B, Which is to the right of A, there are three small blue circles far above two small black triangles. C is to the right of B. In C, there is a large blue triangle that is near and to the left of a medium black circle. There is also a large black triangle near and below the large blue triangle.",What block does not have a large object inside of it?,FB,"['A', 'B', 'C']",['B'],['Negation'],['B'],B,['B']
"There is a block called A. In A, there is a medium black triangle that is near and below a medium blue triangle. The medium blue triangle is far below a large blue circle. The large circle is near and below a small blue triangle. There is a block called B, Which is to the right of A. In B, there is a small yellow circle far above a large yellow square. There is also a large blue triangle near and to the right of large yellow square. There is another block called C, Which is to the right of B. In C, there is a large black triangle that is far below a large blue triangle. The large blue triangle is far below a small blue triangle.",What is the relation between the large yellow thing and the small yellow thing?,FR,"['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']","['below', 'far from']","['Symmetry', ' Converse']",['above'],above,above
"There is a block called A. In A, there is a small black square near and to the left of a large blue triangle. The large blue triangle is also to the left of and below a small yellow circle. In a block called B, Which is to the left of A, there a large blue square that is near and above a small blue circle. The small blue circle is near and above a medium yellow square. There is another block called C, Which is to the left of B. In C, there is a large yellow square that is near and to the left of a large yellow circle.",Is the small blue thing to the right of the large blue thing in B?,YN,"['Yes', 'No', 'DK']",['DK'],['No Data'],['Yes'],'Yes',['No']
"There are three blocks called A, B, and C. B is to the right of A and C is to the right of B. In A, there is a small yellow circle that is near and to the left of a medium blue triangle. Touching the top of the triangle is a large yellow square. In B, there is a large blue circle near and below a small blue square. There is a large black triangle far to the right of the small blue square. In C, there is a small blue triangle that is far below a medium black triangle. The black triangle was near and below a medium blue triangle.",What is the relation between the large yellow thing and the medium black thing?,FR,"['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']","['left', 'far from']","['Lists/Sets', ' Transitivity']",['above'],above,['above']
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a small yellow square near and to the left of a large yellow circle. The large circle is near and to the left of a large blue triangle. In B, there is a small yellow square near and below a large blue triangle. There is a medium black triangle near and above the large blue triangle. In C, there is a small black square far to the left and above a small blue circle. The blue circle is near and to the left of a large yellow square.",Is the small black thing to the right of medium black thing?,YN,"['Yes', 'No', 'DK']",['Yes'],"['Lists/Sets', ' Converse']",['Yes'],'No',['Yes']
"There are three blocks called A, B and C. A is to the left of B and B is to the left of C. In A, there is a small blue circle. In B, there is a large blue triangle that is touching the top of a small yellow triangle. In C, there are four circles, a large yellow one, a small blue one, a small black one, and a large black one. The large yellow circle is touching the large black circle and is above and near the small blue circle. The small black circle is near and to the right of the small blue circle. The large black circle is above and near the small black circle.",What is the relation between the blue thing in A and the large black thing?,FR,"['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']","['left', 'far from']","['Lists/Sets', ' Transitivity']",['left'],left,['right']
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a medium yellow circle near and above a medium blue circle. There is also a large black square near and below the medium blue circle. In B, there is a medium yellow triangle near and to the left of a small blue triangle. The small blue triangle is above a medium blue triangle. The medium blue triangle is to the right of the medium yellow triangle and above a large black circle. In C, there is a medium black triangle that is near and to the left of a large blue triangle. There is a large black square near and to the right of large blue triangle.","What object is to the right of the medium blue thing in B, the large blue triangle or the large black square? the large blue triangle  or  the large black square ?",CO,"[' the large blue triangle ', ' the large black square ', 'both of them', 'none of them']",['both of them'],"['Lists/Sets', ' Converse']",['the large black circle'],'the large black circle',[' the large black circle ']
"There are three blocks called A, B, and C. B is to the right of A and C is to the right of B. In A, there is a medium blue circle Which is near and above a small blue circle. In B, there is a large yellow triangle Which is to the right and touching a large blue triangle. There is also a small yellow triangle to the left of the large blue triangle. In C, there is a small blue circle that is far above a blue triangle. The blue triangle is to the left of a black triangle.",Is the large blue thing to the left of the large yellow thing?,YN,"['Yes', 'No', 'DK']",['Yes'],['Converse'],['Yes'],Yes,['Yes']
"There are three blocks called A, B, and C. In A, there is a large blue circle that is near and to the left of a large yellow circle. There is also a medium black triangle below the blue circle. In B, Which is to the right of A, there are three small blue circles far above two small black triangles. C is to the right of B. In C, there is a large blue triangle that is near and to the left of a medium black circle. There is also a large black triangle near and below the large blue triangle.",What is the relation between the large yellow thing and the medium black thing in A?,FR,"['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']","['above', 'near to']","['Transitivity', ' Converse']",['above'],above,['above']
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a small yellow square near and to the left of a large yellow circle. The large circle is near and to the left of a large blue triangle. In B, there is a small yellow square near and below a large blue triangle. There is a medium black triangle near and above the large blue triangle. In C, there is a small black square far to the left and above a small blue circle. The blue circle is near and to the left of a large yellow square.","What object is near the small black thing, the small blue circle or the large yellow square? the small blue circle  or  the large yellow square ?",CO,"[' the small blue circle ', ' the large yellow square ', 'both of them', 'none of them']",['none of them'],['Symmetry'],['the small blue circle'],'the small blue circle',['the small blue circle']
There is a block called A. It has a big blue circle and a red square. The big blue circle is below the red square. There is another block called B Which is above block A. There are a small blue circle and a yellow square in this block. The small blue circle is to the left of the yellow square.,Where is the the square which is above a square regarding to the small object?,FR,"['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']",['right'],"['Lists/Sets', ' Converse']",['above'],above,['above']
"There are three blocks called A, B, and C. A is on top of B and B is on top of C. In A there are 3 circles: a small red one, a green one, and a big blue one. The small red and green circles are above the big blue circle. The big blue circle is touching the bottom edge of A, and the green circle is touching the top edge of A. In B there is a orange triangle, Which is above a purple rectangle. The purple rectangle is touching the bottom edge of B. In C, there are 3 squares, a small white one, a small black one, and a large yellow one. The small white square is touching the left edge of C, while the small black square is touching the right edge of C. The large yellow square is adjacent to the white square, and is touching the bottom edge of C.",Is the red circle above the white square?,YN,"['Yes', 'No', 'DK']",['Yes'],['Transitivity'],['Yes'],Yes,['Yes']
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a small yellow square near and to the left of a large yellow circle. The large circle is near and to the left of a large blue triangle. In B, there is a small yellow square near and below a large blue triangle. There is a medium black triangle near and above the large blue triangle. In C, there is a small black square far to the left and above a small blue circle. The blue circle is near and to the left of a large yellow square.",What is the relation between the small blue thing and the small black thing?,FR,"['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']","['right', 'below', 'far from']","['Symmetry', ' Converse']",['above'],above,['above']
There is a block called A. It has a big blue circle and a red square. The big blue circle is below the red square. There is another block called B Which is above block A. There are a small blue circle and a yellow square in this block. The small blue circle is to the left of the yellow square.,Are all squares above the big shape?,YN,"['Yes', 'No', 'DK']",['Yes'],"['Lists/Sets', ' Quantifire', ' converse']",['Yes'],'Yes',['Yes']
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a small blue square near and below a medium black triangle. Near and above the medium black triangle is a large blue circle. In B, there is a large yellow circle far above a medium black square. The medium black square is to the near and to the left of a small yellow square. In C, there is a large yellow circle far above a small black circle.",What is the relation between the small blue thing and the large blue thing?,FR,"['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']","['below', 'near to']","['Transitivity', ' Symmetry']","['near', 'below']",below,"['above', 'near to']"
"There are two blocks called A and B. A is to the right of B. In A, there is a blue triangle, Which is above a orange rectangle, Which is above a black circle. The black circle is touching the bottom of A. In B there are four squares. A yellow square is above a white square and to the left of a green square. A large purple square is touching the bottom of B and is to the left and near of the white square. The green square is on top of the purple square.",Is the green thing to the right of a yellow object?,YN,"['Yes', 'No', 'DK']",['Yes'],['Converse'],['Yes'],'Yes',['Yes']
"There are three blocks called A, B and C. B is to the left of A and C is to the left of B. In A, there is a large blue triangle that is near and to the right of a medium yellow circle. There is also a large black square near and to the left of the medium yellow circle. In B, there is a medium yellow triangle that is near and above a large black square. Near and below the black square is a medium blue circle. In C, there is a small blue triangle to the right of a small black triangle. Near and to the left of the of the small black triangle is a large blue triangle.",What is the relation between medium blue thing in B and the medium yellow thing in B?,FR,"['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']","['below', 'near to']","['Transitivity', ' Symmetry']",['below'],below,['below']
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a large yellow square that is near and to the left of a small yellow square. Below the small square is a medium yellow circle. In B, there is a small black triangle that is to the left of a large black square. Far below the black square is a small blue circle. In C, there is a medium blue triangle.",What block does not have any blue objects inside of it?,FB,"['A', 'B', 'C']",['A'],['Negation'],['A'],A,['A']
"There are three blocks called A, B, and C. A is on top of B and B is on top of C. In A there are 3 circles: a small red one, a green one, and a big blue one. The small red and green circles are above the big blue circle. The big blue circle is touching the bottom edge of A, and the green circle is touching the top edge of A. In B there is a orange triangle, Which is above a purple rectangle. The purple rectangle is touching the bottom edge of B. In C, there are 3 squares, a small white one, a small black one, and a large yellow one. The small white square is touching the left edge of C, while the small black square is touching the right edge of C. The large yellow square is adjacent to the white square, and is touching the bottom edge of C.",Which object is to the left of the yellow square? the white square or  the black square?,CO,"[' the white square', ' the black square', 'both of them', 'none of them']",[' the white square'],['Converse'],[' the white square'],the white square,[' the white square']
"There is a block called A. In A there is a red triangle Which is above a black circle. The black circle is touching the bottom of A. A yellow square is touching the top edge of A and below that there is a red oval is touching the right edge of A. There is a second block call B Which is to the left of A. Inside B there are 3 squares, a brown one, a green one, and a red one. The green square is above the red square and touching the left edge of B. The brown square is touching both the bottom edge and the right edge of B. The red square is touching the left edge of the brown square.",Which block has only squares inside?,FB,"['A', 'B']",['B'],['Quantifier'],['B'],B,['B']
"There is a block called A. In A there is a small blue circle. There is another block called B Which is to the right of A. In B, there is a large yellow square, Which is near and to the left of a small yellow square. Above both squares there is a black triangle. To the right of B there is a block called C. In C, there is a black square that is to the right and far from a yellow triangle.",What block does not have any triangles inside?,FB,"['A', 'B', 'C']",['A'],"['Quantifier', ' Negation']","['A', 'B']","['A', 'B']",['A']
"There are three blocks called A, B, and C. B is to the right of and touching the right edge of A and C is above and touching the top of B. In A, there is a blue square touching the left edge of A. A red triangle is next to the blue square and is above a yellow circle is touching the bottom edge of A. In B, there is a purple rectangle and an orange oval. The orange oval is touching the right edge of B and the rectangle is near and to the left of and the oval. In C, there is a small triangle a large triangle and a pink triangle. The small triangle is above the large triangle and is touching the top of C. The pink triangle is touching the bottom of C, with the large triangle to the right of the pink triangle.",Which block has the thing that is below and the red object?,FB,"['A', 'B', 'C']",['A'],['Converse'],['A'],A,['A']
"There are three blocks named A, B, and C. B is to the right of A and C is to the right of B. In A there is a large black square that is touching left edge of A. In B, there is a large blue square Which is near and to the right of a large blue triangle. Far below the triangle there is a large yellow circle. The large yellow circle is touching the bottom of B. In C, there is a small blue circle that is to the right of a small black triangle.",Is the blue square above the yellow thing?,YN,"['Yes', 'No', 'DK']",['Yes'],"['Converse', ' Transitivity']",['Yes'],'Yes',['Yes']
"There are three blocks called A, B, and C. B is to the left of A and C is to the left of B. In A, there is a medium blue square near and to the right of a large yellow square. The large yellow square is far to the right of a small blue circle. In B, there is a large black circle is near and above a large blue circle. Far below the blue circle is a large black square. In C, there is a small blue circle that is far below a large blue square.",What is the relation between the small blue thing in A and the small blue thing in C?,FR,"['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']","['right', 'far from']","['Lists/Sets', ' Transitivity']",['left'],same,['left']
"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a medium black triangle. In B, there is a small blue circle that is far below a medium yellow square. In C, there is a small yellow square near and above a small black triangle. The black triangle is near and to the right of a large black square. There is a medium blue triangle below the large black square.",What object is above the medium blue thing? the small blue circle  or  the large black square?,CO,"[' the small blue circle ', ' the large black square', 'both of them', 'none of them']",[' the large black square'],['Converse'],[' the small blue circle '],'the large black square',[' the small blue circle']
"There are three blocks called A, B, and C. In A, there is a large blue circle that is near and to the left of a large yellow circle. There is also a medium black triangle below the blue circle. In B, Which is to the right of A, there are three small blue circles far above two small black triangles. C is to the right of B. In C, there is a large blue triangle that is near and to the left of a medium black circle. There is also a large black triangle near and below the large blue triangle.",Is the large yellow thing near the large blue thing?,YN,"['Yes', 'No', 'DK']",['Yes'],['Symmetry'],['Yes'],Yes,['Yes']
"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a small blue triangle. In B, there is a large blue circle near and to the right of a small yellow square. The yellow square is near and to the right of a small black circle. In C, there is a small yellow circle near and below a medium black triangle. There is a small blue square near and above the black triangle.",Is the small yellow thing in C below a small blue thing?,YN,"['Yes', 'No', 'DK']",['Yes'],"['Transitivity', ' Converse']",['Yes'],'Yes',['Yes']
"There is a block called A. In A, there a large black circle that is far below a large yellow square. There is a block called B, Which is to the right of A. In B, there is a large blue square near and to the left of a large blue triangle. The blue triangle is near and to the right of a small yellow square. There is another block called C, Which is to the right of B. In C, there is a small blue circle that is near and above a small yellow square. Far below the small square is a large blue square.","What object is not far from a large blue thing, the small yellow square or the large yellow square? the small yellow square  or  the large yellow square ?",CO,"[' the small yellow square ', ' the large yellow square ', 'both of them', 'none of them']",[' the small yellow square '],"['Negation', ' Symmetry']",[' the large yellow square '],'the large yellow square',[' the large yellow square ']
"There are two blocks called A and B. A is to the right of B. In A, there is a blue triangle, Which is above a orange rectangle, Which is above a black circle. The black circle is touching the bottom of A. In B there are four squares. A yellow square is above a white square and to the left of a green square. A large purple square is touching the bottom of B and is to the left and near of the white square. The green square is on top of the purple square.",Is the blue thing above a black thing?,YN,"['Yes', 'No', 'DK']",['Yes'],['Transitivity'],['Yes'],'Yes',['Yes']
"There are three blocks called A, B, and C. B is to the right of A and C is to the right of B. In A, there is a medium blue circle Which is near and above a small blue circle. In B, there is a large yellow triangle Which is to the right and touching a large blue triangle. There is also a small yellow triangle to the left of the large blue triangle. In C, there is a small blue circle that is far above a blue triangle. The blue triangle is to the left of a black triangle.",What block has all of the black objects inside of it?,FB,"['A', 'B', 'C']",['C'],['Quantifier'],['C'],C,['C']
"There is a block called A. In A there is a red triangle Which is above a black circle. The black circle is touching the bottom of A. A yellow square is touching the top edge of A and below that there is a red oval is touching the right edge of A. There is a second block call B Which is to the left of A. Inside B there are 3 squares, a brown one, a green one, and a red one. The green square is above the red square and touching the left edge of B. The brown square is touching both the bottom edge and the right edge of B. The red square is touching the left edge of the brown square.",Is the red square above the green square?,YN,"['Yes', 'No', 'DK']",['No'],['Symmetry'],['No'],'No',['No']
"There is a block called A. In A there is a red triangle Which is above a black circle. The black circle is touching the bottom of A. A yellow square is touching the top edge of A and below that there is a red oval is touching the right edge of A. There is a second block call B Which is to the left of A. Inside B there are 3 squares, a brown one, a green one, and a red one. The green square is above the red square and touching the left edge of B. The brown square is touching both the bottom edge and the right edge of B. The red square is touching the left edge of the brown square.",Which object is above the brown square? the green square or  the red square?,CO,"[' the green square', ' the red square', 'both of them', 'none of them']",[' the green square'],['Transitivity'],['the green square'],'the green square',[' the green square']
"There is a block called A. In A, there is a medium black triangle that is near and below a medium blue triangle. The medium blue triangle is far below a large blue circle. The large circle is near and below a small blue triangle. There is a block called B, Which is to the right of A. In B, there is a small yellow circle far above a large yellow square. There is also a large blue triangle near and to the right of large yellow square. There is another block called C, Which is to the right of B. In C, there is a large black triangle that is far below a large blue triangle. The large blue triangle is far below a small blue triangle.",Is the medium black thing near and above a small blue thing?,YN,"['Yes', 'No', 'DK']",['No'],"['Symmetry', ' Transitivity']",['No'],'Yes',['No']
"There is a block called A. In A, there a large black circle that is far below a large yellow square. There is a block called B, Which is to the right of A. In B, there is a large blue square near and to the left of a large blue triangle. The blue triangle is near and to the right of a small yellow square. There is another block called C, Which is to the right of B. In C, there is a small blue circle that is near and above a small yellow square. Far below the small square is a large blue square.",What is the relation between the small blue thing and the large blue thing in C?,FR,"['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']","['above', 'far from']","['Transitivity', ' Symmetry']",['above'],above,"['above', 'below']"
"There is three blocks called A, B, C. Block A has two big blue shapes to the left of a big yellow triangle. There is also a little triangle to the left of blue objects. there is a big black triangle touching the bottom edge of block B. A medium circle is at top of the block B and a small blue circle is near to it. Block C is left to the blocks A and B. It has two medium triangles. one of them is to the right of the other.",Which object is to the left of the medium shape which is near to the small circle? a little triangle  or  a medium triangle?,CO,"[' a little triangle ', ' a medium triangle', 'both of them', 'none of them']",[' a medium triangle'],"['Symmetry', ' Lists/Sets']",[' a little triangle '],'a little triangle',[' a little triangle ']
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a large blue triangle that is near and below a medium black triangle. There is also a large black triangle that is near and below the large blue triangle. In B, there are two medium blue circles that are to the left of a medium black circle. The black circle is near and above a large blue circle. In C, there is a large yellow circle that is near and to the left of a small black triangle. There is also a large blue triangle near and to the right of the small black triangle.",Is the small black thing near and to the left of the large blue thing in C?,YN,"['Yes', 'No', 'DK']",['Yes'],"['Converse', ' Symmetry']",['Yes'],'Yes',['Yes']
"There are three blocks called A, B and C. A is to the left of B and B is to the left of C. In A, there is a small blue circle. In B, there is a large blue triangle that is touching the top of a small yellow triangle. In C, there are four circles, a large yellow one, a small blue one, a small black one, and a large black one. The large yellow circle is touching the large black circle and is above and near the small blue circle. The small black circle is near and to the right of the small blue circle. The large black circle is above and near the small black circle.",What object is not touching the large blue triangle? the small yellow triangle  or  the large black square?,CO,"[' the small yellow triangle ', ' the large black square', 'both of them', 'none of them']",[' the large black square'],['Negation'],[' the large black square'],'the large black square',[' the large black square']
"There are three blocks called A, B, and C. B is to the right of A and C is to the right of B. In A, there is a small yellow circle that is near and to the left of a medium blue triangle. Touching the top of the triangle is a large yellow square. In B, there is a large blue circle near and below a small blue square. There is a large black triangle far to the right of the small blue square. In C, there is a small blue triangle that is far below a medium black triangle. The black triangle was near and below a medium blue triangle.",What block has all of the triangles inside of it?,FB,"['A', 'B', 'C']",['C'],['Quantifier'],['C'],"['A', 'C']","['B', 'C']"
"There are three blocks A, B and C. A blue triangle is touching the right edge of block A. Block B has four objects. There is a medium black square at the top of this block. There is a big blue square at the top of this block and near to the medium square. Two big black circles are below these objects. one of the circles is touching the bottom edge of its block. block C is above A and block B is above it. Three medium blue triangles and two squares are in this block. the squares are below all triangles. two of the triangles and one of the squares are to the left of the  other square.",Which block has a triangle below a circle?,FB,"['A', 'B', 'C']","['A', ' C']","['Lists/Sets', ' transitivity', ' converse', ' Quantifier']",['B'],B,['DK']
"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a small blue triangle. In B, there is a large blue circle near and to the right of a small yellow square. The yellow square is near and to the right of a small black circle. In C, there is a small yellow circle near and below a medium black triangle. There is a small blue square near and above the black triangle.",Is the small thing in A to the left of the small blue thing in C?,YN,"['Yes', 'No', 'DK']",['No'],"['Lists/Sets', ' Transitivity']",['Yes'],Yes,['Yes']
"There are two blocks called A and B. A is to the right of B. In A, there is a blue triangle, Which is above a orange rectangle, Which is above a black circle. The black circle is touching the bottom of A. In B there are four squares. A yellow square is above a white square and to the left of a green square. A large purple square is touching the bottom of B and is to the left and near of the white square. The green square is on top of the purple square.",What block does not have a orange thing inside?,FB,"['A', 'B']",['B'],['Negation'],['B'],B,['B']
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a medium yellow circle near and above a medium blue circle. There is also a large black square near and below the medium blue circle. In B, there is a medium yellow triangle near and to the left of a small blue triangle. The small blue triangle is above a medium blue triangle. The medium blue triangle is to the right of the medium yellow triangle and above a large black circle. In C, there is a medium black triangle that is near and to the left of a large blue triangle. There is a large black square near and to the right of large blue triangle.",What block does not have any yellow objects inside?,FB,"['A', 'B', 'C']",['C'],"['Negation', ' Quantifier']",['C'],C,['C']
"There are three blocks A, B and C. A blue triangle is touching the right edge of block A. Block B has four objects. There is a medium black square at the top of this block. There is a big blue square at the top of this block and near to the medium square. Two big black circles are below these objects. one of the circles is touching the bottom edge of its block. block C is above A and block B is above it. Three medium blue triangles and two squares are in this block. the squares are below all triangles. two of the triangles and one of the squares are to the left of the  other square.",What is the relation between a square which is above a circle and the square which is below a triangle?,FR,"['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']",['above'],,"['above', 'below']",above,['left']
"There are three blocks called A, B, and C. B is to the right of A and C is to the right of B. In A, there is a medium blue circle Which is near and above a small blue circle. In B, there is a large yellow triangle Which is to the right and touching a large blue triangle. There is also a small yellow triangle to the left of the large blue triangle. In C, there is a small blue circle that is far above a blue triangle. The blue triangle is to the left of a black triangle.",What object is to is not touching a large blue thing? the large yellow triangle  or  the small blue circle?,CO,"[' the large yellow triangle ', ' the small blue circle', 'both of them', 'none of them']",[' the small blue circle'],['Negation'],[' the small blue circle'],'the small blue circle',[' the small blue circle']
"There is a block called A. In A, there a large black circle that is far below a large yellow square. There is a block called B, Which is to the right of A. In B, there is a large blue square near and to the left of a large blue triangle. The blue triangle is near and to the right of a small yellow square. There is another block called C, Which is to the right of B. In C, there is a small blue circle that is near and above a small yellow square. Far below the small square is a large blue square.","What object is above a large yellow thing, a small yellow square or the large blue square? the small yellow square  or  the large blue square ?",CO,"[' the small yellow square ', ' the large blue square ', 'both of them', 'none of them']",['none of them'],['Converse'],[' the small yellow square '],'the small yellow square',[' the small yellow square ']
"There are three blocks called A, B, and C. B is to the left of A and C is to the left of B. In A, there is a small blue circle near and above a medium blue circle. Far to the right of the circles is a large yellow square. In B, there is a small black square that is to the right of a small black triangle. There is also a small blue square far above the small black triangle. In C, there is a large black triangle that is near and above a small blue circle. The small blue circle is also near and above a small black triangle. To the left of the small black triangle is a medium yellow circle.",Does B have any yellow objects inside of it?,YN,"['Yes', 'No', 'DK']",['No'],['Quantifier'],['No'],'No',['No']
"There are three blocks called A, B, and C. A is to the left of B, and B is to the left of C. In A, there is a large blue triangle to the left of and below a large black square. Far above the square is a large black circle. In B, there is a large blue circle near and below a small blue circle. The small blue circle is near and below a large yellow square. There is a medium blue square far to the left of the yellow square. In C, there is a large blue square.",What block does not have a circle inside of it?,FB,"['A', 'B', 'C']",['C'],"['Negation', ' Quantifier']",['C'],C,['C']
There is a block called A. It has a big blue circle and a red square. The big blue circle is below the red square. There is another block called B Which is above block A. There are a small blue circle and a yellow square in this block. The small blue circle is to the left of the yellow square.,Which object is below the yellow shape? the small blue circle  or  the big blue circle?,CO,"[' the small blue circle ', ' the big blue circle', 'both of them', 'none of them']",[' the big blue circle'],"['Lists/Sets', ' Converse']",[' the big blue circle'],'the big blue circle',[' the big blue circle']
